pick,team,player,acquired_from
1,Minnesota Timberwolves,Anthony Edwards,
2,Golden State Warriors,James Wiseman,
3,Charlotte Hornets,LaMelo Ball,
4,Chicago Bulls,Patrick Williams,
5,Cleveland Cavaliers,Isaac Okoro,
6,Atlanta Hawks,Onyeka Okongwu,
7,Detroit Pistons,Killian Hayes,
8,New York Knicks,Obi Toppin,
9,Washington Wizards,Deni Avdija,
10,Phoenix Suns,Jalen Smith,
11,San Antonio Spurs,Devin Vassell,
12,Sacramento Kings,Tyrese Haliburton,
13,New Orleans Pelicans,Kira Lewis Jr.,
14,Boston Celtics,Aaron Nesmith,Memphis Grizzlies
