name,team,classification
Paolo Banchero,Duke,College
Chet Holmgren,Gonzaga,College
Jabari Smith,Auburn,College
Keegan Murray,Iowa,College
Jaden Ivey,Purdue,College
Bennedict Mathurin,Arizona,College
Shaedon Sharpe,Kentucky,College
Dyson Daniels,G League,G League
Jeremy Sochan,Baylor,College
Johnny Davis,Wisconsin,College
Ousmane Dieng,New Zealand,International
Jalen Williams,Santa Clara,College
Jalen Duren,Memphis,College
Ochai Agbaji,Kansas,College
Mark Williams,Duke,College
AJ Griffin,Duke,College
Tari Eason,LSU,College
Dalen Terry,Arizona,College
Jake LaRavia,Wake Forest,College
Malaki Branham,Ohio State,College
Christian Braun,Kansas,College
Walker Kessler,Auburn,College
David Roddy,Colorado State,College
MarJon Beauchamp,G League,G League
Blake Wesley,Notre Dame,College
Wendell Moore,Duke,College
Nikola Jović,KK Mega Basket,International
Patrick Baldwin Jr.,Milwaukee,College
TyTy Washington,Kentucky,College
Peyton Watson,UCLA,College
Andrew Nembhard,Gonzaga,College
Caleb Houstan,Michigan,College
Christian Koloko,Arizona,College
Jaylin Williams,Arkansas,College
Max Christie,Michigan State,College
Gabriele Procida,Bologna,International
Jaden Hardy,G League,G League
Kennedy Chandler,Tennessee,College
Khalifa Diop,Gran Canaria,International
Bryce McGowens,Nebraska,College
E.J. Liddell,Ohio State,College
Trevor Keels,Duke,College
Moussa Diabate,Michigan,College
Ryan Rollins,Toledo,College
Josh Minott,Memphis,College
Ismael Kamagate,Paris Basketball,International
Vince Williams Jr.,VCU,College
Kendall Brown,Baylor,College
Isaiah Mobley,USC,College
Matteo Spagnolo,Cremona,International
Tyrese Martin,UConn,College
Karlo Matković,KK Mega Basket,International
JD Davison,Alabama,College
Yannick Nzosa,Málaga,International
Gui Santos,Minas,International
Luke Travers,Perth,International
Jabari Walker,Colorado,College
Hugo Besson,New Zealand,International
Dominick Barlow,Overtime Elite,Overtime Elite
Tevin Brown,Murray State,College
John Butler,Florida State,College
Julian Champagnie,St. John's,College
Kofi Cockburn,Illinois,College
Keon Ellis,Alabama,College
Michael Foster Jr.,G League,G League
Jordan Hall,Saint Joseph's,College
Ron Harper Jr.,Rutgers,College
Johnny Juzang,UCLA,College
Justin Lewis,Marquette,College
Kenneth Lofton Jr.,Louisiana Tech,College
Makur Maker,Capital City,G League
Iverson Molinar,Mississippi State,College
Jean Montero,Overtime Elite,Overtime Elite
Orlando Robinson,Fresno State,College
Ziga Samar,Fuenlabrada,International
Dereon Seabron,NC State,College
Alondes Williams,Wake Forest,College
Trevion Williams,Purdue,College
