pick,team,player,acquired_from,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,win_pct
1,Minnesota Timberwolves,Anthony Edwards,,24.0,24.8,19.0,45.0,24,40,-4.3,0.28,-4.02,108.1,112.2,-4.1,103.4,0.277,0.433,0.551,,0.514,13.0,22.1,0.209,0.541,13.2,77.2,0.218,0.296875
2,Golden State Warriors,James Wiseman,,30.0,24.4,15.0,50.0,16,49,-8.71,0.59,-8.12,105.2,113.8,-8.6,100.3,0.264,0.355,0.54,,0.497,13.2,21.5,0.212,0.553,13.7,76.4,0.193,0.23076923076923078
3,Charlotte Hornets,LaMelo Ball,,27.0,24.3,23.0,42.0,19,46,-6.75,-0.28,-7.03,106.3,113.3,-7.0,95.8,0.252,0.399,0.539,,0.504,13.3,23.9,0.188,0.546,13.1,74.4,0.159,0.35384615384615387
4,Chicago Bulls,Patrick Williams,,22.0,24.4,22.0,43.0,26,39,-3.08,-0.93,-4.0,106.7,109.8,-3.1,99.7,0.231,0.396,0.547,,0.515,13.7,22.8,0.175,0.546,16.3,75.6,0.239,0.3384615384615385
5,Cleveland Cavaliers,Isaac Okoro,,29.0,25.0,19.0,46.0,18,47,-7.89,0.12,-7.77,107.5,115.4,-7.9,98.7,0.227,0.362,0.553,,0.522,14.6,24.6,0.172,0.56,11.7,77.4,0.164,0.2923076923076923
6,Atlanta Hawks,Onyeka Okongwu,,28.0,24.1,20.0,47.0,18,49,-7.97,0.27,-7.71,107.2,114.8,-7.6,103.0,0.258,0.398,0.554,,0.515,13.8,21.6,0.204,0.543,12.7,74.9,0.233,0.29850746268656714
7,Detroit Pistons,Killian Hayes,,23.0,25.9,20.0,46.0,26,40,-3.56,-0.82,-4.38,109.0,112.7,-3.7,97.6,0.261,0.381,0.561,,0.529,13.8,22.6,0.194,0.541,12.7,75.9,0.186,0.30303030303030304
8,New York Knicks,Obi Toppin,,26.0,24.5,21.0,45.0,20,46,-6.45,-0.26,-6.72,106.5,113.0,-6.5,98.6,0.263,0.318,0.531,,0.501,12.6,25.8,0.182,0.541,12.4,78.3,0.224,0.3181818181818182
9,Washington Wizards,Deni Avdija,,25.0,25.1,25.0,47.0,26,46,-4.67,-0.57,-5.24,110.9,115.5,-4.6,102.7,0.27,0.358,0.562,,0.523,12.2,22.2,0.213,0.558,13.9,75.3,0.231,0.3472222222222222
10,Phoenix Suns,Jalen Smith,,14.0,24.6,34.0,39.0,37,36,0.22,0.35,0.56,111.7,111.4,0.3,101.3,0.271,0.361,0.576,,0.532,13.0,22.2,0.226,0.539,13.7,78.8,0.221,0.4657534246575342
11,San Antonio Spurs,Devin Vassell,,17.0,27.6,32.0,39.0,33,38,-1.11,0.46,-0.65,112.4,113.5,-1.1,100.5,0.262,0.318,0.572,,0.531,11.2,20.1,0.212,0.542,11.7,79.2,0.193,0.4507042253521127
12,Sacramento Kings,Tyrese Haliburton,,21.0,27.0,31.0,41.0,31,41,-2.04,0.46,-1.59,110.2,112.2,-2.0,98.9,0.23,0.395,0.566,,0.534,13.0,21.9,0.177,0.543,13.6,78.4,0.225,0.4305555555555556
13,New Orleans Pelicans,Kira Lewis Jr.,,20.0,25.4,30.0,42.0,33,39,-1.29,0.74,-0.55,110.7,111.9,-1.2,103.7,0.256,0.403,0.568,,0.539,13.9,24.2,0.186,0.532,12.4,77.8,0.212,0.4166666666666667
14,Boston Celtics,Aaron Nesmith,Memphis Grizzlies,2.0,25.3,48.0,24.0,50,22,6.31,-0.47,5.83,113.3,107.0,6.3,99.5,0.259,0.386,0.57,,0.531,12.2,23.9,0.207,0.509,13.5,77.4,0.215,0.6666666666666666
