Name,Archetype,Comp1,Comp2,Comp3,Comp1_dist,Comp2_dist,Comp3_dist
Anthony Edwards,2,Paul George,Jayson Tatum,Zach LaVine,1.9054626986817564,2.088665782171103,2.3928915980617305
James Wiseman,5,Hassan Whiteside,Mitchell Robinson,Anthony Davis,8.180179435903584,8.395909403422026,8.705380151259462
Patrick Williams,5,Gorgui Dieng,Gorgui Dieng,Gorgui Dieng,2.666198178767001,2.6792805865249,2.940477552661865
Isaac Okoro,8,James Johnson,Shai Gilgeous-Alexander,Nemanja Bjelica,2.813611384191115,2.9556594665177127,3.016089586211753
Onyeka Okongwu,5,Anthony Davis,Jonathan Isaac,Mitchell Robinson,4.202463816003523,4.67126451471174,5.343522263283413
Obi Toppin,2,Karl-Anthony Towns,John Collins,Jayson Tatum,3.646847257438774,4.211202952146944,4.352145454915105
Jalen Smith,5,Anthony Davis,Hassan Whiteside,Rudy Gobert,4.248973069228211,4.393313400536195,4.605651179288169
Devin Vassell,5,Jae Crowder,OG Anunoby,Gorgui Dieng,3.912154498279395,4.003381970599029,4.145627473449419
Tyrese Haliburton,2,Ben Simmons,Jimmy Butler,Chris Paul,4.041987356090633,4.160987304522752,4.272586292737064
Kira Lewis Jr.,2,Jrue Holiday,Kyle Lowry,Jimmy Butler,2.0892260457682976,2.2304331119852185,2.5152286569806033
Aaron Nesmith,2,Jayson Tatum,T.J. Warren,Norman Powell,3.591198371286174,3.8848194793127275,4.0023577336911025
Cole Anthony,2,Paul George,Zach LaVine,Caris LeVert,2.2190505707369015,2.488312359341561,2.6419303767482085
Isaiah Stewart,5,Kristaps Porziņģis,John Collins,Myles Turner,3.3229390335370974,3.4665163038444198,3.7046730915232664
Josh Green,8,Donte DiVincenzo,Delon Wright,Marcus Smart,2.4263202342239216,2.775726200871613,2.8074429900573303
Saddiq Bey,8,Gordon Hayward,Danilo Gallinari,Norman Powell,2.656082672157221,2.6612616719300792,2.6637620596440463
