Name,Age,classification,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,EFG%,3PAR,FTAR,NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG
Aaron Nesmith,20.67,College,,F,14.0,14.0,35.7,7.5,14.6,0.512,4.3,8.2,0.522,3.2,6.4,0.5,0.659,3.7,4.5,0.825,0.8,4.1,4.9,0.9,1.4,0.9,1.7,2.8,23.0,29.0,0.685,0.561,0.307,260.0,2.5,13.9,8.0,6.9,2.3,2.6,9.3,26.3,2.2,0.4,2.6,0.207,9.3,0.4,9.7,0.659,0.561,0.307,0.41,0.26,0.54,0.176,0.032,127.8,106.8
Cole Anthony,20.1,College,,G,22.0,20.0,34.9,6.0,15.7,0.38,2.2,6.4,0.348,3.7,9.3,0.402,0.451,4.4,5.8,0.75,0.5,5.2,5.7,4.0,1.3,0.3,3.5,2.9,18.5,17.5,0.501,0.409,0.371,383.0,1.4,16.4,8.7,24.1,2.1,0.9,15.9,30.0,1.2,0.9,2.1,0.108,3.3,1.8,5.1,0.451,0.409,0.371,0.364,0.8,1.14,0.062,0.047,99.9,102.4
Isaiah Stewart,19.08,College,,F,32.0,32.0,32.2,6.0,10.5,0.57,0.2,0.6,0.25,5.8,9.9,0.59,0.577,4.8,6.2,0.774,2.8,6.0,8.8,0.8,0.5,2.1,2.2,2.6,17.0,26.9,0.629,0.059,0.591,510.0,10.7,19.5,15.5,6.3,0.9,7.0,14.1,24.5,3.7,2.0,5.7,0.222,5.0,2.4,7.4,0.577,0.059,0.591,0.327,0.26,0.38,0.144,0.078,119.7,93.6
Josh Green,19.59,College,,G,30.0,30.0,30.9,4.1,9.6,0.424,1.0,2.8,0.361,3.1,6.8,0.449,0.476,2.8,3.6,0.78,1.3,3.3,4.6,2.6,1.5,0.4,1.6,2.4,12.0,17.9,0.528,0.288,0.378,360.0,4.8,11.9,8.4,16.0,2.8,1.6,12.6,20.7,2.0,1.9,3.8,0.166,2.8,4.1,6.9,0.476,0.288,0.378,0.35,0.77,1.59,0.086,0.082,110.4,93.3
Saddiq Bey,21.19,College,,F,31.0,31.0,33.9,5.6,11.8,0.477,2.5,5.6,0.451,3.1,6.2,0.5,0.584,2.3,2.9,0.769,1.3,3.5,4.7,2.4,0.8,0.4,1.5,2.5,16.1,21.6,0.608,0.477,0.248,464.0,4.5,11.4,8.0,14.9,1.4,1.1,10.1,22.8,3.6,1.4,4.9,0.188,6.2,1.9,8.1,0.584,0.477,0.248,0.376,0.65,1.61,0.137,0.053,121.0,101.0
Precious Achiuwa,20.75,College,,F,31.0,31.0,30.4,5.9,11.9,0.493,0.4,1.3,0.325,5.5,10.6,0.514,0.511,3.6,6.0,0.599,3.0,7.8,10.8,1.0,1.1,1.9,2.8,2.4,15.8,23.3,0.534,0.108,0.507,460.0,11.4,24.6,18.6,7.5,2.0,6.4,16.0,27.7,1.5,2.9,4.4,0.187,2.5,3.4,5.8,0.511,0.108,0.507,0.312,0.27,0.34,0.064,0.123,101.3,82.5
Tyrese Maxey,19.62,College,,G,31.0,28.0,34.5,4.8,11.3,0.427,1.1,3.6,0.292,3.8,7.7,0.492,0.474,3.2,3.9,0.833,0.4,3.9,4.3,3.2,0.9,0.4,2.2,2.4,14.0,16.3,0.531,0.322,0.342,424.0,1.4,12.1,7.3,18.7,1.5,1.3,14.1,22.7,2.1,1.5,3.6,0.134,2.4,2.0,4.4,0.474,0.322,0.342,0.353,0.82,1.48,0.079,0.056,107.1,99.6
Zeke Nnaji,19.44,College,,F,32.0,32.0,30.7,5.6,9.8,0.57,0.2,0.5,0.294,5.4,9.3,0.586,0.578,4.8,6.3,0.76,3.1,5.5,8.6,0.8,0.7,0.9,2.2,2.4,16.1,25.7,0.63,0.054,0.637,482.0,11.5,20.3,15.9,5.8,1.3,3.3,14.6,24.1,3.5,2.1,5.6,0.229,5.6,2.3,8.0,0.578,0.054,0.637,0.327,0.24,0.39,0.143,0.086,120.5,92.5
Immanuel Quickley,21.01,College,,G,30.0,20.0,33.0,4.6,11.0,0.417,2.1,4.8,0.428,2.5,6.2,0.409,0.511,4.8,5.2,0.923,0.5,3.7,4.2,1.9,0.9,0.1,1.6,2.3,16.1,20.4,0.595,0.438,0.471,439.0,2.1,11.9,7.4,11.4,1.6,0.5,10.6,23.4,3.4,1.4,4.8,0.192,5.3,2.0,7.3,0.511,0.438,0.471,0.389,0.49,1.17,0.138,0.057,121.3,99.8
Payton Pritchard,22.39,College,,G,31.0,31.0,36.6,7.0,14.9,0.468,2.8,6.8,0.415,4.1,8.1,0.512,0.563,3.7,4.5,0.821,0.7,3.6,4.3,5.5,1.5,0.0,2.7,2.0,20.5,27.1,0.601,0.459,0.303,640.0,2.3,11.5,7.1,31.5,2.5,0.1,13.9,28.2,5.3,1.4,6.7,0.235,9.2,1.9,11.1,0.563,0.459,0.303,0.383,1.12,2.02,0.187,0.049,122.9,101.5
Udoka Azubuike,20.75,College,,C,31.0,30.0,27.7,5.8,7.8,0.748,0.0,0.0,,5.8,7.8,0.748,0.748,2.1,4.7,0.441,3.5,7.0,10.5,0.9,0.5,2.6,2.5,2.4,13.7,31.3,0.685,0.0,0.599,397.0,15.3,26.9,21.5,7.1,1.0,10.9,19.6,22.9,2.9,2.6,5.5,0.254,7.2,5.2,12.4,0.748,0.0,0.599,0.281,0.31,0.38,0.135,0.121,118.2,82.9
Jaden McDaniels,19.72,College,,F,31.0,21.0,31.1,4.4,10.8,0.405,1.4,4.1,0.339,3.0,6.7,0.445,0.469,2.8,3.7,0.763,1.1,4.7,5.8,2.1,0.8,1.4,3.2,3.3,13.0,14.6,0.515,0.378,0.339,394.0,4.4,15.8,10.6,14.6,1.4,4.9,20.4,25.6,0.6,1.7,2.3,0.096,0.3,2.2,2.6,0.469,0.378,0.339,0.354,0.57,0.65,0.025,0.071,93.8,95.4
Malachi Flynn,22.11,College,,G,32.0,32.0,33.4,5.8,13.0,0.441,2.4,6.4,0.373,3.4,6.7,0.507,0.532,3.8,4.4,0.857,0.6,3.8,4.5,5.1,1.8,0.1,1.8,1.8,17.6,27.7,0.583,0.489,0.336,580.0,2.3,13.3,8.0,30.7,3.2,0.4,10.5,26.8,4.9,2.5,7.4,0.278,7.6,4.1,11.7,0.532,0.489,0.336,0.383,1.15,2.84,0.183,0.093,124.5,90.3
Desmond Bane,21.98,College,,G,32.0,32.0,36.0,6.2,13.6,0.452,2.9,6.5,0.442,3.3,7.1,0.461,0.557,1.4,1.8,0.789,1.4,4.9,6.3,3.9,1.5,0.5,2.3,2.2,16.6,22.6,0.573,0.477,0.131,507.0,4.6,16.3,10.4,26.0,2.5,1.6,13.8,24.4,3.4,1.9,5.3,0.183,7.1,2.6,9.8,0.557,0.477,0.131,0.381,1.07,1.68,0.118,0.066,114.5,97.6
Tyrell Terry,19.72,College,,G,31.0,31.0,32.6,4.7,10.7,0.441,2.0,4.9,0.408,2.7,5.8,0.47,0.535,3.2,3.5,0.891,0.4,4.1,4.5,3.2,1.4,0.1,2.6,2.1,14.6,19.3,0.589,0.456,0.33,447.0,1.4,14.4,8.3,20.3,2.5,0.2,17.5,24.5,2.3,2.3,4.5,0.179,3.4,2.7,6.1,0.535,0.456,0.33,0.383,0.83,1.21,0.091,0.091,108.0,91.3
Vernon Carey Jr.,19.31,College,,C,31.0,30.0,24.9,6.4,11.1,0.577,0.3,0.7,0.381,6.2,10.5,0.59,0.588,4.7,7.0,0.67,2.7,6.1,8.8,1.0,0.7,1.6,2.0,2.7,17.8,34.1,0.615,0.061,0.632,499.0,12.0,26.1,19.2,8.2,1.6,5.8,12.3,31.0,3.6,2.0,5.6,0.288,7.9,3.4,11.3,0.588,0.061,0.632,0.322,0.26,0.48,0.187,0.104,121.2,88.0
Daniel Oturu,20.75,College,,C,31.0,31.0,33.9,7.7,13.6,0.563,0.6,1.7,0.365,7.1,12.0,0.59,0.585,4.1,5.8,0.707,3.7,7.5,11.3,1.1,0.5,2.5,2.8,2.7,20.1,30.7,0.612,0.123,0.428,562.0,12.0,23.3,17.8,7.9,1.0,7.1,14.7,28.8,3.7,2.2,5.9,0.226,7.7,3.4,11.1,0.585,0.123,0.428,0.331,0.27,0.39,0.141,0.084,115.1,92.9
Xavier Tillman,21.43,College,,F,31.0,31.0,32.1,5.3,9.7,0.55,0.4,1.6,0.26,4.9,8.1,0.608,0.572,2.6,4.0,0.667,2.7,7.6,10.3,3.0,1.2,2.1,2.0,2.6,13.7,26.5,0.593,0.167,0.41,432.0,9.9,23.9,17.5,18.1,2.1,6.9,14.5,21.0,3.1,2.7,5.8,0.234,6.3,6.2,12.6,0.572,0.167,0.41,0.318,0.86,1.52,0.125,0.109,119.5,86.5
Tyler Bey,22.35,College,,G,31.0,30.0,29.0,4.5,8.5,0.53,0.4,1.0,0.419,4.1,7.5,0.545,0.555,4.4,5.9,0.743,2.0,7.0,9.0,1.5,1.5,1.2,2.4,1.9,13.8,26.7,0.611,0.117,0.693,412.0,8.4,27.9,18.4,11.5,3.1,4.2,17.6,24.4,2.6,2.5,5.1,0.228,5.2,5.0,10.1,0.555,0.117,0.693,0.337,0.47,0.61,0.116,0.111,114.0,85.7
Saben Lee,20.99,College,,G,32.0,17.0,32.9,6.3,12.9,0.483,1.2,3.8,0.322,5.0,9.2,0.549,0.53,4.8,6.4,0.752,0.6,3.0,3.5,4.2,1.5,0.3,3.1,1.8,18.6,24.3,0.58,0.292,0.498,594.0,1.9,11.0,6.3,31.9,2.7,0.9,16.2,29.4,3.4,0.7,4.0,0.152,4.9,0.4,5.3,0.53,0.292,0.498,0.347,1.09,1.35,0.129,0.027,111.3,107.9
Elijah Hughes,22.28,College,,F,32.0,32.0,36.7,6.2,14.5,0.427,2.4,7.1,0.342,3.8,7.4,0.508,0.511,4.2,5.2,0.813,0.4,4.5,4.9,3.4,1.2,0.8,2.3,1.8,19.0,22.1,0.561,0.491,0.358,570.0,1.4,13.2,7.4,20.1,1.8,2.9,11.9,26.6,3.5,1.3,4.8,0.164,6.1,1.2,7.3,0.511,0.491,0.358,0.374,0.76,1.49,0.119,0.044,113.1,103.0
Robert Woodard II,20.74,College,,G,31.0,31.0,33.1,4.4,8.9,0.495,1.0,2.3,0.429,3.4,6.6,0.517,0.549,1.6,2.5,0.641,2.2,4.4,6.5,1.3,1.1,1.0,1.9,1.9,11.4,18.1,0.564,0.255,0.284,337.0,8.2,14.8,11.7,7.6,2.0,3.4,15.7,18.2,2.0,1.3,3.3,0.128,4.1,1.9,6.0,0.549,0.255,0.284,0.332,0.42,0.69,0.078,0.051,111.4,101.4
Tre Jones,20.44,College,,G,29.0,29.0,35.4,5.6,13.2,0.423,1.3,3.7,0.361,4.2,9.5,0.447,0.474,3.7,4.8,0.771,0.7,3.6,4.2,6.4,1.8,0.3,2.7,1.8,16.2,21.2,0.524,0.282,0.366,513.0,2.1,10.8,6.5,31.4,2.8,0.9,14.8,24.0,3.0,2.0,4.9,0.192,5.1,3.1,8.2,0.474,0.282,0.366,0.352,1.31,2.37,0.117,0.078,113.2,94.6
Nick Richards,22.55,College,,F,31.0,30.0,29.6,5.3,8.2,0.642,0.0,0.0,,5.3,8.2,0.642,0.642,3.5,4.7,0.752,2.6,5.2,7.8,0.2,0.1,2.1,1.6,3.2,14.0,25.8,0.674,0.0,0.571,394.0,11.3,18.6,15.3,1.7,0.2,8.0,13.2,20.7,3.4,1.6,5.1,0.222,4.6,2.4,7.0,0.642,0.0,0.571,0.324,0.08,0.14,0.148,0.07,127.8,95.8
Jahmi'us Ramsey,19.03,College,,G,27.0,27.0,31.2,5.5,12.4,0.442,2.2,5.2,0.426,3.3,7.2,0.454,0.531,1.9,2.9,0.641,0.7,3.3,4.0,2.2,1.3,0.7,2.0,2.2,15.0,19.1,0.546,0.421,0.233,364.0,3.0,12.4,7.8,16.1,2.5,2.5,12.7,26.2,1.6,1.7,3.3,0.156,4.3,2.4,6.7,0.531,0.421,0.233,0.356,0.61,1.11,0.076,0.081,104.6,93.2
Jordan Nwora,21.78,College,,F,31.0,30.0,33.1,6.1,13.9,0.44,2.5,6.1,0.402,3.6,7.8,0.469,0.528,3.4,4.1,0.813,1.7,6.0,7.7,1.3,0.7,0.3,2.1,2.2,18.0,22.6,0.568,0.44,0.298,500.0,6.0,19.8,13.3,8.4,1.3,0.9,11.7,27.8,3.2,2.0,5.2,0.201,6.3,1.9,8.2,0.528,0.44,0.298,0.38,0.3,0.62,0.125,0.078,113.5,94.2
CJ Elleby,20.01,College,,F,32.0,32.0,33.4,6.2,15.6,0.396,2.3,6.8,0.339,3.8,8.8,0.439,0.47,3.8,4.6,0.823,1.2,6.6,7.8,1.9,1.8,0.8,2.2,2.9,18.4,22.5,0.519,0.438,0.295,542.0,3.8,23.1,12.9,13.5,2.9,2.5,10.8,29.2,2.3,2.2,4.5,0.169,4.7,2.8,7.6,0.47,0.438,0.295,0.377,0.46,0.87,0.086,0.082,104.7,92.8
Nico Mannion,19.26,College,,G,32.0,32.0,32.3,4.5,11.5,0.392,1.7,5.1,0.327,2.8,6.4,0.444,0.465,3.3,4.2,0.797,0.3,2.3,2.5,5.3,1.2,0.0,2.6,1.7,14.0,17.2,0.52,0.441,0.362,472.0,0.9,7.9,4.4,31.5,2.1,0.0,16.0,24.5,2.2,1.7,3.9,0.152,3.6,1.8,5.4,0.465,0.441,0.362,0.362,1.29,2.06,0.085,0.066,107.1,97.6
Isaiah Joe,20.96,College,,G,26.0,25.0,36.1,5.1,13.8,0.367,3.6,10.6,0.342,1.5,3.3,0.447,0.497,3.1,3.5,0.89,0.5,3.6,4.1,1.7,1.4,0.3,1.7,1.8,16.9,17.5,0.544,0.764,0.253,402.0,1.7,11.5,6.6,10.0,2.2,0.8,10.0,24.2,1.8,1.4,3.2,0.136,4.0,1.2,5.3,0.497,0.764,0.253,0.405,0.41,1.0,0.077,0.06,106.4,99.2
Skylar Mays,22.62,College,,G,31.0,31.0,34.4,5.5,11.1,0.491,1.6,4.1,0.394,3.8,7.0,0.548,0.564,4.2,4.9,0.854,0.5,4.5,5.0,3.2,1.8,0.2,2.3,1.7,16.7,23.7,0.622,0.369,0.439,494.0,1.6,13.8,8.1,17.0,2.9,0.7,14.4,22.0,3.9,1.2,5.1,0.19,5.8,2.5,8.3,0.564,0.369,0.439,0.369,0.77,1.43,0.146,0.045,123.7,102.6
Justinian Jessup,22.07,College,,G,32.0,32.0,36.0,5.4,12.6,0.426,3.1,7.7,0.397,2.3,4.9,0.471,0.547,2.2,2.3,0.959,1.0,3.5,4.4,2.1,1.4,0.5,1.3,2.2,16.0,20.1,0.584,0.611,0.181,474.0,3.2,11.8,7.4,12.0,2.2,1.5,8.4,21.1,3.4,1.8,5.2,0.181,5.4,1.8,7.2,0.547,0.611,0.181,0.406,0.57,1.68,0.118,0.063,119.5,98.3
Cassius Winston,22.3,College,,G,30.0,30.0,32.7,6.2,13.8,0.448,2.4,5.6,0.432,3.7,8.1,0.459,0.536,3.8,4.5,0.852,0.2,2.3,2.5,5.9,1.2,0.0,3.2,2.0,18.6,23.0,0.585,0.409,0.327,553.0,0.7,7.1,4.2,36.5,2.1,0.1,16.8,29.1,3.5,1.5,5.0,0.204,7.0,1.9,8.9,0.536,0.409,0.327,0.386,1.25,1.83,0.143,0.061,114.5,98.5
Cassius Stanley,20.84,College,,G,29.0,29.0,27.4,4.4,9.3,0.474,1.1,3.0,0.36,3.3,6.3,0.527,0.531,2.7,3.6,0.733,1.9,3.0,4.9,1.0,0.7,0.7,1.9,2.2,12.6,18.5,0.569,0.319,0.389,339.0,7.6,11.7,9.7,6.6,1.4,2.4,14.4,21.9,1.9,1.4,3.3,0.166,3.6,1.9,5.4,0.531,0.319,0.389,0.347,0.3,0.56,0.095,0.07,112.3,96.2
Grant Riller,23.36,College,,G,31.0,31.0,33.5,7.3,14.7,0.499,1.5,4.2,0.362,5.8,10.5,0.554,0.551,5.7,6.9,0.827,0.5,4.6,5.1,3.9,1.6,0.3,3.1,2.3,21.9,30.6,0.609,0.286,0.47,661.0,1.8,15.7,8.9,30.1,2.8,1.1,14.8,33.6,4.5,1.4,5.8,0.225,6.0,1.1,7.1,0.551,0.286,0.47,0.364,0.9,1.26,0.173,0.054,115.6,100.9
Reggie Perry,20.25,College,,F,31.0,31.0,31.1,5.9,11.8,0.5,0.7,2.3,0.324,5.2,9.5,0.542,0.531,4.8,6.3,0.768,3.1,6.9,10.1,2.3,0.8,1.2,2.9,3.1,17.4,28.5,0.587,0.194,0.53,533.0,12.4,25.2,19.1,16.4,1.6,4.1,16.4,28.6,3.7,1.6,5.2,0.218,6.7,1.8,8.5,0.531,0.194,0.53,0.341,0.57,0.8,0.154,0.066,116.5,97.5
Paul Reed,21.01,College,,F,29.0,29.0,31.7,6.3,12.2,0.516,0.6,1.8,0.308,5.7,10.4,0.551,0.538,2.0,2.8,0.738,3.3,7.4,10.7,1.6,1.9,2.6,2.3,3.0,15.1,27.5,0.561,0.147,0.227,421.0,11.1,25.9,18.4,11.5,3.3,9.7,14.4,24.0,2.2,2.3,4.5,0.194,4.9,4.2,9.2,0.538,0.147,0.227,0.332,0.48,0.71,0.096,0.1,109.6,88.8
Jalen Harris,21.85,College,,G,30.0,30.0,33.0,7.5,16.7,0.446,2.2,6.2,0.362,5.2,10.6,0.495,0.513,4.5,5.5,0.823,0.8,5.7,6.5,3.9,1.1,0.1,2.4,2.3,21.7,26.4,0.56,0.369,0.327,627.0,2.8,17.6,10.6,26.5,1.9,0.5,11.0,32.7,3.7,1.3,5.0,0.202,6.7,0.9,7.6,0.513,0.369,0.327,0.377,0.81,1.64,0.149,0.052,113.4,100.9
Sam Merrill,24.09,College,,G,32.0,32.0,35.0,6.1,13.2,0.461,2.8,6.8,0.41,3.3,6.4,0.515,0.566,4.7,5.3,0.893,0.2,3.9,4.1,3.9,0.9,0.1,1.6,2.3,19.7,25.0,0.625,0.513,0.397,575.0,0.7,11.8,6.6,23.1,1.5,0.3,9.0,24.9,5.2,2.0,7.1,0.255,7.6,2.4,9.9,0.566,0.513,0.397,0.394,0.93,2.5,0.186,0.071,129.7,96.3
Devon Dotson,20.88,College,,G,30.0,30.0,34.9,6.1,13.0,0.468,1.3,4.1,0.309,4.8,8.9,0.541,0.517,4.7,5.7,0.83,0.6,3.5,4.1,4.0,2.1,0.1,2.4,1.8,18.1,24.9,0.578,0.316,0.44,534.0,2.0,10.7,6.6,22.5,3.5,0.3,13.4,26.4,3.8,2.4,6.2,0.238,6.5,4.8,11.3,0.517,0.316,0.44,0.357,0.85,1.64,0.145,0.092,118.0,90.5
Ashton Hagans,20.95,College,,G,30.0,29.0,33.1,3.6,8.8,0.404,0.5,2.1,0.258,3.0,6.8,0.448,0.434,3.8,4.7,0.81,0.2,3.7,3.9,6.4,1.9,0.2,3.4,2.6,11.5,17.3,0.519,0.234,0.536,408.0,0.9,11.8,6.9,36.4,3.4,0.7,23.7,22.4,1.5,1.8,3.3,0.132,1.9,2.8,4.7,0.434,0.234,0.536,0.339,1.62,1.85,0.06,0.072,101.8,95.6
Markus Howard,21.3,College,,G,29.0,29.0,33.2,8.2,19.3,0.422,4.2,10.1,0.412,4.0,9.2,0.434,0.53,7.3,8.6,0.847,0.6,2.9,3.5,3.3,0.9,0.0,3.4,2.4,27.8,29.2,0.593,0.524,0.444,730.0,1.9,9.1,5.7,26.2,1.6,0.1,12.6,39.3,4.8,1.0,5.8,0.24,10.5,0.6,11.0,0.53,0.524,0.444,0.415,0.67,0.97,0.199,0.042,116.7,103.6
Mason Jones,21.91,College,,G,31.0,30.0,33.9,6.2,13.6,0.453,2.2,6.3,0.351,4.0,7.4,0.539,0.533,7.5,9.1,0.826,0.7,4.7,5.5,3.4,1.6,0.2,3.2,3.3,22.0,27.3,0.614,0.46,0.668,663.0,2.4,16.2,9.4,23.0,2.7,0.6,15.1,31.6,4.2,1.8,6.1,0.231,6.8,2.6,9.4,0.533,0.46,0.668,0.375,0.73,1.07,0.16,0.069,115.7,96.2
Anfernee McLemore,22.0,College,,F,31.0,4.0,20.3,2.4,5.5,0.435,0.8,3.0,0.28,1.5,2.5,0.623,0.512,1.2,1.8,0.661,1.3,3.1,4.4,0.4,0.7,1.1,0.9,2.9,6.8,16.0,0.537,0.547,0.329,197.0,6.6,16.8,11.6,4.0,2.0,5.8,12.9,17.1,1.0,1.1,2.2,0.139,1.0,3.5,4.5,0.512,0.547,0.329,0.336,0.23,0.45,0.063,0.07,109.7,95.6
Myles Powell,22.95,College,,G,28.0,28.0,31.5,7.0,17.5,0.398,2.8,9.2,0.306,4.1,8.3,0.5,0.479,4.3,5.4,0.795,0.9,3.4,4.3,2.9,1.2,0.2,2.8,2.1,21.0,22.3,0.524,0.527,0.308,544.0,3.3,11.2,7.4,21.3,2.2,0.6,12.2,35.6,2.3,1.3,3.6,0.163,6.2,0.9,7.1,0.479,0.527,0.308,0.386,0.6,1.04,0.104,0.059,104.9,99.1
Trevelin Queen,23.31,College,,G,26.0,25.0,27.5,4.9,10.5,0.471,2.0,5.3,0.387,2.9,5.2,0.556,0.568,1.3,1.7,0.814,2.0,3.2,5.2,2.4,1.7,0.3,1.8,2.3,13.2,25.5,0.588,0.504,0.158,332.0,9.0,15.4,12.1,19.9,3.9,1.3,14.1,25.1,2.5,1.7,4.3,0.239,5.1,2.1,7.2,0.568,0.504,0.158,0.38,0.79,1.31,0.14,0.095,118.8,89.1
Jon Teske,23.13,College,,C,31.0,31.0,27.9,4.5,9.4,0.478,0.5,2.1,0.246,4.0,7.3,0.544,0.505,2.1,2.9,0.714,2.0,4.8,6.7,1.1,1.0,1.8,1.5,2.5,11.6,21.6,0.537,0.223,0.313,353.0,8.3,18.8,13.7,7.7,2.1,6.1,12.3,22.7,1.7,1.8,3.5,0.161,3.0,4.3,7.3,0.505,0.223,0.313,0.328,0.34,0.74,0.079,0.083,107.3,93.4
