Name,Age,classification,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,EFG%,3PAR,FTAR,NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG
Anthony Edwards,18.87,College,,G,32.0,32.0,33.0,6.3,15.8,0.402,2.3,7.7,0.294,4.1,8.1,0.504,0.473,4.1,5.3,0.772,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.2,19.1,20.8,0.52,0.485,0.339,573.0,2.5,14.8,8.7,17.9,2.3,1.7,12.9,30.4,2.5,1.1,3.6,0.136,4.8,0.7,5.5,0.473,0.485,0.339,0.369,0.59,1.05,0.095,0.042,105.8,103.6
James Wiseman,19.22,College,,C,3.0,3.0,23.0,6.7,8.7,0.769,0.0,0.3,0.0,6.7,8.3,0.8,0.769,6.3,9.0,0.704,4.3,6.3,10.7,0.3,0.3,3.0,1.0,1.7,19.7,52.7,0.76,0.038,1.038,48.0,21.8,26.5,24.4,4.4,0.8,13.6,7.2,29.1,0.5,0.2,0.7,0.434,13.1,4.9,18.0,0.769,0.038,0.038,0.318,0.15,0.33,0.29,0.116,149.8,80.8
Patrick Williams,18.87,College,,F,29.0,0.0,22.5,3.3,7.1,0.459,0.6,1.7,0.32,2.7,5.4,0.503,0.498,2.1,2.6,0.838,1.3,2.7,4.0,1.0,1.0,1.0,1.7,1.6,9.2,19.4,0.553,0.242,0.357,258.0,6.9,14.0,10.5,8.4,2.5,5.6,17.1,22.2,1.2,1.3,2.5,0.154,2.3,3.2,5.5,0.498,0.242,0.357,0.351,0.38,0.58,0.074,0.08,106.9,94.1
Isaac Okoro,19.39,College,,F,28.0,28.0,31.5,4.5,8.7,0.514,0.7,2.5,0.286,3.8,6.2,0.607,0.556,3.2,4.8,0.672,1.9,2.5,4.4,2.0,0.9,0.9,2.0,2.7,12.9,19.1,0.587,0.288,0.551,351.0,6.4,8.8,7.6,13.1,1.7,3.1,15.2,19.6,2.3,1.1,3.4,0.156,3.8,2.5,6.3,0.556,0.288,0.551,0.326,0.67,1.04,0.104,0.05,116.5,101.3
Onyeka Okongwu,19.52,College,,F,28.0,28.0,30.6,6.3,10.1,0.616,0.0,0.1,0.25,6.2,10.0,0.621,0.618,3.7,5.1,0.72,3.3,5.4,8.6,1.1,1.2,2.7,2.0,2.7,16.2,31.1,0.645,0.014,0.504,418.0,12.4,18.4,15.5,8.4,2.3,9.8,13.7,23.6,3.2,2.1,5.4,0.251,6.7,4.9,11.6,0.618,0.014,0.504,0.321,0.36,0.54,0.149,0.098,122.8,88.5
Obi Toppin,22.29,College,,F,31.0,31.0,31.6,7.9,12.5,0.633,1.0,2.6,0.39,6.9,9.8,0.698,0.674,3.2,4.5,0.702,1.2,6.4,7.5,2.2,1.0,1.2,2.2,1.6,20.0,32.5,0.684,0.212,0.364,540.0,5.2,22.0,14.5,14.5,1.8,4.1,13.0,28.1,4.5,2.3,6.8,0.279,9.0,3.3,12.3,0.674,0.212,0.364,0.34,0.52,0.99,0.183,0.094,125.3,90.3
Jalen Smith,20.26,College,,F,31.0,31.0,31.3,5.4,10.1,0.538,1.0,2.8,0.368,4.4,7.3,0.604,0.59,3.6,4.8,0.75,3.2,7.3,10.5,0.8,0.7,2.4,1.7,2.4,15.5,29.3,0.626,0.279,0.474,444.0,11.5,25.6,18.6,6.0,1.3,8.2,12.2,22.8,3.6,2.4,6.0,0.249,7.7,4.3,12.0,0.59,0.279,0.474,0.346,0.26,0.47,0.148,0.099,123.9,88.9
Devin Vassell,19.82,College,,G,30.0,30.0,28.8,4.8,9.8,0.49,1.5,3.5,0.415,3.3,6.3,0.532,0.565,1.6,2.2,0.738,1.3,3.8,5.1,1.6,1.4,1.0,0.8,1.9,12.7,23.8,0.585,0.361,0.221,352.0,5.3,15.4,10.4,11.2,2.8,4.1,6.6,20.0,3.0,1.7,4.7,0.218,6.7,4.2,10.9,0.565,0.361,0.221,0.357,0.56,2.13,0.139,0.079,126.9,93.6
Tyrese Haliburton,20.3,College,,G,22.0,22.0,36.7,5.6,11.1,0.504,2.4,5.6,0.419,3.2,5.5,0.592,0.611,1.7,2.0,0.822,1.5,4.4,5.9,6.5,2.5,0.7,2.8,1.3,15.2,25.9,0.631,0.508,0.184,365.0,4.6,13.7,9.2,35.3,3.8,2.0,18.7,20.1,2.7,1.0,3.8,0.187,8.0,3.7,11.7,0.611,0.508,0.184,0.376,1.76,2.33,0.134,0.05,121.5,101.1
Kira Lewis Jr.,19.2,College,,G,31.0,31.0,37.6,6.6,14.5,0.459,1.8,4.9,0.366,4.8,9.5,0.507,0.521,3.4,4.2,0.802,0.8,3.9,4.8,5.2,1.8,0.6,3.5,2.6,18.5,19.8,0.56,0.341,0.292,593.0,2.3,10.6,6.5,27.7,2.5,1.5,17.7,24.3,2.9,1.2,4.1,0.142,3.7,1.7,5.5,0.521,0.341,0.292,0.362,1.14,1.47,0.099,0.041,109.8,103.5
