Name,Archetype,Comp1,Comp2,Comp3,Comp1_AllStars,Comp2_AllStars,Comp3_AllStars,UpsideRaw,Upside01,UpsideScore
Jalen Harris,2,Paul George,Khris Middleton,Kemba Walker,9.0,3.0,4.0,5.581709415514235,0.6201441137142765,6.2
Sam Merrill,2,Khris Middleton,Kemba Walker,Paul George,3.0,4.0,9.0,5.1187264695496815,0.5687053648800968,5.69
Devon Dotson,2,Kawhi Leonard,Jimmy Butler,Paul George,6.0,6.0,9.0,6.958988859267441,0.7731638566642122,7.73
Ashton Hagans,2,Fred VanVleet,Ricky Rubio,Kyle Lowry,1.0,0.0,6.0,2.310986929049347,0.2567573541068245,2.57
Markus Howard,2,Kyrie Irving,Bradley Beal,Damian Lillard,8.0,3.0,8.0,6.3489512641101875,0.7053869095645161,7.05
Mason Jones,2,Paul George,Kawhi Leonard,Zach LaVine,9.0,6.0,2.0,6.068603008836415,0.6742394048565734,6.74
Anfernee McLemore,5,Gorgui Dieng,Gorgui Dieng,John Henson,0.0,0.0,0.0,0.0,0.0,0.0
Myles Powell,2,Paul George,Donovan Mitchell,Zach LaVine,9.0,5.0,2.0,5.516637577348893,0.6129144436611129,6.13
Trevelin Queen,2,Paul George,Dejounte Murray,Donte DiVincenzo,9.0,1.0,0.0,3.548593068688298,0.39425898764950085,3.94
Jon Teske,5,Jonathan Isaac,Myles Turner,Brook Lopez,0.0,0.0,1.0,0.30967110174180945,0.03440535804297249,0.34
Killian Tillie,5,Brandon Clarke,Jae Crowder,Christian Wood,0.0,0.0,0.0,0.0,0.0,0.0
Tres Tinkle,2,Paul George,Kawhi Leonard,Jayson Tatum,9.0,6.0,5.0,6.824236353318825,0.7581924622128972,7.58
Kaleb Wesson,5,Joel Embiid,Nikola Vučević,Steven Adams,7.0,2.0,0.0,3.1283675602310446,0.3475707142008649,3.48
Kahlil Whitney,6,Jerome Robinson,Amir Coffey,Deonte Burton,0.0,0.0,0.0,0.0,0.0,0.0
Austin Wiley,5,Jarrett Allen,Ivica Zubac,Montrezl Harrell,1.0,0.0,0.0,0.35247298589139653,0.03916077157945474,0.39
LaMelo Ball,2,Jimmy Butler,Paul George,Kyle Lowry,6.0,9.0,6.0,6.98164065459012,0.7756805368581642,7.76
Killian Hayes,2,Paul George,Kyle Lowry,Chris Paul,9.0,6.0,12.0,8.99702838719038,0.9995959624355216,10.0
Deni Avdija,8,Patrick Beverley,Nemanja Bjelica,Josh Jackson,0.0,0.0,0.0,0.0,0.0,0.0
Aleksej Pokuševski,2,Jayson Tatum,Al Horford,James Johnson,5.0,5.0,0.0,3.378974688168781,0.3754138933555271,3.75
Leandro Bolmaro,8,Josh Jackson,Donte DiVincenzo,Bogdan Bogdanović,0.0,0.0,0.0,0.0,0.0,0.0
RJ Hampton,8,Donte DiVincenzo,Delon Wright,Josh Jackson,0.0,0.0,0.0,0.0,0.0,0.0
Theo Maledon,8,Terence Davis,Josh Jackson,Jordan Clarkson,0.0,0.0,0.0,0.0,0.0,0.0
Vít Krejčí,1,Paul Watson,John Konchar,Javonte Green,0.0,0.0,0.0,0.0,0.0,0.0
Marko Simonović,2,Jayson Tatum,Shai Gilgeous-Alexander,Pascal Siakam,5.0,2.0,2.0,3.0955313821009103,0.3439225195227834,3.44
Yam Madar,4,Delon Wright,Donte DiVincenzo,Bogdan Bogdanović,0.0,0.0,0.0,0.0,0.0,0.0
Paul Eboua,8,Kyle Anderson,Patrick Beverley,Rondae Hollis-Jefferson,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye N'Doye,8,Patrick Beverley,Cameron Payne,Delon Wright,0.0,0.0,0.0,0.0,0.0,0.0
Borisa Simanic,1,Paul Watson,Shaquille Harrison,George Hill,0.0,0.0,0.0,0.0,0.0,0.0
