Name,classification,Age,OverallScore,Archetype,Comp1,Comp2,Comp3,Comp1_dist,Comp2_dist,Comp3_dist
Anthony Edwards,College,18.87,5.34,2,Paul George,Jayson Tatum,Zach LaVine,1.9054626986817564,2.088665782171103,2.3928915980617305
James Wiseman,College,19.22,7.95,5,Hassan Whiteside,Mitchell Robinson,Anthony Davis,8.180179435903584,8.395909403422026,8.705380151259462
Patrick Williams,College,18.87,4.79,5,Gorgui Dieng,Gorgui Dieng,Gorgui Dieng,2.666198178767001,2.6792805865249,2.940477552661865
Isaac Okoro,College,19.39,4.97,8,James Johnson,Shai Gilgeous-Alexander,Nemanja Bjelica,2.813611384191115,2.9556594665177127,3.016089586211753
Onyeka Okongwu,College,19.52,7.57,5,Anthony Davis,Jonathan Isaac,Mitchell Robinson,4.202463816003523,4.67126451471174,5.343522263283413
Obi Toppin,College,22.29,7.8,2,Karl-Anthony Towns,John Collins,Jayson Tatum,3.646847257438774,4.211202952146944,4.352145454915105
Jalen Smith,College,20.26,7.4,5,Anthony Davis,Hassan Whiteside,Rudy Gobert,4.248973069228211,4.393313400536195,4.605651179288169
Devin Vassell,College,19.82,6.1,5,Jae Crowder,OG Anunoby,Gorgui Dieng,3.912154498279395,4.003381970599029,4.145627473449419
Tyrese Haliburton,College,20.3,7.82,2,Ben Simmons,Jimmy Butler,Chris Paul,4.041987356090633,4.160987304522752,4.272586292737064
Kira Lewis Jr.,College,19.2,6.5,2,Jrue Holiday,Kyle Lowry,Jimmy Butler,2.0892260457682976,2.2304331119852185,2.5152286569806033
Aaron Nesmith,College,20.67,6.69,2,Jayson Tatum,T.J. Warren,Norman Powell,3.591198371286174,3.884819479312727,4.0023577336911025
Cole Anthony,College,20.1,5.22,2,Paul George,Zach LaVine,Caris LeVert,2.2190505707369015,2.488312359341561,2.6419303767482085
Isaiah Stewart,College,19.08,6.62,5,Kristaps Porziņģis,John Collins,Myles Turner,3.3229390335370974,3.46651630384442,3.7046730915232664
Josh Green,College,19.59,5.3,8,Donte DiVincenzo,Delon Wright,Marcus Smart,2.4263202342239216,2.775726200871613,2.8074429900573303
Saddiq Bey,College,21.19,5.68,8,Gordon Hayward,Danilo Gallinari,Norman Powell,2.656082672157221,2.6612616719300792,2.6637620596440463
Precious Achiuwa,College,20.75,6.08,5,Andre Drummond,Kristaps Porziņģis,Anthony Davis,3.6636989347790663,3.6799072909417982,3.6850294862957855
Tyrese Maxey,College,19.62,4.82,4,Shai Gilgeous-Alexander,Eric Bledsoe,Alec Burks,2.1525471852395843,2.1981555136854856,2.3102075188270867
Zeke Nnaji,College,19.44,6.43,5,Christian Wood,Jonas Valančiūnas,Serge Ibaka,2.6682840054663655,3.0990666641973577,3.116967748930611
Immanuel Quickley,College,21.01,5.58,8,Danilo Gallinari,Norman Powell,Jordan Clarkson,2.309681099103755,2.556531706781827,2.7616418909819265
Payton Pritchard,College,22.39,7.22,2,Kyrie Irving,Chris Paul,Kawhi Leonard,2.707542495338489,2.977725688811683,3.064479166767304
Udoka Azubuike,College,20.75,7.55,5,Hassan Whiteside,Rudy Gobert,Mitchell Robinson,5.283015894512475,5.547390109069537,5.860636567654655
Jaden McDaniels,College,19.72,4.73,5,James Johnson,Jaren Jackson Jr.,James Johnson,3.182925203752506,3.3418880585730473,3.3961396969014515
Malachi Flynn,College,22.11,7.31,2,Kawhi Leonard,Chris Paul,Jimmy Butler,3.1813907818173193,3.233100148726331,3.3144797798445627
Desmond Bane,College,21.98,6.59,2,Paul George,Kawhi Leonard,Jimmy Butler,2.3816371690639904,2.7649404244700087,2.827163105277277
Tyrell Terry,College,19.72,6.16,2,Paul George,Khris Middleton,Chris Paul,2.210395881007362,2.831453896164184,2.929429869149211
Vernon Carey Jr.,College,19.31,7.29,5,John Collins,Anthony Davis,Joel Embiid,3.97964177619773,3.992350118664951,4.103345300647741
Daniel Oturu,College,20.75,7.64,5,Anthony Davis,Hassan Whiteside,Kristaps Porziņģis,3.861585817928869,4.443595476797127,4.558790685680157
Xavier Tillman,College,21.43,7.27,5,Anthony Davis,Jusuf Nurkić,Jonathan Isaac,3.9651579107129846,4.724379317260003,4.794978324914579
Tyler Bey,College,22.35,7.06,5,Steven Adams,Jayson Tatum,Anthony Davis,4.437691811576816,4.441583626600862,4.45746295455296
Saben Lee,College,20.99,5.72,2,De'Aaron Fox,Paul George,Zach LaVine,2.2619308768057396,2.3528100241025283,2.358148898791968
Elijah Hughes,College,22.28,5.74,2,Jayson Tatum,Kemba Walker,Paul George,2.0911337905167904,2.146401172455515,2.18937976327282
Robert Woodard II,College,20.74,4.99,5,OG Anunoby,Gorgui Dieng,Gorgui Dieng,2.818532423249409,2.8508911704077473,2.854914495290474
Tre Jones,College,20.44,6.47,2,Fred VanVleet,Chris Paul,Jimmy Butler,2.3391636052572564,2.401095835677559,2.5488694622296117
Nick Richards,College,22.55,6.0,5,Mitchell Robinson,Myles Turner,JaVale McGee,4.046021376711548,4.050116778300631,4.069779549402787
Jahmi'us Ramsey,College,19.03,5.26,8,Jayson Tatum,Shai Gilgeous-Alexander,Paul George,2.7997987755110296,2.8764599092338257,2.933549774561957
Jordan Nwora,College,21.78,5.84,8,Danilo Gallinari,Kevin Love,Jaylen Brown,2.9567072552113687,3.1300289225991187,3.16073607099404
CJ Elleby,College,20.01,6.19,2,Jayson Tatum,Paul George,Kawhi Leonard,2.538224385845101,3.0456478143131727,3.218457660235692
Nico Mannion,College,19.26,5.17,4,Eric Bledsoe,Chris Paul,Kyle Lowry,2.584651786829818,2.725402935185382,2.7477126924740944
Isaiah Joe,College,20.96,4.8,8,Norman Powell,Terrence Ross,Alec Burks,2.2599454683539,2.5062973542948996,2.56468388541115
Skylar Mays,College,22.62,6.44,2,Paul George,Chris Paul,Jimmy Butler,2.6177397915999645,3.2149253967845675,3.2172270138155707
Justinian Jessup,College,22.07,5.77,8,Norman Powell,T.J. Warren,Shai Gilgeous-Alexander,2.3273643323730124,2.8535202110456384,2.9402752967605412
Cassius Winston,College,22.3,6.58,2,Kyrie Irving,Chris Paul,Kyle Lowry,2.972776172515901,3.034443388400566,3.1815155873013734
Cassius Stanley,College,20.84,4.68,8,Paul Millsap,Marcus Morris,Nemanja Bjelica,2.540235677904901,2.6367807785356905,2.6434289815667396
Grant Riller,College,23.36,6.84,2,Paul George,Kawhi Leonard,Zach LaVine,1.9740422096302883,2.2153943599973633,2.416798700894064
Reggie Perry,College,20.25,6.78,2,Joel Embiid,Karl-Anthony Towns,Nikola Vučević,2.1383642402541496,2.615562228065534,3.3692433183411254
Paul Reed,College,21.01,7.17,5,Anthony Davis,Jonathan Isaac,Jusuf Nurkić,3.907574901746882,4.044107480606216,4.7801353328574665
Jalen Harris,College,21.85,6.19,2,Paul George,Khris Middleton,Kemba Walker,1.9613253059421685,2.307424583355508,2.5348856776653665
Sam Merrill,College,24.09,6.54,2,Khris Middleton,Kemba Walker,Paul George,2.5694365165907627,2.705709206747144,3.1349722287795947
Devon Dotson,College,20.88,7.14,2,Kawhi Leonard,Jimmy Butler,Paul George,3.5139942766615664,3.6583899233219657,3.8146905852594704
Ashton Hagans,College,20.95,5.48,2,Fred VanVleet,Ricky Rubio,Kyle Lowry,3.216336065198535,3.26689045200565,3.3085345517251077
Markus Howard,College,21.3,7.02,2,Kyrie Irving,Bradley Beal,Damian Lillard,3.724265515745663,3.845760031698173,3.862151782093664
Mason Jones,College,21.91,7.1,2,Paul George,Kawhi Leonard,Zach LaVine,2.1805748134046987,2.271218320289574,3.096072475058625
Anfernee McLemore,College,22.0,3.29,5,Gorgui Dieng,Gorgui Dieng,John Henson,2.02474690985437,2.3142227514090687,2.536418890574054
Myles Powell,College,22.95,5.22,2,Paul George,Donovan Mitchell,Zach LaVine,2.312330288134836,2.619491325166524,2.6860941812203354
Trevelin Queen,College,23.31,5.77,2,Paul George,Dejounte Murray,Donte DiVincenzo,2.9286841790388136,3.08018131245721,3.432015325819354
