timestamp,iteration,avg_accuracy,avg_ndcg,objective
2025-12-06T10:19:05.760649,1,0.02857142857142857,0.0,-0.014285714285714285
2025-12-06T10:19:06.502323,2,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:19:07.250005,3,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:19:07.995683,4,0.04285714285714286,0.0,-0.02142857142857143
2025-12-06T10:19:08.758378,5,0.02857142857142857,0.0,-0.014285714285714285
2025-12-06T10:19:09.517068,6,0.02857142857142857,0.0,-0.014285714285714285
2025-12-06T10:19:10.262747,7,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:19:11.018435,8,0.02857142857142857,0.0,-0.014285714285714285
2025-12-06T10:19:11.758108,9,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:19:12.497781,10,0.0,0.0,-0.0
2025-12-06T10:19:14.410522,11,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:19:16.268213,12,0.02857142857142857,0.0,-0.014285714285714285
2025-12-06T10:19:18.046831,13,0.05714285714285714,0.0,-0.02857142857142857
2025-12-06T10:19:19.734368,14,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:19:21.938373,15,0.02857142857142857,0.0,-0.014285714285714285
2025-12-06T10:19:23.539831,16,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:19:25.164309,17,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:19:26.804802,18,0.04285714285714286,0.0,-0.02142857142857143
2025-12-06T10:19:28.860673,19,0.02857142857142857,0.0,-0.014285714285714285
2025-12-06T10:19:30.842477,20,0.02857142857142857,0.0,-0.014285714285714285
2025-12-06T10:19:32.805263,21,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:19:34.774057,22,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:19:37.496984,23,0.02857142857142857,0.0,-0.014285714285714285
2025-12-06T10:19:39.595894,24,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:19:42.589620,25,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:19:45.166966,26,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:19:48.012555,27,0.02857142857142857,0.0,-0.014285714285714285
2025-12-06T10:19:49.974340,28,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:19:53.153234,29,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:19:57.359062,30,0.04285714285714286,0.0,-0.02142857142857143
2025-12-06T10:20:00.772169,31,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:20:04.339414,32,0.02857142857142857,0.0,-0.014285714285714285
2025-12-06T10:20:08.112849,33,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:20:11.089559,34,0.04285714285714286,0.0,-0.02142857142857143
2025-12-06T10:20:14.122318,35,0.0,0.0,-0.0
2025-12-06T10:20:16.087106,36,0.0,0.0,-0.0
2025-12-06T10:20:17.960812,37,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:20:23.717051,38,0.04285714285714286,0.0,-0.02142857142857143
2025-12-06T10:20:25.726880,39,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:20:27.721695,40,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:20:29.657457,41,0.02857142857142857,0.0,-0.014285714285714285
2025-12-06T10:20:31.772383,42,0.02857142857142857,0.0,-0.014285714285714285
2025-12-06T10:20:37.152279,43,0.04285714285714286,0.0,-0.02142857142857143
2025-12-06T10:20:44.906336,44,0.04285714285714286,0.0,-0.02142857142857143
2025-12-06T10:20:50.419353,45,0.04285714285714286,0.0,-0.02142857142857143
2025-12-06T10:20:54.684051,46,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:21:00.216086,47,0.04285714285714286,0.0,-0.02142857142857143
2025-12-06T10:21:05.690068,48,0.02857142857142857,0.0,-0.014285714285714285
2025-12-06T10:21:12.051858,49,0.014285714285714285,0.0,-0.007142857142857143
2025-12-06T10:21:19.788297,50,0.02857142857142857,0.0,-0.014285714285714285
