Name,Age,classification,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,EFG%,3PAR,FTAR,NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG
Bryce McGowens,19.61,College,,G,31.0,31.0,33.3,5.2,12.8,0.403,1.3,4.7,0.274,3.9,8.1,0.478,0.453,5.2,6.3,0.831,0.7,4.5,5.2,1.4,0.7,0.3,2.1,2.0,16.8,16.9,0.533,0.368,0.491,486.0,2.4,14.6,8.7,8.6,1.2,1.0,11.7,27.2,1.6,0.6,2.2,0.086,2.3,-1.0,1.3,0.453,0.368,0.491,0.358,0.32,0.66,0.062,0.023,103.0,110.0
E.J. Liddell,,College,,F,32.0,32.0,33.2,6.3,12.9,0.49,1.4,3.8,0.374,4.9,9.1,0.54,0.546,5.3,6.9,0.765,2.3,5.7,7.9,2.5,0.6,2.6,2.4,2.5,19.4,30.5,0.598,0.297,0.534,612.0,8.9,19.3,14.5,17.0,1.0,8.5,12.9,30.5,4.6,1.6,6.3,0.236,8.5,3.3,11.8,,,,,,,,,,
Trevor Keels,18.81,College,,G,36.0,26.0,30.2,4.1,9.8,0.419,1.5,4.8,0.312,2.6,4.9,0.522,0.496,1.8,2.7,0.67,0.8,2.6,3.4,2.7,1.2,0.1,1.3,1.3,11.5,16.5,0.52,0.493,0.276,412.0,3.3,9.0,6.4,14.9,2.4,0.2,10.2,20.7,2.3,1.3,3.7,0.134,2.7,1.5,4.2,0.496,0.493,0.276,0.344,0.72,2.18,0.085,0.048,112.4,103.2
Moussa Diabate,20.41,College,,F,32.0,26.0,24.9,3.7,6.8,0.542,0.1,0.4,0.214,3.6,6.3,0.564,0.549,1.6,2.6,0.619,2.4,3.6,6.0,0.8,0.3,0.9,1.5,2.7,9.0,17.6,0.565,0.065,0.389,290.0,11.9,17.0,14.5,6.2,0.8,3.7,15.5,19.7,1.6,0.9,2.5,0.124,1.6,1.1,2.8,0.549,0.065,0.389,0.308,0.31,0.55,0.08,0.045,110.9,104.1
Ryan Rollins,19.96,College,,G,34.0,34.0,32.7,6.8,14.6,0.468,1.4,4.4,0.311,5.4,10.1,0.536,0.515,3.8,4.8,0.802,0.7,5.3,6.0,3.6,1.7,0.3,2.2,2.4,18.9,24.7,0.559,0.304,0.327,613.0,2.4,16.2,9.7,20.5,3.0,0.9,11.7,28.9,3.6,2.2,5.8,0.208,3.4,2.0,5.4,0.515,0.304,0.327,0.357,0.71,1.62,0.13,0.079,114.0,95.1
Josh Minott,20.46,College,,G,33.0,5.0,14.6,2.5,4.8,0.522,0.1,0.4,0.143,2.5,4.4,0.559,0.528,1.5,2.0,0.754,1.6,2.2,3.8,0.9,0.8,0.7,0.9,1.8,6.6,23.7,0.571,0.088,0.409,215.0,12.9,15.7,14.4,12.8,3.1,5.4,14.0,21.9,1.4,1.0,2.4,0.199,3.8,3.4,7.2,0.528,0.088,0.409,0.327,0.58,1.0,0.116,0.083,117.6,93.7
Kendall Brown,19.11,College,,G,34.0,34.0,27.0,3.9,6.6,0.584,0.4,1.2,0.341,3.5,5.4,0.638,0.615,1.5,2.2,0.689,1.7,3.1,4.9,1.9,1.0,0.4,1.7,2.3,9.7,18.4,0.63,0.181,0.327,321.0,7.3,13.7,10.5,12.3,2.2,1.5,18.2,17.1,2.2,1.8,4.0,0.174,3.7,3.6,7.4,0.615,0.181,0.327,0.326,0.72,1.09,0.096,0.078,118.5,95.2
Isaiah Mobley,22.73,College,,F,32.0,32.0,34.1,5.0,11.3,0.445,1.3,3.8,0.352,3.7,7.5,0.492,0.504,2.8,4.0,0.682,2.2,6.1,8.3,3.3,0.8,0.9,1.9,2.0,14.2,21.1,0.535,0.337,0.356,467.0,7.5,18.7,13.4,18.8,1.3,2.7,12.4,22.4,2.9,2.0,4.9,0.178,5.2,2.7,7.9,0.504,0.337,0.356,0.34,0.84,1.77,0.106,0.073,114.5,96.8
Tyrese Martin,23.28,College,,G,29.0,29.0,32.1,5.0,11.1,0.449,1.5,3.4,0.43,3.5,7.6,0.457,0.516,2.1,3.1,0.689,2.3,5.2,7.5,1.9,0.8,0.5,1.8,2.1,13.6,19.5,0.54,0.312,0.28,377.0,8.2,17.9,13.0,12.1,1.5,1.6,12.7,22.3,2.3,1.6,3.9,0.168,4.9,1.8,6.7,0.516,0.312,0.28,0.348,0.54,1.06,0.099,0.069,113.7,97.6
JD Davison,19.71,College,,G,33.0,5.0,25.8,3.0,6.5,0.463,0.8,2.5,0.301,2.2,4.0,0.565,0.521,1.8,2.5,0.728,1.1,3.7,4.8,4.3,1.0,0.4,2.9,1.2,8.5,16.0,0.558,0.388,0.379,333.0,4.5,15.2,9.8,29.4,2.1,1.4,27.3,18.8,1.2,0.8,2.1,0.097,3.3,1.9,5.2,0.521,0.388,0.379,0.339,1.56,1.51,0.056,0.038,104.5,105.4
Jabari Walker,19.89,College,,F,33.0,33.0,28.1,4.8,10.5,0.461,1.1,3.2,0.346,3.8,7.4,0.51,0.513,3.8,4.9,0.784,2.1,7.3,9.4,1.2,0.7,0.7,2.3,2.5,14.6,23.0,0.57,0.3,0.467,456.0,8.9,29.3,19.5,10.0,1.5,2.6,15.2,27.6,2.3,2.0,4.3,0.185,3.8,1.8,5.7,0.513,0.3,0.467,0.353,0.36,0.54,0.099,0.086,109.8,93.8
Tevin Brown,23.74,College,,G,34.0,34.0,35.2,5.5,12.9,0.427,3.1,8.1,0.384,2.4,4.8,0.5,0.548,2.7,3.6,0.748,0.6,5.0,5.6,3.1,1.4,0.6,1.8,1.5,16.8,21.6,0.576,0.63,0.281,531.0,1.9,16.1,9.1,15.5,2.3,2.1,11.1,23.1,3.8,2.6,6.4,0.215,5.1,2.3,7.3,0.548,0.63,0.281,0.379,0.67,1.68,0.127,0.087,120.6,93.0
John Butler,19.54,College,,F,31.0,24.0,19.0,2.2,5.4,0.416,1.1,2.7,0.393,1.2,2.6,0.439,0.515,0.4,0.8,0.44,0.7,2.5,3.2,0.7,0.4,1.2,0.8,2.0,5.9,13.3,0.512,0.506,0.151,165.0,4.0,15.9,9.8,7.5,1.3,7.5,12.8,17.4,0.5,0.6,1.1,0.076,-0.2,1.7,1.5,0.515,0.506,0.151,0.319,0.43,0.88,0.034,0.041,101.0,105.1
Julian Champagnie,20.97,College,,G,31.0,31.0,34.2,7.1,17.2,0.414,2.1,6.2,0.337,5.0,11.0,0.457,0.475,2.9,3.7,0.781,1.4,5.3,6.6,2.0,2.0,1.1,1.5,1.5,19.2,21.6,0.507,0.361,0.213,530.0,4.1,16.5,10.2,11.0,3.1,3.5,7.3,27.7,2.2,1.9,4.1,0.153,4.5,1.6,6.2,0.475,0.361,0.213,0.366,0.4,1.37,0.083,0.072,107.1,97.5
Kofi Cockburn,22.8,College,,C,28.0,28.0,30.7,8.1,13.6,0.593,0.0,0.0,,8.1,13.6,0.593,0.593,4.8,7.3,0.655,3.4,7.2,10.6,0.8,0.8,1.0,2.3,2.4,20.9,32.1,0.613,0.0,0.533,511.0,12.8,25.6,19.4,6.6,1.6,3.0,12.0,32.0,3.5,1.8,5.3,0.247,7.4,2.0,9.3,0.593,0.0,0.533,0.311,0.21,0.34,0.163,0.084,118.6,94.2
Keon Ellis,22.44,College,,G,33.0,33.0,30.9,3.7,8.4,0.439,2.0,5.5,0.366,1.7,2.9,0.579,0.559,2.7,3.1,0.881,1.9,4.2,6.1,1.8,1.9,0.6,1.6,2.7,12.1,19.9,0.614,0.658,0.363,386.0,6.4,14.5,10.5,10.2,3.4,1.9,13.8,17.1,2.9,1.3,4.2,0.165,5.7,3.8,9.5,0.559,0.658,0.363,0.383,0.6,1.13,0.114,0.051,125.1,102.1
Jordan Hall,20.43,College,,G,30.0,29.0,34.9,5.2,13.3,0.393,2.3,6.3,0.362,3.0,7.1,0.42,0.478,1.4,1.9,0.737,1.0,5.7,6.7,5.8,1.2,0.2,3.5,2.5,14.1,16.2,0.496,0.47,0.143,471.0,3.1,17.9,10.6,35.5,2.1,0.5,19.7,25.9,1.1,1.6,2.7,0.105,1.8,1.3,3.0,0.478,0.47,0.142,0.363,1.37,1.66,0.042,0.061,98.4,99.7
Ron Harper Jr.,22.19,College,,G,32.0,32.0,34.3,5.3,12.1,0.442,2.1,5.3,0.398,3.2,6.8,0.477,0.53,3.0,3.8,0.795,1.3,4.6,5.9,1.9,1.0,0.6,1.6,2.0,15.8,20.5,0.57,0.442,0.315,458.0,4.4,15.6,10.0,11.6,1.8,2.2,10.5,24.0,2.9,1.5,4.4,0.159,4.8,1.6,6.4,0.53,0.442,0.315,0.37,0.48,1.17,0.106,0.055,114.3,101.7
Johnny Juzang,21.09,College,,G,30.0,29.0,31.8,6.0,13.8,0.432,1.5,4.2,0.36,4.5,9.6,0.464,0.487,2.2,2.6,0.835,0.8,4.0,4.7,1.8,0.7,0.1,1.6,2.0,15.6,18.1,0.519,0.302,0.191,421.0,2.7,15.0,8.7,11.5,1.4,0.5,9.4,27.0,2.0,1.5,3.5,0.146,3.6,1.4,5.0,0.487,0.302,0.191,0.366,0.43,1.15,0.084,0.063,107.2,99.3
Justin Lewis,20.19,College,,F,32.0,32.0,32.2,6.1,13.8,0.44,1.8,5.2,0.349,4.3,8.7,0.495,0.506,2.8,3.7,0.761,1.2,6.8,7.9,1.7,1.1,0.6,1.9,2.2,16.8,19.9,0.539,0.375,0.264,488.0,4.2,21.6,13.4,11.0,1.9,2.0,11.1,27.5,1.8,1.8,3.6,0.138,3.9,1.3,5.2,0.506,0.375,0.264,0.361,0.4,0.87,0.07,0.07,103.8,97.6
Kenneth Lofton Jr.,19.85,College,,F,33.0,33.0,27.0,6.3,11.7,0.539,0.1,0.6,0.2,6.2,11.1,0.557,0.544,3.7,5.5,0.672,3.3,7.2,10.5,2.8,1.2,0.7,3.1,2.7,16.5,29.9,0.574,0.052,0.474,570.0,13.9,29.1,21.7,23.4,2.4,3.0,17.6,32.6,2.9,2.2,5.2,0.232,4.9,2.1,7.0,0.544,0.052,0.474,0.31,0.72,0.9,0.13,0.099,110.6,89.8
Iverson Molinar,22.54,College,,G,34.0,34.0,34.1,6.0,13.3,0.454,0.8,3.1,0.252,5.2,10.1,0.516,0.483,4.6,5.4,0.868,0.5,2.6,3.1,3.6,1.2,0.4,2.4,1.5,17.5,21.3,0.553,0.237,0.403,570.0,1.8,9.0,5.4,23.5,2.1,1.3,12.9,27.4,3.4,1.4,4.8,0.168,5.1,1.2,6.3,0.483,0.237,0.403,0.352,0.86,1.52,0.117,0.048,113.5,103.1
