Name,classification,Age,OverallScore
Paolo Banchero,College,19.6,6.94
Chet Holmgren,College,20.13,9.2
Jabari Smith,College,19.1,7.26
Keegan Murray,College,21.83,8.94
Jaden Ivey,College,20.35,6.23
Bennedict Mathurin,College,20.0,6.34
Jeremy Sochan,College,19.08,5.27
Johnny Davis,College,20.31,6.57
Jalen Williams,College,21.18,6.59
Jalen Duren,College,18.58,5.83
Ochai Agbaji,College,22.16,6.29
Mark Williams,College,20.51,7.25
AJ Griffin,College,18.82,5.25
Tari Eason,College,21.11,8.38
Dalen Terry,College,19.94,5.79
Jake LaRavia,College,20.62,7.77
Malaki Branham,College,19.1,5.41
Christian Braun,College,21.17,6.49
Walker Kessler,College,20.9,7.72
David Roddy,College,21.23,7.95
Blake Wesley,College,19.26,4.07
Wendell Moore,College,20.75,6.84
Patrick Baldwin Jr.,College,19.58,2.89
TyTy Washington,College,20.59,5.46
Peyton Watson,College,19.77,1.7
Andrew Nembhard,College,22.42,6.4
Caleb Houstan,College,19.44,3.65
Christian Koloko,College,22.0,6.86
Jaylin Williams,College,19.97,6.27
Max Christie,College,19.35,3.23
Kennedy Chandler,College,19.76,6.57
Bryce McGowens,College,19.61,4.12
E.J. Liddell,College,,
Trevor Keels,College,18.81,4.32
Moussa Diabate,College,20.41,3.64
Ryan Rollins,College,19.96,6.84
Josh Minott,College,20.46,4.3
Kendall Brown,College,19.11,5.7
Isaiah Mobley,College,22.73,5.81
Tyrese Martin,College,23.28,5.14
JD Davison,College,19.71,5.01
Jabari Walker,College,19.89,6.03
Tevin Brown,College,23.74,6.27
John Butler,College,19.54,2.15
Julian Champagnie,College,20.97,6.06
Kofi Cockburn,College,22.8,7.08
Keon Ellis,College,22.44,6.31
Jordan Hall,College,20.43,5.6
Ron Harper Jr.,College,22.19,5.52
Johnny Juzang,College,21.09,4.78
Justin Lewis,College,20.19,5.56
Kenneth Lofton Jr.,College,19.85,7.13
Iverson Molinar,College,22.54,5.8
Orlando Robinson,College,21.94,7.65
Dereon Seabron,College,22.07,5.76
Alondes Williams,College,23.0,6.79
Trevion Williams,College,21.76,6.6
Dyson Daniels,G League,19.26,6.14
MarJon Beauchamp,G League,20.68,5.96
Jaden Hardy,G League,19.96,6.01
Michael Foster Jr.,G League,19.42,6.42
Ousmane Dieng,International,19.08,3.9
Nikola Jović,International,19.03,5.55
Gabriele Procida,International,20.05,4.94
Khalifa Diop,International,20.42,4.6
Ismael Kamagate,International,21.42,5.77
Matteo Spagnolo,International,19.44,5.79
Karlo Matković,International,21.22,5.11
Yannick Nzosa,International,18.59,2.13
Luke Travers,International,20.79,4.57
Hugo Besson,International,21.15,4.73
Ziga Samar,International,21.39,5.6
Shaedon Sharpe,College,19.05,5.93
