Name,classification,Age,OverallScore,Archetype,Comp1,Comp2,Comp3,Comp1_dist,Comp2_dist,Comp3_dist
Paolo Banchero,College,19.6,6.94,5,Pascal Siakam,Miles Bridges,Karl-Anthony Towns,2.3405702305630514,2.4361491183936703,2.4518415648303296
Chet Holmgren,College,20.13,9.2,2,Myles Turner,Robert Williams,Anthony Davis,5.751668261052568,6.963890575358183,7.107259547389346
Jabari Smith,College,19.1,7.26,2,Kristaps Porziņģis,Kristaps Porziņģis,Karl-Anthony Towns,3.1431580058509345,3.2377009681430575,3.326468597634905
Keegan Murray,College,21.83,8.94,2,Kristaps Porziņģis,Kristaps Porziņģis,Anthony Davis,3.921874481617486,4.112424358340257,4.245736050733203
Jaden Ivey,College,20.35,6.23,5,Jaylen Brown,Anthony Edwards,Josh Hart,2.2416202591977417,2.415945259834366,2.560802029194294
Bennedict Mathurin,College,20.0,6.34,8,Desmond Bane,Bogdan Bogdanović,Jaylen Brown,2.054606792173991,2.4133978674961125,2.468648870998047
Jeremy Sochan,College,19.08,5.27,2,Kyle Anderson,Thaddeus Young,De'Anthony Melton,2.458468895153877,2.726060774034775,2.7640800645178407
Johnny Davis,College,20.31,6.57,5,Jayson Tatum,Pascal Siakam,Jaylen Brown,2.6300327513780952,2.962133589621601,3.048280172789784
Jalen Williams,College,21.18,6.59,5,Josh Hart,Mike Conley,Anthony Edwards,1.8654004943408384,1.9281338052073889,1.9807985985345045
Jalen Duren,College,18.58,5.83,2,Robert Williams,Anthony Davis,Myles Turner,3.592211533888535,4.169933300608918,4.351675927918556
Ochai Agbaji,College,22.16,6.29,8,Desmond Bane,Andrew Wiggins,Jerami Grant,2.5690547253296945,2.6876005471105184,2.823507895680707
Mark Williams,College,20.51,7.25,2,Robert Williams,Myles Turner,Rudy Gobert,3.953907093049664,4.80084223293724,5.5840967471463285
AJ Griffin,College,18.82,5.25,6,Mike Muscala,Obi Toppin,Frank Kaminsky,1.6507816710768302,2.2299902316930416,2.267628681347661
Tari Eason,College,21.11,8.38,2,Robert Covington,Karl-Anthony Towns,Kristaps Porziņģis,4.969865664073402,5.203301306780907,5.21227950994231
Dalen Terry,College,19.94,5.79,8,Delon Wright,T.J. McConnell,Royce O'Neale,2.6816519172014357,2.6934250099762567,2.746548718706175
Jake LaRavia,College,20.62,7.77,5,Lonzo Ball,Pascal Siakam,Jimmy Butler,2.465601747989703,3.448700933264405,3.4570460939782364
Malaki Branham,College,19.1,5.41,8,Spencer Dinwiddie,Desmond Bane,Malik Monk,1.8967552010528863,1.9196374718798452,1.9507504071890067
Christian Braun,College,21.17,6.49,2,Scottie Barnes,Miles Bridges,De'Anthony Melton,2.4997514478374487,2.70268060850771,2.832801121795275
Walker Kessler,College,20.9,7.72,2,Myles Turner,Robert Williams,Jaren Jackson Jr.,8.712132567728482,10.011421913548274,10.33933306794168
David Roddy,College,21.23,7.95,2,Karl-Anthony Towns,Kristaps Porziņģis,Christian Wood,2.682686185262956,3.209445154945215,3.5211391199712176
Blake Wesley,College,19.26,4.07,8,Dillon Brooks,Collin Sexton,Jordan Clarkson,2.3029865799547062,2.3667888110333655,2.402955352999761
Wendell Moore,College,20.75,6.84,8,Mike Conley,Josh Hart,Josh Hart,2.0908191539356755,2.406911584940795,2.630335488287353
Patrick Baldwin Jr.,College,19.58,2.89,8,Aleksej Pokusevski,Nickeil Alexander-Walker,Darius Bazley,2.2589454713308825,2.3598123583105792,2.38106492873161
TyTy Washington,College,20.59,5.46,8,Mike Conley,De'Anthony Melton,Bogdan Bogdanović,1.9057357571211433,2.302020026775166,2.561098145843277
Peyton Watson,College,19.77,1.7,3,Justise Winslow,Justise Winslow,Abdel Nader,2.3713520209790753,2.6805195775867325,2.8914208097913985
Andrew Nembhard,College,22.42,6.4,8,Mike Conley,Marcus Smart,Tyrese Haliburton,1.9752009214790456,2.11663429756402,2.730954565469405
Caleb Houstan,College,19.44,3.65,8,Josh Richardson,Alec Burks,Rudy Gay,1.8798606294832372,1.9264289360681364,1.9403332408665128
Christian Koloko,College,22.0,6.86,2,Robert Williams,Myles Turner,Anthony Davis,3.699889470993627,4.0612192755190035,4.891617584464184
Jaylin Williams,College,19.97,6.27,2,Al Horford,Evan Mobley,Nikola Vučević,2.994558570093606,3.4052010553366756,3.413502328212447
Max Christie,College,19.35,3.23,8,Josh Richardson,Jeremy Lamb,Danuel House Jr.,1.791556428392541,1.7959206401117758,1.809421218662934
Kennedy Chandler,College,19.76,6.57,5,Marcus Smart,Jrue Holiday,Mike Conley,3.4612075918141603,3.474965711127088,3.725805922752819
Bryce McGowens,College,19.61,4.12,8,Jordan Clarkson,Luguentz Dort,Buddy Hield,1.5893586375651352,1.6699127926170534,1.7386120589982712
