Name,Archetype,Comp1,Comp2,Comp3,Comp1_AllStars,Comp2_AllStars,Comp3_AllStars,UpsideRaw,Upside01,UpsideScore
Paolo Banchero,5,Pascal Siakam,Miles Bridges,Karl-Anthony Towns,2.0,0.0,4.0,1.9957815765951272,0.5125889575401874,5.13
Chet Holmgren,2,Myles Turner,Robert Williams,Anthony Davis,0.0,0.0,9.0,2.7638951214959433,0.7098683221111934,7.1
Jabari Smith,2,Kristaps Porziņģis,Kristaps Porziņģis,Karl-Anthony Towns,1.0,1.0,4.0,1.972214952749951,0.5065361954086973,5.07
Keegan Murray,2,Kristaps Porziņģis,Kristaps Porziņģis,Anthony Davis,1.0,1.0,9.0,3.5682223846948498,0.9164486805027461,9.16
Jaden Ivey,5,Jaylen Brown,Anthony Edwards,Josh Hart,3.0,2.0,0.0,1.7321929552515953,0.4448898574891472,4.45
Bennedict Mathurin,8,Desmond Bane,Bogdan Bogdanović,Jaylen Brown,0.0,0.0,3.0,0.9304021273667828,0.23896094750696292,2.39
Jeremy Sochan,2,Kyle Anderson,Thaddeus Young,De'Anthony Melton,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Davis,5,Jayson Tatum,Pascal Siakam,Jaylen Brown,5.0,2.0,3.0,3.404306059540571,0.8743490343190219,8.74
Jalen Williams,5,Josh Hart,Mike Conley,Anthony Edwards,0.0,1.0,2.0,0.9799744859040052,0.2516929237329154,2.52
Jalen Duren,2,Robert Williams,Anthony Davis,Myles Turner,0.0,9.0,0.0,2.8854825544876546,0.7410963764524586,7.41
Ochai Agbaji,8,Desmond Bane,Andrew Wiggins,Jerami Grant,0.0,1.0,0.0,0.3335546434190914,0.08566890733833345,0.86
Mark Williams,2,Robert Williams,Myles Turner,Rudy Gobert,0.0,0.0,3.0,0.8390557682052706,0.2154998956730378,2.15
AJ Griffin,6,Mike Muscala,Obi Toppin,Frank Kaminsky,0.0,0.0,0.0,0.0,0.0,0.0
Tari Eason,2,Robert Covington,Karl-Anthony Towns,Kristaps Porziņģis,0.0,4.0,1.0,1.641336927155266,0.42155474042308405,4.22
Dalen Terry,8,Delon Wright,T.J. McConnell,Royce O'Neale,0.0,0.0,0.0,0.0,0.0,0.0
Jake LaRavia,5,Lonzo Ball,Pascal Siakam,Jimmy Butler,0.0,2.0,6.0,2.3512318247623765,0.603881448813852,6.04
Malaki Branham,8,Spencer Dinwiddie,Desmond Bane,Malik Monk,0.0,0.0,0.0,0.0,0.0,0.0
Christian Braun,2,Scottie Barnes,Miles Bridges,De'Anthony Melton,1.0,0.0,0.0,0.3562082381976393,0.09148717055323101,0.91
Walker Kessler,2,Myles Turner,Robert Williams,Jaren Jackson Jr.,0.0,0.0,1.0,0.31060455949802507,0.07977449497852555,0.8
David Roddy,2,Karl-Anthony Towns,Kristaps Porziņģis,Christian Wood,4.0,1.0,0.0,1.8615600051841954,0.47811599908833546,4.78
Blake Wesley,8,Dillon Brooks,Collin Sexton,Jordan Clarkson,0.0,0.0,0.0,0.0,0.0,0.0
Wendell Moore,8,Mike Conley,Josh Hart,Josh Hart,1.0,0.0,0.0,0.3754373808911384,0.09642591050515902,0.96
Patrick Baldwin Jr.,8,Aleksej Pokusevski,Nickeil Alexander-Walker,Darius Bazley,0.0,0.0,0.0,0.0,0.0,0.0
TyTy Washington,8,Mike Conley,De'Anthony Melton,Bogdan Bogdanović,1.0,0.0,0.0,0.3888081281200112,0.09986000242381171,1.0
Peyton Watson,3,Justise Winslow,Justise Winslow,Abdel Nader,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Nembhard,8,Mike Conley,Marcus Smart,Tyrese Haliburton,1.0,0.0,2.0,0.9209785507062804,0.23654063188056665,2.37
Caleb Houstan,8,Josh Richardson,Alec Burks,Rudy Gay,0.0,0.0,0.0,0.0,0.0,0.0
Christian Koloko,2,Robert Williams,Myles Turner,Anthony Davis,0.0,0.0,9.0,2.552056015023413,0.6554603708471822,6.55
Jaylin Williams,2,Al Horford,Evan Mobley,Nikola Vučević,5.0,0.0,2.0,2.450247105495726,0.6293121573276789,6.29
Max Christie,8,Josh Richardson,Jeremy Lamb,Danuel House Jr.,0.0,0.0,0.0,0.0,0.0,0.0
Kennedy Chandler,5,Marcus Smart,Jrue Holiday,Mike Conley,0.0,2.0,1.0,0.9986464349637292,0.2564885561888959,2.56
Bryce McGowens,8,Jordan Clarkson,Luguentz Dort,Buddy Hield,0.0,0.0,0.0,0.0,0.0,0.0
E.J. Liddell,2,Anthony Davis,Jaren Jackson Jr.,Kristaps Porziņģis,9.0,1.0,1.0,3.892452527193675,0.999722718451386,10.0
Trevor Keels,8,Cedi Osman,Bogdan Bogdanović,Evan Fournier,0.0,0.0,0.0,0.0,0.0,0.0
Moussa Diabate,2,Daniel Theis,Goga Bitadze,Drew Eubanks,0.0,0.0,0.0,0.0,0.0,0.0
