Name,Archetype,Comp1,Comp2,Comp3,Comp1_dist,Comp2_dist,Comp3_dist
Paolo Banchero,5,Pascal Siakam,Miles Bridges,Karl-Anthony Towns,2.3405702305630514,2.4361491183936703,2.4518415648303296
Chet Holmgren,2,Myles Turner,Robert Williams,Anthony Davis,5.751668261052568,6.963890575358183,7.107259547389346
Jabari Smith,2,Kristaps Porziņģis,Kristaps Porziņģis,Karl-Anthony Towns,3.1431580058509345,3.2377009681430575,3.326468597634905
Keegan Murray,2,Kristaps Porziņģis,Kristaps Porziņģis,Anthony Davis,3.921874481617486,4.112424358340257,4.245736050733203
Jaden Ivey,5,Jaylen Brown,Anthony Edwards,Josh Hart,2.2416202591977417,2.415945259834366,2.560802029194294
Bennedict Mathurin,8,Desmond Bane,Bogdan Bogdanović,Jaylen Brown,2.0546067921739914,2.4133978674961125,2.468648870998047
Jeremy Sochan,2,Kyle Anderson,Thaddeus Young,De'Anthony Melton,2.458468895153877,2.726060774034775,2.7640800645178407
Johnny Davis,5,Jayson Tatum,Pascal Siakam,Jaylen Brown,2.6300327513780952,2.9621335896216006,3.048280172789784
Jalen Williams,5,Josh Hart,Mike Conley,Anthony Edwards,1.8654004943408384,1.9281338052073886,1.9807985985345045
Jalen Duren,2,Robert Williams,Anthony Davis,Myles Turner,3.592211533888535,4.169933300608918,4.351675927918556
Ochai Agbaji,8,Desmond Bane,Andrew Wiggins,Jerami Grant,2.5690547253296945,2.6876005471105184,2.823507895680707
Mark Williams,2,Robert Williams,Myles Turner,Rudy Gobert,3.953907093049664,4.80084223293724,5.5840967471463285
AJ Griffin,6,Mike Muscala,Obi Toppin,Frank Kaminsky,1.6507816710768302,2.2299902316930416,2.267628681347661
Tari Eason,2,Robert Covington,Karl-Anthony Towns,Kristaps Porziņģis,4.969865664073402,5.203301306780907,5.21227950994231
Dalen Terry,8,Delon Wright,T.J. McConnell,Royce O'Neale,2.6816519172014357,2.6934250099762567,2.746548718706175
Jake LaRavia,5,Lonzo Ball,Pascal Siakam,Jimmy Butler,2.4656017479897034,3.448700933264405,3.4570460939782364
Malaki Branham,8,Spencer Dinwiddie,Desmond Bane,Malik Monk,1.8967552010528865,1.9196374718798452,1.9507504071890067
Christian Braun,2,Scottie Barnes,Miles Bridges,De'Anthony Melton,2.4997514478374487,2.70268060850771,2.832801121795275
Walker Kessler,2,Myles Turner,Robert Williams,Jaren Jackson Jr.,8.712132567728482,10.011421913548274,10.33933306794168
David Roddy,2,Karl-Anthony Towns,Kristaps Porziņģis,Christian Wood,2.682686185262956,3.2094451549452154,3.5211391199712176
Blake Wesley,8,Dillon Brooks,Collin Sexton,Jordan Clarkson,2.3029865799547062,2.3667888110333655,2.402955352999761
Wendell Moore,8,Mike Conley,Josh Hart,Josh Hart,2.0908191539356755,2.406911584940795,2.630335488287353
Patrick Baldwin Jr.,8,Aleksej Pokusevski,Nickeil Alexander-Walker,Darius Bazley,2.2589454713308825,2.3598123583105792,2.38106492873161
TyTy Washington,8,Mike Conley,De'Anthony Melton,Bogdan Bogdanović,1.9057357571211433,2.3020200267751654,2.561098145843277
Peyton Watson,3,Justise Winslow,Justise Winslow,Abdel Nader,2.3713520209790753,2.6805195775867325,2.8914208097913985
Andrew Nembhard,8,Mike Conley,Marcus Smart,Tyrese Haliburton,1.9752009214790454,2.11663429756402,2.730954565469405
Caleb Houstan,8,Josh Richardson,Alec Burks,Rudy Gay,1.8798606294832372,1.9264289360681364,1.9403332408665128
Christian Koloko,2,Robert Williams,Myles Turner,Anthony Davis,3.699889470993627,4.0612192755190035,4.891617584464184
Jaylin Williams,2,Al Horford,Evan Mobley,Nikola Vučević,2.994558570093606,3.4052010553366756,3.413502328212447
Max Christie,8,Josh Richardson,Jeremy Lamb,Danuel House Jr.,1.791556428392541,1.7959206401117758,1.8094212186629341
