Name,classification,Age,pg::PTS,pg::AST,pg::TRB,pg::STL,pg::BLK,pg::TOV,pg::FG%,pg::3P%,pg::FT%,adv::PER,adv::TS%,adv::OBPM,adv::DBPM,adv::BPM,adv::OWS,adv::DWS,adv::WS/40,OverallScore,Upside01,UpsideScore,Comp1,Comp2,Comp3,pg01,adv01,age01,UpdatedOverall01,UpdatedOverall
Paolo Banchero,College,19.6,0.7056074766355139,0.5357142857142857,0.6818181818181818,0.4210526315789473,0.19565217391304351,0.6129032258064516,0.39097744360902253,0.7176220806794056,0.655328798185941,0.5565699380502119,0.4909638554216869,0.5159235668789809,0.3666666666666666,0.5428571428571429,0.6176470588235294,0.6666666666666667,0.5471698113207548,6.94,0.5125889575401874,5.13,Pascal Siakam,Miles Bridges,Karl-Anthony Towns,0.8562356939311285,0.5974816135314015,0.8023255813953483,0.6974359483380924,6.97
Chet Holmgren,College,20.13,0.5607476635514018,0.30357142857142855,0.9204545454545456,0.26315789473684204,0.8043478260869567,0.45161290322580644,0.7142857142857142,0.8280254777070064,0.6281179138321995,0.7880665145092925,0.8945783132530121,0.6496815286624203,0.9444444444444443,0.9600000000000001,0.5147058823529411,1.0,0.9358490566037737,9.2,0.7098683221111934,7.1,Myles Turner,Robert Williams,Anthony Davis,0.9955846819219824,0.9716576874193004,0.6996124031007751,0.9143283091132445,9.14
Jabari Smith,College,19.1,0.6915887850467289,0.32142857142857145,0.6363636363636364,0.4210526315789473,0.2173913043478261,0.45161290322580644,0.2681704260651629,0.89171974522293,0.8140589569161,0.5859145745027715,0.5301204819277108,0.643312101910828,0.5333333333333332,0.7371428571428571,0.5000000000000001,0.7037037037037036,0.6830188679245285,7.26,0.5065361954086973,5.07,Kristaps Porziņģis,Kristaps Porziņģis,Karl-Anthony Towns,0.8188474953056352,0.6946978045679034,0.8992248062015498,0.7269375872041557,7.27
Keegan Murray,College,21.83,1.0,0.23214285714285712,0.784090909090909,0.5263157894736841,0.41304347826086957,0.19354838709677424,0.5814536340852132,0.8450106157112527,0.6961451247165533,1.0,0.7349397590361447,1.0,0.41111111111111104,1.0,1.0,0.5925925925925926,1.0,8.94,0.916448680502746,9.16,Kristaps Porziņģis,Kristaps Porziņģis,Anthony Davis,0.9456097835251727,1.0,0.3701550387596899,0.9131913688023715,9.13
Jaden Ivey,College,20.35,0.7102803738317758,0.5178571428571428,0.35227272727272735,0.31578947368421045,0.13043478260869568,0.6774193548387096,0.3458646616541354,0.7600849256900213,0.6893424036281179,0.5011411803064886,0.5572289156626505,0.535031847133758,0.28888888888888886,0.5142857142857143,0.573529411764706,0.3703703703703703,0.509433962264151,6.23,0.4448898574891472,4.45,Jaylen Brown,Anthony Edwards,Josh Hart,0.7759982914409222,0.5344911511620007,0.6569767441860459,0.6203299125731244,6.2
Bennedict Mathurin,College,20.0,0.7289719626168223,0.4107142857142857,0.4318181818181818,0.3684210526315788,0.06521739130434785,0.41935483870967744,0.32080200501253137,0.7834394904458598,0.7346938775510204,0.4554939680469515,0.5481927710843373,0.5605095541401274,0.32222222222222213,0.56,0.6176470588235294,0.6666666666666667,0.6000000000000001,6.34,0.2389609475069629,2.39,Desmond Bane,Bogdan Bogdanović,Jaylen Brown,0.7252496237027775,0.603674233793659,0.7248062015503873,0.5985737879415232,5.99
Jeremy Sochan,College,19.08,0.33177570093457937,0.2857142857142857,0.5227272727272728,0.5263157894736841,0.15217391304347827,0.3548387096774194,0.3809523809523809,0.6284501061571125,0.33786848072562353,0.406586240626019,0.457831325301205,0.4012738853503185,0.6,0.56,0.26470588235294124,0.5555555555555555,0.5132075471698113,5.27,0.0,0.0,Kyle Anderson,Thaddeus Young,De'Anthony Melton,0.5644784438900202,0.5068484866080663,0.9031007751937985,0.477005996869599,4.77
Johnny Davis,College,20.31,0.822429906542056,0.3392857142857143,0.7272727272727272,0.47368421052631565,0.15217391304347827,0.5806451612903225,0.2631578947368421,0.6496815286624205,0.7959183673469389,0.5598304532116075,0.38855421686746994,0.5414012738853503,0.44444444444444436,0.6114285714285714,0.39705882352941185,0.5925925925925926,0.4716981132075473,6.57,0.8743490343190219,8.74,Jayson Tatum,Pascal Siakam,Jaylen Brown,0.8376238934160313,0.5491585891268663,0.6647286821705425,0.7211623268543021,7.21
Jalen Williams,College,21.18,0.7429906542056074,0.7142857142857144,0.2954545454545455,0.47368421052631565,0.10869565217391307,0.5161290322580645,0.4786967418546367,0.8407643312101911,0.8367346938775511,0.510922725790675,0.6234939759036146,0.4777070063694268,0.24444444444444435,0.4457142857142857,0.5882352941176471,0.4074074074074074,0.5207547169811322,6.59,0.2516929237329154,2.52,Josh Hart,Mike Conley,Anthony Edwards,0.8815826258947898,0.5279953658152714,0.4961240310077517,0.6118842367640716,6.12
Jalen Duren,College,18.58,0.4626168224299065,0.19642857142857142,0.7159090909090909,0.26315789473684204,0.4565217391304348,0.5483870967741936,0.6892230576441102,0.0,0.4195011337868481,0.5924356048255626,0.6445783132530121,0.4076433121019108,0.4777777777777777,0.5085714285714286,0.2941176470588236,0.48148148148148145,0.5433962264150944,5.83,0.7410963764524586,7.41,Robert Williams,Anthony Davis,Myles Turner,0.6434410951447712,0.5409996410512726,1.0,0.6510146721489263,6.51
