Name,Archetype,Comp1,Comp2,Comp3,Comp1_dist,Comp2_dist,Comp3_dist
Terquavion Smith,3,Terry Rozier,Devin Vassell,Dejounte Murray,2.4597347933723652,2.7563074499118114,2.8745689482548853
Drew Timme,6,Zion Williamson,Alperen Şengün,Christian Wood,4.116271408105289,4.317622414571606,4.372212443790199
Oscar Tshiebwe,1,Bam Adebayo,Jakob Poeltl,Jakob Poeltl,4.987895697120257,5.109676587056047,5.306531426998395
Azuolas Tubelis,6,Nikola Vučević,Bam Adebayo,Alperen Şengün,4.020768895905406,4.024779839706482,4.0311998051598845
Scoot Henderson,6,Russell Westbrook,Russell Westbrook,Cade Cunningham,2.913205586646666,2.9445547282665774,3.131595600051645
Mojave King,8,Pat Connaughton,Santi Aldama,Obi Toppin,3.367503308790979,3.4232628028295333,3.4324579294078013
Victor Wembanyama,6,Myles Turner,Anthony Davis,Jaren Jackson Jr.,5.105191636245,5.176152612171685,5.3909850216317015
Amen Thompson,6,Anthony Edwards,Paul George,Dejounte Murray,3.849953592383538,4.1948646729511925,4.27022253366203
Ausar Thompson,6,Anthony Edwards,OG Anunoby,Paul George,3.990421080462148,4.55469217091911,4.571353525179502
Bilal Coulibaly,3,Buddy Hield,De'Anthony Melton,Jalen Williams,3.1796856603197536,3.2492381167692574,3.3047739120762514
James Nnaji,1,Goga Bitadze,Jalen Johnson,Chimezie Metu,4.181688209146165,4.188385464786762,4.298154584318471
Tristan Vukčević,8,Frank Kaminsky,Dario Šarić,Nickeil Alexander-Walker,3.3434792007425007,3.485700515157298,3.5115494167057664
Rayan Rupert,8,Josh Okogie,Jordan Goodwin,Terence Davis,3.2818629083613238,3.3317064411635395,3.3682479478629728
Tarik Biberovic,8,Frank Kaminsky,Obi Toppin,Lindy Waters III,3.2963402573084633,3.3884384058529884,3.4318095237906308
Malcolm Cazalon,3,Buddy Hield,De'Anthony Melton,Cameron Johnson,3.3413665895953453,3.3782636771493832,3.450007435092456
Nadir Hifi,3,Buddy Hield,Devin Vassell,Franz Wagner,3.1122137652575494,3.3192886460760778,3.349349101616684
