Name,classification,Age,pg::PTS,pg::AST,pg::TRB,pg::STL,pg::BLK,pg::TOV,pg::FG%,pg::3P%,pg::FT%,adv::PER,adv::TS%,adv::OBPM,adv::DBPM,adv::BPM,adv::OWS,adv::DWS,adv::WS/40,OverallScore,Upside01,UpsideScore,Comp1,Comp2,Comp3,pg01,adv01,age01,UpdatedOverall01,UpdatedOverall
Brandon Miller,College,20.57,0.8644067796610171,0.225,0.5454545454545455,0.32,0.3,0.5161290322580646,0.17528735632183912,0.843956043956044,0.9438202247191011,0.5697211155378485,0.541463414634146,0.7326732673267325,0.7474747474747475,0.7604790419161677,0.7846153846153845,0.8709677419354838,0.8597285067873303,7.03,0.4739194456568278,4.74,Kristaps Porziņģis,Karl-Anthony Towns,Kawhi Leonard,0.7003637903458529,0.7942857780227086,0.5988372093023255,0.6893832631895422,6.89
Anthony Black,College,19.41,0.5254237288135594,0.45,0.2892561983471075,0.8,0.2,0.7741935483870968,0.24137931034482768,0.6615384615384615,0.6554307116104868,0.3227091633466135,0.37560975609756114,0.2376237623762376,0.7070707070707071,0.4431137724550898,0.43076923076923074,0.7096774193548386,0.42081447963800905,5.28,0.085109501785669,0.85,Markelle Fultz,OG Anunoby,Victor Oladipo,0.6368341722382992,0.4443041386685213,0.8236434108527131,0.4882487344587286,4.88
Jarace Walker,College,19.79,0.43502824858757067,0.18750000000000003,0.42975206611570255,0.36000000000000004,0.43333333333333335,0.2903225806451613,0.2758620689655174,0.7626373626373626,0.5767790262172287,0.5179282868525896,0.302439024390244,0.4059405940594059,0.7575757575757577,0.5688622754491017,0.5230769230769231,0.8387096774193548,0.7737556561085972,5.08,0.0,0.0,Aleksej Pokusevski,Evan Mobley,Naz Reid,0.43638133489864095,0.6096027529940774,0.7500000000000002,0.4547440329597694,4.55
Taylor Hendricks,College,19.57,0.6553672316384181,0.1375,0.4462809917355373,0.32,0.5666666666666668,0.2580645161290323,0.3132183908045977,0.8659340659340659,0.7996254681647941,0.5338645418326693,0.5707317073170729,0.49504950495049505,0.5656565656565657,0.5149700598802395,0.6923076923076923,0.6451612903225807,0.7013574660633484,5.87,0.0433971795538859,0.43,Myles Turner,Kristaps Porziņģis,Aleksej Pokusevski,0.6073614050128554,0.6085243488589559,0.7926356589147286,0.5292429925371376,5.29
Cason Wallace,College,19.61,0.4632768361581921,0.5,0.17355371900826452,0.76,0.16666666666666669,0.4838709677419355,0.22126436781609202,0.7604395604395604,0.752808988764045,0.3745019920318725,0.34634146341463434,0.31683168316831684,0.7373737373737375,0.5029940119760479,0.49230769230769234,0.4516129032258065,0.49773755656108587,5.05,0.0,0.0,Delon Wright,Markelle Fultz,De'Anthony Melton,0.5768901604291792,0.4570998814260573,0.7848837209302326,0.45315324243989974,4.53
Jett Howard,College,19.76,0.6045197740112994,0.2125,0.09917355371900831,0.12000000000000002,0.2333333333333333,0.22580645161290328,0.1293103448275862,0.8087912087912087,0.8333333333333335,0.30278884462151395,0.43902439024390266,0.37623762376237624,0.41414141414141425,0.3532934131736527,0.4769230769230769,0.25806451612903225,0.416289592760181,3.37,0.0,0.0,Bogdan Bogdanović,Alec Burks,Jerami Grant,0.3247655892540233,0.3399564426421832,0.7558139534883718,0.31225525808510846,3.12
Dereck Lively II,College,19.35,0.0960451977401131,0.10000000000000005,0.31404958677685957,0.16,0.8,0.03225806451612908,0.8304597701149428,0.3384615384615385,0.4588014981273409,0.5378486055776893,0.9268292682926829,0.2079207920792079,1.0,0.5988023952095808,0.43076923076923074,0.48387096774193544,0.7285067873303167,4.57,0.0,0.0,Walker Kessler,Nic Claxton,Isaiah Jackson,0.27391821860957133,0.6496646364046702,0.8352713178294571,0.4159495137827953,4.16
Gradey Dick,College,19.58,0.5988700564971752,0.175,0.2892561983471075,0.52,0.1,0.22580645161290328,0.20977011494252878,0.8857142857142858,0.9344569288389514,0.37051792828685254,0.5317073170731704,0.44554455445544555,0.6060606060606061,0.5029940119760479,0.5846153846153846,0.6129032258064515,0.5656108597285068,5.09,0.0,0.0,Cameron Johnson,Cameron Johnson,Buddy Hield,0.5129380927639605,0.5306867749703505,0.790697674418605,0.4572507982685837,4.57
Jordan Hawkins,College,21.14,0.7175141242937854,0.12500000000000003,0.18181818181818185,0.24000000000000005,0.16666666666666669,0.2580645161290323,0.11494252873563215,0.8527472527472527,0.9962546816479401,0.44223107569721115,0.546341463414634,0.594059405940594,0.5050505050505052,0.5389221556886228,0.7384615384615385,0.5483870967741934,0.7737556561085972,4.91,0.0,0.0,Alec Burks,Norman Powell,Cameron Johnson,0.4350156228155631,0.6011079204113777,0.4883720930232557,0.42924400312870753,4.29
Kobe Bufkin,College,19.74,0.5932203389830508,0.325,0.23966942148760337,0.4800000000000001,0.2333333333333333,0.41935483870967744,0.32471264367816094,0.7802197802197801,0.9250936329588015,0.40239043824701193,0.517073170731707,0.3069306930693069,0.6464646464646465,0.4431137724550898,0.5384615384615384,0.48387096774193544,0.48868778280542985,5.2,0.0,0.0,Jalen Williams,Mikal Bridges,De'Anthony Melton,0.600260579910412,0.4706228861726762,0.7596899224806205,0.4648887933212098,4.65
