Name,Age,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORtg,DRtg,Unnamed: 19,WS/48,FGM-FGA,3PM-3PA,FTM-FTA,REB,TO,True Shooting %TS%,Effective FG%EFG%,3PA Rate3PAR,FTA RateFTAR,Proj NBA 3P%NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG
Charles Bediako,21.28,2022-23,C,37.0,37.0,20.7,2.9,4.4,0.659,0.0,0.2,0.0,2.9,4.3,0.684,0.659,0.6,1.7,0.355,2.7,3.3,6.0,0.6,0.6,1.8,0.8,3.0,6.4,20.7,0.615,0.037,0.378,247.0,14.1,14.7,14.4,5.8,1.7,7.9,13.4,13.6,1.8,2.0,3.8,0.196,2.7,6.2,8.9,,,,,,,,,,,,,,,,,,,,
Colin Castleton,23.07,2022-23,F,26.0,26.0,31.2,5.8,11.5,0.5,0.1,0.6,0.133,5.7,11.0,0.519,0.503,4.3,6.0,0.729,1.8,5.9,7.7,2.7,0.9,3.0,2.5,2.1,16.0,26.0,0.555,0.05,0.517,418.0,6.6,20.2,13.6,19.8,1.7,9.1,15.0,27.8,1.8,1.8,3.6,0.177,4.9,5.6,10.5,,,,,,,,,,,,,,,,,,,,
Ricky Council IV,21.88,2022-23,G,36.0,29.0,34.1,5.2,12.0,0.433,0.9,3.5,0.27,4.3,8.5,0.5,0.472,4.8,6.1,0.794,0.9,2.7,3.6,2.3,1.1,0.3,2.1,1.8,16.1,17.6,0.542,0.292,0.505,554.0,3.2,9.1,6.2,12.9,1.9,0.9,12.3,24.7,2.6,1.8,4.4,0.143,3.4,1.6,5.0,,,,,,,,,,,,,,,,,,,,
Adam Flagler,23.55,2022-23,G,32.0,32.0,33.8,5.3,12.3,0.426,2.5,6.3,0.4,2.8,6.1,0.454,0.528,2.6,3.3,0.79,0.3,2.1,2.4,4.6,1.2,0.1,1.7,2.0,15.6,19.6,0.562,0.508,0.266,501.0,1.1,7.7,4.3,27.8,2.1,0.2,10.8,23.2,3.6,1.0,4.6,0.17,6.3,1.5,7.8,,,,,,,,,,,,,,,,,,,,
Mike Miles Jr.,20.82,2022-23,G,27.0,26.0,31.9,5.9,11.8,0.497,1.4,3.9,0.362,4.4,7.9,0.563,0.557,4.7,6.3,0.749,0.2,2.5,2.7,2.7,1.2,0.3,2.6,2.1,17.9,20.1,0.604,0.33,0.538,424.0,0.8,9.1,4.9,16.6,2.1,1.0,14.9,26.5,2.2,1.3,3.6,0.165,4.5,2.3,6.8,,,,,,,,,,,,,,,,,,,,
Omari Moore,22.75,2022-23,G,35.0,35.0,36.5,6.3,14.8,0.429,1.9,5.7,0.338,4.4,9.1,0.484,0.493,2.8,3.7,0.758,0.9,3.9,4.7,4.8,0.7,0.7,2.6,1.2,17.4,20.9,0.525,0.382,0.247,618.0,2.8,12.4,7.6,29.9,1.2,2.1,13.5,27.8,3.5,1.3,4.8,0.15,5.8,0.8,6.5,,,,,,,,,,,,,,,,,,,,
Markquis Nowell,23.48,2022-23,G,36.0,36.0,36.9,5.0,12.9,0.386,2.4,6.9,0.355,2.6,6.1,0.422,0.481,5.1,5.8,0.889,0.4,3.1,3.5,8.3,2.6,0.1,3.7,2.0,17.6,21.9,0.56,0.532,0.446,717.0,1.2,9.7,5.6,43.0,3.9,0.2,18.9,26.2,3.8,2.4,6.3,0.189,6.0,3.5,9.6,,,,,,,,,,,,,,,,,,,,
Adama Sanogo,21.35,2022-23,F,39.0,39.0,26.5,7.1,11.7,0.606,0.5,1.3,0.365,6.6,10.4,0.637,0.627,2.5,3.3,0.766,2.6,5.1,7.7,1.3,0.7,0.8,1.9,2.7,17.2,30.0,0.648,0.114,0.28,571.0,11.7,21.4,16.6,11.1,1.5,3.2,12.7,28.1,4.3,2.4,6.7,0.259,7.8,3.2,11.0,,,,,,,,,,,,,,,,,,,,
Terquavion Smith,20.47,2022-23,G,34.0,34.0,33.6,6.1,16.1,0.38,2.7,8.0,0.336,3.4,8.1,0.424,0.463,3.0,4.3,0.701,0.7,2.9,3.6,4.1,1.4,0.4,2.2,2.4,17.9,19.1,0.494,0.495,0.269,608.0,2.2,10.1,6.0,22.8,2.5,1.2,11.0,30.0,2.4,1.4,3.8,0.132,3.8,0.7,4.5,,,,,,,,,,,,,,,,,,,,
Drew Timme,22.78,2022-23,F,37.0,37.0,31.5,8.5,13.7,0.616,0.1,0.6,0.167,8.4,13.1,0.638,0.62,4.2,6.7,0.632,2.6,5.0,7.5,3.2,0.6,1.0,2.6,2.2,21.2,30.6,0.628,0.047,0.486,771.0,9.9,17.6,13.9,19.2,1.1,3.3,13.3,30.2,5.5,1.5,7.0,0.24,8.1,1.5,9.6,,,,,,,,,,,,,,,,,,,,
Oscar Tshiebwe,23.56,2022-23,F,32.0,30.0,33.6,6.1,10.9,0.56,0.0,0.1,0.0,6.1,10.8,0.564,0.56,4.3,5.9,0.729,5.8,7.9,13.7,1.6,1.6,1.0,2.0,2.9,16.5,30.9,0.603,0.006,0.54,538.0,19.5,27.9,23.6,9.4,2.9,3.3,12.9,23.2,4.4,2.3,6.6,0.246,8.2,2.3,10.5,,,,,,,,,,,,,,,,,,,,
Azuolas Tubelis,21.24,2022-23,F,35.0,34.0,30.1,7.8,13.7,0.57,0.3,0.9,0.313,7.5,12.8,0.588,0.58,3.9,5.1,0.764,2.7,6.5,9.1,2.0,1.1,0.7,2.4,2.8,19.8,28.1,0.614,0.067,0.37,636.0,10.7,21.8,16.7,14.1,2.1,2.3,12.9,29.8,3.9,2.2,6.2,0.235,6.8,2.9,9.7,,,,,,,,,,,,,,,,,,,,
Scoot Henderson,19.37,2022-23,G,19,18.0,30.7,6.1,14.1,0.429,0.7,2.7,0.275,5.3,11.4,0.465,0.455,2.2,2.9,0.764,1.1,4.3,5.4,6.5,1.1,0.5,3.5,3.3,16.5,13.5,0.537,0.19,0.205,,3.8,15.4,9.6,33.0,1.7,1.6,18.7,27.4,-1.0,0.4,-0.7,,,,,98.0,122.0,,-0.054,,,,,,,,,,,,,,,,
Mojave King,20.94,2022-23,G,30,8.0,25.1,2.9,7.1,0.413,0.6,2.3,0.243,2.4,4.8,0.497,0.453,1.0,1.2,0.806,1.0,3.7,4.7,1.2,0.4,0.3,0.8,1.5,8.1,9.1,0.531,0.329,0.169,,4.5,16.2,10.4,6.5,0.8,1.1,9.1,14.9,-0.4,0.3,-0.1,,,,,102.0,125.0,,-0.008,,,,,,,,,,,,,,,,
Victor Wembanyama,19.45,,C,44,,32.2,,,.468,,,.272,,,,,,,.818,,,,2.4,0.8,3.0,,2.1,20.9,24.48,,,,,,,,,,,,30.84,,,,,,,,,,,,7.3-15.6,1.3-4.7,5.0-6.1,10.3,2.9,.564,.509,.300,.392,.356,0.47,0.84,,,109.8,100.2
Amen Thompson,20.38,,G,21,,30.0,,,.539,,,.254,,,,,,,.688,,,,6.9,2.2,0.8,,2.4,16.5,,,,,,,,,,,,,,,,,,,,,,,,,6.3-11.7,0.8-3.0,3.1-4.6,6.6,3.2,.595,.571,.257,.392,.329,,2.13,,,,
Ausar Thompson,20.38,,G,21,,29.2,,,.472,,,.333,,,,,,,.700,,,,5.8,2.5,1.1,,2.2,17.4,,,,,,,,,,,,,,,,,,,,,,,,,6.4-13.6,1.6-4.7,3.0-4.3,6.5,3.2,.557,.530,.346,.315,.351,,1.78,,,,
Bilal Coulibaly,18.9,,F,53,,24.0,,,.527,,,.336,,,,,,,.705,,,,1.4,1.4,0.5,,1.8,10.9,17.53,,,,,,,,,,,,19.98,,,,,,,,,,,,3.9-7.4,0.8-2.2,2.3-3.3,4.1,1.6,.606,.578,.303,.440,.338,0.52,0.88,,,114.4,100.7
James Nnaji,18.85,,C,56,,9.0,,,.717,,,,,,,,,,.507,,,,0.3,0.1,0.6,,1.2,3.5,16.98,,,,,,,,,,,,17.89,,,,,,,,,,,,1.4-2.0,0.0-0.0,0.6-1.2,2.1,0.8,.677,.717,.000,.593,.290,0.30,0.38,,,113.3,103.5
Tristan Vukčević,20.27,,F,40,,11.6,,,.558,,,.373,,,,,,,.800,,,,0.9,0.4,0.4,,1.9,5.6,19.37,,,,,,,,,,,,21.31,,,,,,,,,,,,2.1-3.7,0.6-1.5,0.9-1.1,2.4,0.8,.659,.633,.401,.306,.362,0.60,1.13,,,122.4,106.0
Rayan Rupert,19.05,,G,31,,18.1,,,.369,,,.312,,,,,,,.738,,,,0.8,0.7,0.2,,2.0,6.8,9.96,,,,,,,,,,,,20.15,,,,,,,,,,,,2.2-6.0,0.8-2.6,1.5-2.1,2.4,1.1,.484,.436,.428,.348,.350,0.36,0.74,,,97.7,105.1
Tarik Biberovic,22.39,,F,36,,13.1,,,.385,,,.348,,,,,,,.810,,,,0.4,0.4,0.1,,1.9,4.5,9.54,,,,,,,,,,,,18.07,,,,,,,,,,,,1.6-4.1,0.9-2.5,0.5-0.6,1.9,0.6,.513,.490,.601,.142,.373,0.29,0.76,,,104.4,113.2
Malcolm Cazalon,21.81,,G,39,,26.6,,,.450,,,.320,,,,,,,.795,,,,2.8,1.8,0.3,,2.5,12.9,16.53,,,,,,,,,,,,23.43,,,,,,,,,,,,4.5-10.0,1.6-5.1,2.3-2.9,3.1,2.0,.568,.531,.506,.288,.368,0.80,1.42,,,108.8,110.1
Nadir Hifi,20.93,,G,33,,30.5,,,.465,,,.345,,,,,,,.841,,,,3.4,1.3,0.0,,2.6,16.8,18.38,,,,,,,,,,,,25.29,,,,,,,,,,,,5.6-12.1,1.8-5.4,3.7-4.4,2.7,2.1,.592,.541,.445,.364,.374,0.84,1.62,,,116.3,110.2
