Name,Age,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORtg,DRtg,Unnamed: 19,WS/48,FGM-FGA,3PM-3PA,FTM-FTA,REB,TO,True Shooting %TS%,Effective FG%EFG%,3PA Rate3PAR,FTA RateFTAR,Proj NBA 3P%NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG
Brandin Podziemski,20.31,2022-23,G,32.0,32.0,36.0,6.9,14.4,0.483,2.5,5.8,0.438,4.4,8.6,0.513,0.571,3.5,4.5,0.771,1.8,7.0,8.8,3.7,1.8,0.5,2.3,1.9,19.9,26.4,0.602,0.402,0.313,620.0,5.6,21.6,13.7,20.5,2.8,1.4,12.1,25.6,4.2,2.0,6.2,0.215,7.9,2.7,10.6,,,,,,,,,,,,,,,,,,,,
Cam Whitmore,18.95,2022-23,F,26.0,20.0,27.3,4.7,9.8,0.478,1.4,4.2,0.343,3.3,5.7,0.578,0.551,1.7,2.5,0.703,0.8,4.5,5.3,0.7,1.4,0.3,1.6,1.7,12.5,20.5,0.571,0.424,0.251,288.0,3.7,20.3,12.1,6.4,3.2,1.6,12.8,25.6,1.1,1.2,2.3,0.13,3.7,2.5,6.2,,,,,,,,,,,,,,,,,,,,
Noah Clowney,18.93,2022-23,F,36.0,36.0,25.4,3.4,7.0,0.486,0.9,3.3,0.283,2.5,3.7,0.669,0.553,2.0,3.1,0.649,2.1,5.8,7.9,0.8,0.6,0.9,1.3,2.5,9.8,18.6,0.576,0.474,0.439,336.0,8.7,21.4,15.5,5.8,1.3,3.4,13.1,18.0,1.9,2.4,4.3,0.189,3.7,4.5,8.3,,,,,,,,,,,,,,,,,,,,
Dariq Whitehead,18.88,2022-23,F,28.0,7.0,20.6,3.0,7.0,0.421,1.5,3.5,0.429,1.5,3.5,0.414,0.528,0.8,1.0,0.793,0.5,2.0,2.4,1.0,0.8,0.2,1.4,1.5,8.3,14.1,0.548,0.497,0.147,200.0,2.7,10.6,6.8,9.3,2.2,1.1,15.6,22.4,0.7,1.0,1.7,0.117,1.6,2.3,4.0,,,,,,,,,,,,,,,,,,,,
Kris Murray,22.83,2022-23,F,29.0,29.0,34.9,7.5,15.7,0.476,2.3,6.8,0.335,5.2,8.9,0.583,0.548,3.0,4.1,0.729,2.8,5.2,7.9,2.0,1.0,1.2,1.5,2.1,20.2,25.9,0.572,0.432,0.259,535.0,8.5,17.8,12.9,11.7,1.7,3.3,7.9,27.0,3.6,1.1,4.7,0.187,8.4,0.5,8.9,,,,,,,,,,,,,,,,,,,,
Olivier-Maxence Prosper,20.96,2022-23,G,36.0,36.0,29.1,4.2,8.1,0.512,1.1,3.2,0.339,3.1,4.9,0.624,0.578,3.1,4.2,0.735,1.7,3.0,4.7,0.7,0.9,0.1,1.4,2.3,12.5,17.9,0.617,0.392,0.515,412.0,7.0,12.3,9.7,3.9,1.8,0.5,12.1,20.3,2.7,1.3,4.0,0.152,2.9,0.3,3.2,,,,,,,,,,,,,,,,,,,,
Marcus Sasser,22.74,2022-23,G,36.0,36.0,30.8,5.3,12.1,0.438,2.7,6.9,0.384,2.6,5.1,0.511,0.548,3.6,4.2,0.848,0.4,2.5,2.8,3.1,1.6,0.2,1.6,1.5,16.8,24.9,0.597,0.576,0.348,552.0,1.4,8.9,5.2,19.6,3.2,0.7,10.1,26.1,4.6,2.6,7.2,0.261,7.7,4.3,12.0,,,,,,,,,,,,,,,,,,,,
Ben Sheppard,21.93,2022-23,G,32.0,32.0,34.4,6.8,14.2,0.475,2.5,6.0,0.415,4.3,8.2,0.519,0.563,2.8,4.2,0.684,0.6,4.6,5.2,2.9,1.4,0.2,2.2,2.1,18.8,21.8,0.582,0.424,0.292,558.0,2.2,15.4,9.0,16.9,2.3,0.5,11.9,27.7,3.0,1.4,4.3,0.158,4.0,-0.4,3.6,,,,,,,,,,,,,,,,,,,,
Nick Smith Jr.,19.17,2022-23,G,17.0,14.0,25.8,4.5,11.9,0.376,1.4,4.2,0.338,3.1,7.7,0.397,0.436,2.2,2.9,0.74,0.2,1.4,1.6,1.7,0.8,0.1,1.6,1.5,12.5,13.0,0.472,0.351,0.248,194.0,1.1,6.3,3.8,13.5,1.8,0.5,10.7,28.7,0.3,0.6,0.9,0.082,1.0,-0.3,0.7,,,,,,,,,,,,,,,,,,,,
Brice Sensabaugh,19.64,2022-23,F,33.0,21.0,24.5,6.0,12.4,0.48,1.8,4.5,0.405,4.2,7.9,0.523,0.554,2.5,3.0,0.83,1.3,4.1,5.4,1.2,0.5,0.4,2.0,2.5,16.3,26.4,0.587,0.361,0.244,478.0,6.2,18.9,12.8,11.0,1.3,1.7,12.8,34.0,2.8,1.0,3.8,0.187,7.8,0.8,8.6,,,,,,,,,,,,,,,,,,,,
