Name,Archetype,Comp1,Comp2,Comp3,Comp1_AllStars,Comp2_AllStars,Comp3_AllStars,UpsideRaw,Upside01,UpsideScore
Colin Castleton,1,Jaren Jackson Jr.,Myles Turner,Brook Lopez,1.0,0.0,1.0,0.6804332568900516,0.08881074376936887,0.89
Ricky Council IV,3,Devin Vassell,Franz Wagner,Buddy Hield,0.0,0.0,0.0,0.0,0.0,0.0
Adam Flagler,3,Devin Vassell,Jamal Murray,D'Angelo Russell,0.0,0.0,1.0,0.329266559246999,0.042976159276459494,0.43
Mike Miles Jr.,3,Buddy Hield,Franz Wagner,Devin Vassell,0.0,0.0,0.0,0.0,0.0,0.0
Omari Moore,6,CJ McCollum,Bradley Beal,Cade Cunningham,0.0,3.0,0.0,0.9895032970386068,0.12915083571002076,1.29
Markquis Nowell,6,Tyrese Haliburton,Fred VanVleet,LaMelo Ball,2.0,1.0,1.0,1.3380205468842599,0.17463961195931102,1.75
Adama Sanogo,6,Christian Wood,Naz Reid,Nikola Vučević,0.0,0.0,2.0,0.6476663771393524,0.08453398196768742,0.85
Terquavion Smith,3,Terry Rozier,Devin Vassell,Dejounte Murray,0.0,0.0,1.0,0.3113755800007738,0.040641013018497645,0.41
Drew Timme,6,Zion Williamson,Alperen Şengün,Christian Wood,2.0,0.0,0.0,0.6908875197578392,0.09017524330175833,0.9
Oscar Tshiebwe,1,Bam Adebayo,Jakob Poeltl,Jakob Poeltl,3.0,0.0,0.0,1.0287640087949923,0.13427517814433362,1.34
Azuolas Tubelis,6,Nikola Vučević,Bam Adebayo,Alperen Şengün,2.0,3.0,0.0,1.6676624643028566,0.2176647633126009,2.18
Scoot Henderson,6,Russell Westbrook,Russell Westbrook,Cade Cunningham,9.0,9.0,0.0,6.1323756780895025,0.8004030366380511,8.0
Mojave King,8,Pat Connaughton,Santi Aldama,Obi Toppin,0.0,0.0,0.0,0.0,0.0,0.0
Victor Wembanyama,6,Myles Turner,Anthony Davis,Jaren Jackson Jr.,0.0,9.0,1.0,3.349019516379264,0.4371169561981518,4.37
Amen Thompson,6,Anthony Edwards,Paul George,Dejounte Murray,2.0,9.0,1.0,3.9589071415650277,0.516720022421051,5.17
Ausar Thompson,6,Anthony Edwards,OG Anunoby,Paul George,2.0,0.0,9.0,3.585361625090272,0.4679645349225957,4.68
Bilal Coulibaly,3,Buddy Hield,De'Anthony Melton,Jalen Williams,0.0,0.0,0.0,0.0,0.0,0.0
James Nnaji,1,Goga Bitadze,Jalen Johnson,Chimezie Metu,0.0,0.0,0.0,0.0,0.0,0.0
Tristan Vukčević,8,Frank Kaminsky,Dario Šarić,Nickeil Alexander-Walker,0.0,0.0,0.0,0.0,0.0,0.0
Rayan Rupert,8,Josh Okogie,Jordan Goodwin,Terence Davis,0.0,0.0,0.0,0.0,0.0,0.0
Tarik Biberovic,8,Frank Kaminsky,Obi Toppin,Lindy Waters III,0.0,0.0,0.0,0.0,0.0,0.0
Malcolm Cazalon,3,Buddy Hield,De'Anthony Melton,Cameron Johnson,0.0,0.0,0.0,0.0,0.0,0.0
Nadir Hifi,3,Buddy Hield,Devin Vassell,Franz Wagner,0.0,0.0,0.0,0.0,0.0,0.0
