Name,Archetype,Comp1,Comp2,Comp3,Comp1_AllStars,Comp2_AllStars,Comp3_AllStars,UpsideRaw,Upside01,UpsideScore
Brandon Miller,6,Kristaps Porziņģis,Karl-Anthony Towns,Kawhi Leonard,1.0,4.0,6.0,3.630985826998832,0.4739194456568278,4.74
Anthony Black,3,Markelle Fultz,OG Anunoby,Victor Oladipo,0.0,0.0,2.0,0.6520757853655792,0.085109501785669,0.85
Jarace Walker,1,Aleksej Pokusevski,Evan Mobley,Naz Reid,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Hendricks,1,Myles Turner,Kristaps Porziņģis,Aleksej Pokusevski,0.0,1.0,0.0,0.33249225229298884,0.04339717955388596,0.43
Cason Wallace,3,Delon Wright,Markelle Fultz,De'Anthony Melton,0.0,0.0,0.0,0.0,0.0,0.0
Jett Howard,3,Bogdan Bogdanović,Alec Burks,Jerami Grant,0.0,0.0,0.0,0.0,0.0,0.0
Dereck Lively II,1,Walker Kessler,Nic Claxton,Isaiah Jackson,0.0,0.0,0.0,0.0,0.0,0.0
Gradey Dick,3,Cameron Johnson,Cameron Johnson,Buddy Hield,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Hawkins,3,Alec Burks,Norman Powell,Cameron Johnson,0.0,0.0,0.0,0.0,0.0,0.0
Kobe Bufkin,3,Jalen Williams,Mikal Bridges,De'Anthony Melton,0.0,0.0,0.0,0.0,0.0,0.0
Keyonte George,3,Terry Rozier,Kevin Porter Jr.,Tyler Herro,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Hood-Schifino,3,Jaden Ivey,Talen Horton-Tucker,Gordon Hayward,0.0,0.0,1.0,0.3123838522184683,0.04077261359014623,0.41
Jaime Jaquez Jr.,6,Kawhi Leonard,Bam Adebayo,Cameron Johnson,6.0,3.0,0.0,3.129649763972289,0.4084846242618634,4.08
Brandin Podziemski,6,Kawhi Leonard,Paul George,Anthony Edwards,6.0,9.0,2.0,5.7465003360688085,0.7500382495261612,7.5
Cam Whitmore,3,Cameron Johnson,Buddy Hield,Kelly Oubre Jr.,0.0,0.0,0.0,0.0,0.0,0.0
Noah Clowney,1,Naz Reid,Bol Bol,Jalen Johnson,0.0,0.0,0.0,0.0,0.0,0.0
Dariq Whitehead,8,Terence Davis,R.J. Hampton,Josh Richardson,0.0,0.0,0.0,0.0,0.0,0.0
Kris Murray,6,Kristaps Porziņģis,Christian Wood,Aaron Gordon,1.0,0.0,0.0,0.3621304567060164,0.04726558391427849,0.47
Olivier-Maxence Prosper,8,Keita Bates-Diop,Saddiq Bey,Malik Beasley,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Sasser,3,Donovan Mitchell,Kawhi Leonard,Cameron Johnson,5.0,6.0,0.0,3.6785993435741435,0.48013400348114044,4.8
Ben Sheppard,3,Buddy Hield,Devin Vassell,Franz Wagner,0.0,0.0,0.0,0.0,0.0,0.0
Nick Smith Jr.,3,Bones Hyland,Jaylen Nowell,Bones Hyland,0.0,0.0,0.0,0.0,0.0,0.0
Brice Sensabaugh,6,Mikal Bridges,Lauri Markkanen,Klay Thompson,0.0,1.0,5.0,1.9700500279242368,0.2571326525726956,2.57
Julian Strawther,3,Buddy Hield,Tobias Harris,Michael Porter Jr.,0.0,0.0,0.0,0.0,0.0,0.0
Kobe Brown,3,Buddy Hield,Kawhi Leonard,Cameron Johnson,0.0,6.0,0.0,2.0186528127258185,0.26347633055107594,2.63
Jalen Pickett,6,LeBron James,Josh Giddey,Pascal Siakam,20.0,0.0,2.0,7.661609710836983,1.0,10.0
Colby Jones,3,Markelle Fultz,Scottie Barnes,Kyle Anderson,0.0,1.0,0.0,0.3337533929575268,0.04356178473636532,0.44
Julian Phillips,8,Josh Okogie,Jordan Goodwin,Robert Covington,0.0,0.0,0.0,0.0,0.0,0.0
Andre Jackson Jr.,3,Kyle Anderson,Draymond Green,Kyle Lowry,0.0,4.0,6.0,3.219087255383145,0.4201580838593095,4.2
Hunter Tyson,3,Bobby Portis,Nikola Vučević,Buddy Hield,0.0,2.0,0.0,0.6658221135780519,0.08690368456595722,0.87
Jordan Walsh,8,Josh Okogie,John Konchar,Josh Richardson,0.0,0.0,0.0,0.0,0.0,0.0
Mouhamed Gueye,1,Jusuf Nurkić,Alperen Şengün,Zach Collins,0.0,0.0,0.0,0.0,0.0,0.0
Maxwell Lewis,3,Kyle Kuzma,Paolo Banchero,Jaylen Brown,0.0,1.0,3.0,1.1993299132442274,0.15653758916325797,1.57
Amari Bailey,3,Jalen Suggs,Victor Oladipo,Caris LeVert,0.0,2.0,0.0,0.657612750416638,0.08583219130654436,0.86
GG Jackson,3,Paolo Banchero,Kyle Kuzma,Keldon Johnson,1.0,0.0,0.0,0.35758807089337546,0.04667270774542119,0.47
Seth Lundy,8,Cameron Johnson,Michael Porter Jr.,Cameron Johnson,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Miller,3,Buddy Hield,Cameron Johnson,Cameron Johnson,0.0,0.0,0.0,0.0,0.0,0.0
Emoni Bates,3,Keldon Johnson,Kyle Kuzma,RJ Barrett,0.0,0.0,0.0,0.0,0.0,0.0
Keyontae Johnson,3,Jaylen Brown,Buddy Hield,Kelly Olynyk,3.0,0.0,0.0,1.0343737080915554,0.1350073610025427,1.35
Jalen Wilson,6,Jaylen Brown,Julius Randle,Paolo Banchero,3.0,3.0,1.0,2.3510117630803276,0.3068561114193709,3.07
Toumani Camara,1,Jusuf Nurkić,Alperen Şengün,Zach Collins,0.0,0.0,0.0,0.0,0.0,0.0
Jaylen Clark,3,Delon Wright,De'Anthony Melton,OG Anunoby,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Slawson,6,Alperen Şengün,Kristaps Porziņģis,Kyle Anderson,0.0,1.0,0.0,0.3433062677892178,0.044808634313965034,0.45
Isaiah Wong,3,Buddy Hield,Devin Vassell,Mikal Bridges,0.0,0.0,0.0,0.0,0.0,0.0
Trayce Jackson-Davis,6,Anthony Davis,Joel Embiid,Jaren Jackson Jr.,9.0,7.0,1.0,5.761145862393622,0.7519497964304753,7.52
Chris Livingston,8,Chuma Okeke,Dorian Finney-Smith,Pat Connaughton,0.0,0.0,0.0,0.0,0.0,0.0
Charles Bediako,1,Nic Claxton,Isaiah Jackson,Robert Williams,0.0,0.0,0.0,0.0,0.0,0.0
