Name,classification,Age,OverallScore,Archetype,Comp1,Comp2,Comp3,Comp1_dist,Comp2_dist,Comp3_dist
Brandon Miller,College,20.57,7.03,6,Kristaps Porziņģis,Karl-Anthony Towns,Kawhi Leonard,4.241380367070474,4.390529546633518,4.417611793367141
Anthony Black,College,19.41,5.28,3,Markelle Fultz,OG Anunoby,Victor Oladipo,3.8664172148144034,4.0169692447594185,4.072506733737594
Jarace Walker,College,19.79,5.08,1,Aleksej Pokusevski,Evan Mobley,Naz Reid,3.7044530180329622,4.1498623007376905,4.1956516136541815
Taylor Hendricks,College,19.57,5.87,1,Myles Turner,Kristaps Porziņģis,Aleksej Pokusevski,3.615629530316319,3.747104224900997,3.858117692582476
Cason Wallace,College,19.61,5.05,3,Delon Wright,Markelle Fultz,De'Anthony Melton,3.5432006496728756,3.663083296190686,3.702782438185785
Jett Howard,College,19.76,3.37,3,Bogdan Bogdanović,Alec Burks,Jerami Grant,2.8497854568121777,2.9500060741499685,3.0641724832810975
Dereck Lively II,College,19.35,4.57,1,Walker Kessler,Nic Claxton,Isaiah Jackson,5.149681640016433,5.371206264324052,5.6903649233956015
Gradey Dick,College,19.58,5.09,3,Cameron Johnson,Cameron Johnson,Buddy Hield,2.8411121961925225,2.9278065793890677,2.9733090613982274
Jordan Hawkins,College,21.14,4.91,3,Alec Burks,Norman Powell,Cameron Johnson,3.366252672685321,3.4180475307107496,3.421632529237145
Kobe Bufkin,College,19.74,5.2,3,Jalen Williams,Mikal Bridges,De'Anthony Melton,3.0535497686840287,3.0614668592390504,3.1237838284909185
Keyonte George,College,19.61,4.05,3,Terry Rozier,Kevin Porter Jr.,Tyler Herro,3.230155879139407,3.240741961118508,3.245189812575741
Jalen Hood-Schifino,College,20.0,2.91,3,Jaden Ivey,Talen Horton-Tucker,Gordon Hayward,2.031030317965891,2.0705039826888845,2.256854905175998
Jaime Jaquez Jr.,College,22.33,6.44,6,Kawhi Leonard,Bam Adebayo,Cameron Johnson,4.040905022360512,4.545754932468807,4.590258401488742
Brandin Podziemski,College,20.31,7.51,6,Kawhi Leonard,Paul George,Anthony Edwards,3.755286912034415,4.026013640044849,4.278662836407277
Cam Whitmore,College,18.95,3.9,3,Cameron Johnson,Buddy Hield,Kelly Oubre Jr.,3.299930483702792,3.422631264983257,3.4234703396215975
Noah Clowney,College,18.93,4.26,1,Naz Reid,Bol Bol,Jalen Johnson,3.756806970330937,3.905049682137422,3.963104677606866
Dariq Whitehead,College,18.88,2.7,8,Terence Davis,R.J. Hampton,Josh Richardson,2.508034754629889,2.716844806852619,2.732222094186464
Kris Murray,College,22.83,5.44,6,Kristaps Porziņģis,Christian Wood,Aaron Gordon,3.44271393565862,3.824155208278824,3.997666120657094
Olivier-Maxence Prosper,College,20.96,3.45,8,Keita Bates-Diop,Saddiq Bey,Malik Beasley,2.59545017558585,2.610969750574101,2.653235809492895
Marcus Sasser,College,22.74,6.32,3,Donovan Mitchell,Kawhi Leonard,Cameron Johnson,4.405672833796957,4.4646225276330975,4.48671969402639
Ben Sheppard,College,21.93,4.65,3,Buddy Hield,Devin Vassell,Franz Wagner,2.4436984915808564,2.4662248417072585,2.8402140506120928
Nick Smith Jr.,College,19.17,1.45,3,Bones Hyland,Jaylen Nowell,Bones Hyland,2.3059290144038944,2.3544107929092704,2.421985609966304
Brice Sensabaugh,College,19.64,5.23,6,Mikal Bridges,Lauri Markkanen,Klay Thompson,3.782163746918078,3.930617895364763,3.946931205784257
Julian Strawther,College,21.17,4.55,3,Buddy Hield,Tobias Harris,Michael Porter Jr.,2.6591008410281836,2.854814252776906,2.8857316861275826
Kobe Brown,College,23.46,6.29,3,Buddy Hield,Kawhi Leonard,Cameron Johnson,3.365750470780874,3.528301082043572,3.818574584942474
Jalen Pickett,College,23.66,6.88,6,LeBron James,Josh Giddey,Pascal Siakam,3.6215737369210466,3.8850445014940713,3.945822981643075
