Name,classification,Age,OverallScore
Brandon Miller,College,20.57,7.03
Anthony Black,College,19.41,5.28
Jarace Walker,College,19.79,5.08
Taylor Hendricks,College,19.57,5.87
Cason Wallace,College,19.61,5.05
Jett Howard,College,19.76,3.37
Dereck Lively II,College,19.35,4.57
Gradey Dick,College,19.58,5.09
Jordan Hawkins,College,21.14,4.91
Kobe Bufkin,College,19.74,5.2
Keyonte George,College,19.61,4.05
Jalen Hood-Schifino,College,20.0,2.91
Jaime Jaquez Jr.,College,22.33,6.44
Brandin Podziemski,College,20.31,7.51
Cam Whitmore,College,18.95,3.9
Noah Clowney,College,18.93,4.26
Dariq Whitehead,College,18.88,2.7
Kris Murray,College,22.83,5.44
Olivier-Maxence Prosper,College,20.96,3.45
Marcus Sasser,College,22.74,6.32
Ben Sheppard,College,21.93,4.65
Nick Smith Jr.,College,19.17,1.45
Brice Sensabaugh,College,19.64,5.23
Julian Strawther,College,21.17,4.55
Kobe Brown,College,23.46,6.29
Jalen Pickett,College,23.66,6.88
Colby Jones,College,21.06,5.27
Julian Phillips,College,19.62,3.18
Andre Jackson Jr.,College,21.6,3.83
Hunter Tyson,College,23.02,5.52
Jordan Walsh,College,19.3,2.23
Mouhamed Gueye,College,20.61,4.31
Maxwell Lewis,College,20.9,4.28
Amari Bailey,College,19.33,4.01
GG Jackson,College,18.5,2.27
Seth Lundy,College,23.21,4.41
Jordan Miller,College,23.4,5.3
Emoni Bates,College,19.39,2.95
Keyontae Johnson,College,23.07,5.03
Jalen Wilson,College,22.62,5.27
Toumani Camara,College,23.12,5.67
Jaylen Clark,College,21.68,5.78
Jalen Slawson,College,23.66,7.05
Isaiah Wong,College,22.39,5.09
Trayce Jackson-Davis,College,23.32,9.03
Chris Livingston,College,19.68,1.48
Charles Bediako,College,21.28,2.94
Colin Castleton,College,23.07,5.86
Ricky Council IV,College,21.88,3.81
Adam Flagler,College,23.55,4.46
Mike Miles Jr.,College,20.82,4.95
Omari Moore,College,22.75,4.69
Markquis Nowell,College,23.48,7.23
Adama Sanogo,College,21.35,7.02
Terquavion Smith,College,20.47,3.93
Drew Timme,College,22.78,6.34
Oscar Tshiebwe,College,23.56,6.39
Azuolas Tubelis,College,21.24,6.97
Scoot Henderson,G League,19.37,4.81
Mojave King,G League,20.94,1.94
Victor Wembanyama,International,19.45,6.94
Amen Thompson,Overtime Elite,20.38,6.6
Ausar Thompson,Overtime Elite,20.38,6.64
Bilal Coulibaly,International,18.9,4.57
James Nnaji,International,18.85,3.26
Tristan Vukčević,International,20.27,3.85
Rayan Rupert,International,19.05,2.32
Tarik Biberovic,International,22.39,1.87
Malcolm Cazalon,International,21.81,4.53
Nadir Hifi,International,20.93,4.96
