season,lg,player,player_id,age,team,pos,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
2021,NBA,Jeff Teague,teaguje01,32.0,BOS,PG,34,5.0,18.1,2.3,5.5,0.415,0.8,1.6,0.464,1.5,3.9,0.394,0.484,1.5,1.8,0.836,0.3,1.4,1.7,2.1,0.8,0.2,1.1,1.3,6.9
2021,NBA,Jeff Teague,teaguje01,32.0,MIL,PG,21,2.0,15.9,2.1,4.6,0.469,0.5,1.2,0.385,1.7,3.3,0.5,0.521,1.8,2.1,0.864,0.2,1.2,1.5,2.8,0.4,0.2,1.2,0.6,6.6
2021,NBA,Garrett Temple,templga01,34.0,CHI,SG,56,25.0,27.3,2.8,6.8,0.415,1.2,3.6,0.335,1.6,3.2,0.503,0.503,0.7,0.9,0.8,0.5,2.3,2.9,2.2,0.8,0.5,1.0,2.3,7.6
2021,NBA,Tyrell Terry,terryty01,20.0,DAL,PG,11,0.0,5.1,0.5,1.5,0.313,0.0,0.6,0.0,0.5,0.8,0.556,0.313,0.1,0.3,0.333,0.0,0.5,0.5,0.5,0.5,0.0,0.2,0.2,1.0
2021,NBA,Daniel Theis,theisda01,28.0,2TM,C,65,51.0,24.6,3.9,7.2,0.541,0.8,2.3,0.322,3.1,4.8,0.646,0.593,1.1,1.7,0.673,1.4,4.0,5.5,1.7,0.6,0.9,1.0,2.6,9.6
2021,NBA,Daniel Theis,theisda01,28.0,BOS,C,42,37.0,24.5,3.8,6.9,0.552,0.8,2.3,0.347,3.0,4.6,0.653,0.609,1.1,1.6,0.687,1.3,4.0,5.2,1.6,0.6,1.0,1.0,2.9,9.5
2021,NBA,Daniel Theis,theisda01,28.0,CHI,C,23,14.0,25.0,4.0,7.7,0.522,0.7,2.5,0.281,3.3,5.3,0.636,0.567,1.2,1.9,0.651,1.7,4.2,5.9,1.8,0.7,0.6,1.1,2.0,10.0
2021,NBA,Brodric Thomas,thomabr01,24.0,2TM,SG,32,1.0,12.5,1.2,3.4,0.361,0.5,1.8,0.271,0.7,1.5,0.469,0.435,1.0,1.4,0.674,0.3,1.4,1.7,0.9,0.5,0.3,0.7,1.3,3.9
2021,NBA,Brodric Thomas,thomabr01,24.0,HOU,SG,4,0.0,6.0,0.5,1.8,0.286,0.3,1.5,0.167,0.3,0.3,1.0,0.357,1.3,1.8,0.714,0.3,0.8,1.0,1.0,0.3,0.3,1.0,1.3,2.5
2021,NBA,Brodric Thomas,thomabr01,24.0,CLE,SG,28,1.0,13.4,1.3,3.6,0.366,0.5,1.9,0.283,0.8,1.7,0.458,0.441,0.9,1.4,0.667,0.3,1.5,1.8,0.9,0.5,0.3,0.6,1.3,4.1
2021,NBA,Isaiah Thomas,thomais02,31.0,NOP,PG,3,0.0,16.0,3.0,9.0,0.333,1.0,4.0,0.25,2.0,5.0,0.4,0.389,0.7,0.7,1.0,0.3,1.0,1.3,1.7,0.3,0.0,2.0,1.0,7.7
2021,NBA,Khyri Thomas,thomakh01,24.0,HOU,SG,5,2.0,30.6,6.4,13.2,0.485,1.8,5.4,0.333,4.6,7.8,0.59,0.553,1.8,1.8,1.0,1.4,2.2,3.6,5.0,1.8,1.2,1.2,1.6,16.4
2021,NBA,Matt Thomas,thomama02,26.0,2TM,SG,45,0.0,7.2,1.1,2.8,0.394,0.6,1.8,0.338,0.5,1.0,0.489,0.5,0.3,0.3,0.857,0.2,0.8,1.0,0.4,0.1,0.0,0.3,0.4,3.1
2021,NBA,Matt Thomas,thomama02,26.0,TOR,SG,26,0.0,7.4,0.9,2.4,0.387,0.7,1.6,0.415,0.3,0.8,0.333,0.524,0.2,0.3,0.857,0.1,0.7,0.8,0.3,0.1,0.0,0.2,0.4,2.7
2021,NBA,Matt Thomas,thomama02,26.0,UTA,SG,19,0.0,7.1,1.4,3.4,0.4,0.5,2.1,0.256,0.8,1.4,0.615,0.477,0.3,0.4,0.857,0.2,1.0,1.2,0.5,0.1,0.0,0.4,0.4,3.6
2021,NBA,Tristan Thompson,thomptr01,29.0,BOS,C,54,43.0,23.8,3.1,6.0,0.518,0.0,0.1,0.0,3.1,6.0,0.523,0.518,1.3,2.2,0.592,3.1,5.0,8.1,1.2,0.4,0.6,1.1,2.2,7.6
2021,NBA,Sindarius Thornwell,thornsi01,26.0,2TM,SG,21,1.0,10.3,0.7,2.2,0.326,0.3,1.1,0.304,0.4,1.1,0.348,0.402,0.2,0.4,0.5,0.1,0.7,0.9,1.0,0.6,0.1,0.3,0.7,2.0
2021,NBA,Sindarius Thornwell,thornsi01,26.0,NOP,SG,14,1.0,5.2,0.5,1.5,0.333,0.2,0.6,0.333,0.3,0.9,0.333,0.405,0.0,0.1,0.0,0.1,0.3,0.4,0.3,0.4,0.1,0.3,0.2,1.2
2021,NBA,Sindarius Thornwell,thornsi01,26.0,ORL,SG,7,0.0,20.6,1.1,3.6,0.32,0.6,2.0,0.286,0.6,1.6,0.364,0.4,0.6,0.9,0.667,0.3,1.6,1.9,2.4,1.1,0.1,0.4,1.7,3.4
2021,NBA,Matisse Thybulle,thybuma01,23.0,PHI,SG,65,8.0,20.0,1.6,3.7,0.42,0.7,2.2,0.301,0.9,1.5,0.59,0.508,0.1,0.3,0.444,0.5,1.4,1.9,1.0,1.6,1.1,0.5,2.0,3.9
2021,NBA,Killian Tillie,tilliki02,22.0,MEM,C,18,1.0,10.1,1.1,3.2,0.333,0.6,1.8,0.303,0.5,1.3,0.375,0.421,0.5,0.6,0.818,0.3,1.0,1.3,0.4,0.3,0.4,0.1,1.1,3.2
2021,NBA,Xavier Tillman Sr.,tillmxa01,22.0,MEM,PF,59,12.0,18.4,2.8,5.1,0.559,0.4,1.1,0.338,2.5,4.0,0.62,0.595,0.6,0.9,0.642,1.3,3.1,4.3,1.3,0.7,0.6,0.8,2.0,6.6
