name,team,classification
Cade Cunningham,Oklahoma State,College
Jalen Green,G League,G League
Evan Mobley,USC,College
Scottie Barnes,Florida State,College
Jalen Suggs,Gonzaga,College
Josh Giddey,Adelaide,International
Jonathan Kuminga,G League,G League
Franz Wagner,Michigan,College
Davion Mitchell,Baylor,College
Ziaire Williams,Stanford,College
James Bouknight,UConn,College
Joshua Primo,Alabama,College
Chris Duarte,Oregon,College
Moses Moody,Arkansas,College
Corey Kispert,Gonzaga,College
Alperen Şengün,Beşiktaş,International
Trey Murphy III,Virginia,College
Tre Mann,Florida,College
Kai Jones,Texas,College
Jalen Johnson,Duke,College
Keon Johnson,Tennessee,College
Isaiah Jackson,Kentucky,College
Usman Garuba,Real Madrid,International
Josh Christopher,Arizona State,College
Quentin Grimes,Houston,College
Nah'Shon Hyland,VCU,College
Cameron Thomas,LSU,College
Jaden Springer,Tennessee,College
Day'Ron Sharpe,North Carolina,College
Santi Aldama,Loyola (MD),College
Isaiah Todd,G League,G League
Jeremiah Robinson-Earl,Villanova,College
Jason Preston,Ohio,College
Rokas Jokubaitis,Žalgiris,International
Herbert Jones,Alabama,College
Miles McBride,West Virginia,College
JT Thor,Auburn,College
Ayo Dosunmu,Illinois,College
Neemias Queta,Utah State,College
Jared Butler,Baylor,College
Joe Wieskamp,Iowa,College
Isaiah Livers,Michigan,College
Greg Brown,Texas,College
Kessler Edwards,Pepperdine,College
Juhann Bégarin,Paris Basketball,International
Dalano Banton,Nebraska,College
David Johnson,Louisville,College
Sharife Cooper,Auburn,College
Marcus Zegarowski,Creighton,College
Filip Petrušev,KK Mega Basket,International
BJ Boston,Kentucky,College
Luka Garza,Iowa,College
Charles Bassey,Western Kentucky,College
Sandro Mamukelashvili,Seton Hall,College
Aaron Wiggins,Maryland,College
Scottie Lewis,Florida,College
Balša Koprivica,Florida State,College
Jericho Sims,Texas,College
RaiQuan Gray,Florida State,College
Georgios Kalaitzakis,Panathinaikos,International
Joel Ayayi,Gonzaga,College
David Duke,Providence,College
Aaron Henry,Michigan State,College
Jay Huff,Virginia,College
Matthew Hurt,Duke,College
AJ Lawson,South Carolina,College
Daishen Nix,G League,G League
John Petty,Alabama,College
Yves Pons,Tennessee,College
Austin Reaves,Oklahoma,College
DJ Steward,Duke,College
Trendon Watford,LSU,College
Romeo Weems,DePaul,College
McKinley Wright IV,Colorado,College
