name,team,classification
Zaccharie Risacher,JL Bourg,International
Alexandre Sarr,Perth,International
Reed Sheppard,Kentucky,College
Stephon Castle,UConn,College
Ron Holland,G League,G League
Tidjane Salaun,Cholet Basket,International
Donovan Clingan,UConn,College
Rob Dillingham,Kentucky,College
Zach Edey,Purdue,College
Cody Williams,Colorado,College
Matas Buzelis,G League,G League
Nikola Topić,Red Star,International
Devin Carter,Providence,College
Carlton Carrington,Pittsburgh,College
Kel'el Ware,Indiana,College
Jared McCain,Duke,College
Dalton Knecht,Tennessee,College
Tristan da Silva,Colorado,College
Ja'Kobe Walter,Baylor,College
Jaylon Tyson,California,College
Yves Missi,Baylor,College
DaRon Holmes II,Dayton,College
AJ Johnson,Illawarra,International
Kyshawn George,Miami,College
Pacome Dadiet,Ratiopharm Ulm,International
Dillon Jones,Weber State,College
Terrence Shannon Jr.,Illinois,College
Ryan Dunn,Virginia,College
Isaiah Collier,USC,College
Baylor Scheierman,Creighton,College
Jonathan Mogbo,San Francisco,College
Kyle Filipowski,Duke,College
Tyler Smith,G League,G League
Tyler Kolek,Marquette,College
Johnny Furphy,Kansas,College
Juan Núñez,Ratiopharm Ulm,International
Bobi Klintman,Cairns,International
Ajay Mitchell,UC Santa Barbara,College
Jaylen Wells,Washington State,College
Oso Ighodaro,Marquette,College
Adem Bona,UCLA,College
KJ Simpson,Colorado,College
Nikola Djurisic,KK Mega Basket,International
Pelle Larsson,Arizona,College
Jamal Shead,Houston,College
Cam Christie,Minnesota,College
Antonio Reeves,Kentucky,College
Harrison Ingram,North Carolina,College
Tristen Newton,UConn,College
Enrique Freeman,Akron,College
Melvin Ajinca,Saint-Quentin,International
Quinten Post,Boston College,College
Cam Spencer,UConn,College
Anton Watson,Gonzaga,College
Bronny James,USC,College
Kevin McCullar,Kansas,College
Ulrich Chomche,NBA Academy Africa,International
Ariel Hukporti,Melbourne,International
Trey Alexander,Creighton,College
Reece Beekman,Virginia,College
Jalen Bridges,Baylor,College
Isaiah Crawford,Louisiana Tech,College
N'Faly Dante,Oregon,College
Justin Edwards,Kentucky,College
Boogie Ellis,USC,College
Allen Flanigan,Ole Miss,College
Trentyn Flowers,Adelaide,International
PJ Hall,Clemson,College
Keshad Johnson,Arizona,College
Isaac Jones,Washington State,College
Judah Mintz,Syracuse,College
Ousmane N'Diaye,Saski Baskonia B,International
Zyon Pullin,Florida,College
Mantas Rubstavicius,New Zealand,International
