pick,team,player,acquired_from
1,San Antonio Spurs,Victor Wembanyama,
2,Charlotte Hornets,Brandon Miller,
3,Portland Trail Blazers,Scoot Henderson,
4,Houston Rockets,Amen Thompson,
5,Detroit Pistons,Ausar Thompson,
6,Orlando Magic,Anthony Black,
7,Washington Wizards,Bilal Coulibaly,Indiana Pacers
8,Indiana Pacers,Jarace Walker,Washington Wizards
9,Utah Jazz,Taylor Hendricks,
10,Oklahoma City Thunder,Cason Wallace,Dallas Mavericks
11,Orlando Magic,Jett Howard,
12,Dallas Mavericks,Dereck Lively II,Oklahoma City Thunder
13,Toronto Raptors,Gradey Dick,
14,New Orleans Pelicans,Jordan Hawkins,
