pick,team,player,acquired_from,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,win_pct
1,Atlanta Hawks,Zaccharie Risacher,,21.0,26.2,36.0,46.0,36,46,-2.18,-0.19,-2.38,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,,0.539,11.6,27.1,0.2,0.572,12.4,75.2,0.192,0.43902439024390244
2,Washington Wizards,Alex Sarr,,28.0,24.9,15.0,67.0,20,62,-9.29,0.0,-9.29,110.5,119.6,-9.1,102.7,0.221,0.389,0.567,,0.538,12.2,20.0,0.169,0.562,12.0,72.5,0.201,0.18292682926829268
3,Houston Rockets,Reed Sheppard,Brooklyn Nets,18.0,25.1,41.0,41.0,44,38,1.12,0.12,1.24,114.5,113.4,1.1,99.0,0.257,0.397,0.565,,0.529,11.2,25.1,0.199,0.533,12.2,76.0,0.219,0.5
4,San Antonio Spurs,Stephon Castle,,24.0,23.0,22.0,60.0,26,56,-6.49,0.69,-5.8,110.0,116.4,-6.4,101.1,0.22,0.401,0.563,,0.532,13.2,22.9,0.172,0.555,11.7,76.4,0.174,0.2682926829268293
5,Detroit Pistons,Ron Holland,,27.0,23.8,14.0,68.0,20,62,-9.11,0.05,-9.06,109.7,118.8,-9.1,99.8,0.246,0.36,0.562,,0.526,13.5,23.9,0.193,0.558,11.1,77.3,0.221,0.17073170731707318
6,Charlotte Hornets,Tidjane Salaun,,30.0,25.1,21.0,61.0,18,64,-10.24,0.13,-10.12,109.3,119.8,-10.5,97.3,0.212,0.391,0.56,,0.529,12.6,21.1,0.167,0.572,12.3,74.5,0.188,0.25609756097560976
7,Portland Trail Blazers,Donovan Clingan,,29.0,24.1,21.0,61.0,20,62,-9.02,0.74,-8.29,108.3,117.5,-9.2,97.2,0.228,0.37,0.539,,0.503,13.4,27.5,0.181,0.558,12.8,74.0,0.216,0.25609756097560976
8,San Antonio Spurs,Rob Dillingham,Toronto Raptors,24.0,23.0,22.0,60.0,26,56,-6.49,0.69,-5.8,110.0,116.4,-6.4,101.1,0.22,0.401,0.563,,0.532,13.2,22.9,0.172,0.555,11.7,76.4,0.174,0.2682926829268293
9,Memphis Grizzlies,Zach Edey,,26.0,24.4,27.0,55.0,24,58,-7.0,0.43,-6.57,107.2,114.3,-7.1,98.2,0.238,0.428,0.543,,0.509,13.4,23.8,0.182,0.551,13.5,74.8,0.195,0.32926829268292684
10,Utah Jazz,Cody Williams,,23.0,25.1,31.0,51.0,29,53,-4.89,0.68,-4.22,115.5,120.4,-4.9,99.5,0.251,0.406,0.579,,0.539,13.6,28.1,0.209,0.567,10.9,75.2,0.182,0.3780487804878049
11,Chicago Bulls,Matas Buzelis,,20.0,28.1,39.0,43.0,37,45,-1.44,-0.33,-1.77,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,,0.534,11.0,25.1,0.187,0.556,12.7,76.4,0.195,0.47560975609756095
12,Oklahoma City Thunder,Nikola Topic,Houston Rockets,2.0,23.4,57.0,25.0,58,24,7.41,-0.05,7.36,119.5,112.1,7.4,99.8,0.24,0.383,0.608,,0.573,11.4,21.1,0.198,0.53,13.6,73.8,0.202,0.6951219512195121
13,Sacramento Kings,Devin Carter,,17.0,26.4,46.0,36.0,45,37,1.74,0.55,2.29,116.9,115.2,1.7,98.8,0.229,0.432,0.582,,0.556,11.6,24.5,0.171,0.555,12.5,78.4,0.213,0.5609756097560976
14,Portland Trail Blazers,Carlton Carrington,Golden State Warriors,29.0,24.1,21.0,61.0,20,62,-9.02,0.74,-8.29,108.3,117.5,-9.2,97.2,0.228,0.37,0.539,,0.503,13.4,27.5,0.181,0.558,12.8,74.0,0.216,0.25609756097560976
