Name,classification,Age,OverallScore,Archetype,Comp1,Comp2,Comp3,Comp1_dist,Comp2_dist,Comp3_dist
Jay Huff,College,22.82,7.58,1,Daniel Gafford,Chris Boucher,Myles Turner,5.0392998072234585,5.0909724591325825,5.3058292168401815
Matthew Hurt,College,21.16,6.39,8,Michael Porter Jr.,John Collins,Tobias Harris,3.095363621829631,3.394191356671723,3.487689459650232
AJ Lawson,College,20.93,3.65,5,Terence Davis,Victor Oladipo,Norman Powell,3.0721153138086805,3.0946294400299275,3.159968272430465
John Petty,College,22.54,4.79,8,De'Anthony Melton,Kyle Anderson,Danny Green,2.6855358420524933,2.7882019134495795,2.933273599865068
Yves Pons,College,22.12,4.0,1,Marc Gasol,Brook Lopez,Chris Boucher,3.696173984024502,3.7502296826993353,3.781923510366167
Austin Reaves,College,23.06,6.01,7,Paul George,Shai Gilgeous-Alexander,Khris Middleton,2.4094822938233427,2.8489719026900495,2.8582884477663275
DJ Steward,College,19.71,4.19,5,Nickeil Alexander-Walker,Evan Fournier,De'Anthony Melton,2.1356860569614655,2.282045971089028,2.3304894687971034
Trendon Watford,College,20.61,5.07,7,Aaron Gordon,Aaron Gordon,Pascal Siakam,2.5848505700961737,2.603937366233519,2.6466795079048033
Romeo Weems,College,20.09,2.21,2,Al-Farouq Aminu,Kent Bazemore,Andre Iguodala,2.681599670296218,2.7983824077720287,2.948921086732578
McKinley Wright IV,College,22.65,6.74,7,Mike Conley,Chris Paul,Derrick Rose,3.1367849456260153,3.614556335780906,3.6734142395403784
Jalen Green,G League,19.36,5.68,7,Gordon Hayward,OG Anunoby,Terry Rozier,3.231332571374511,3.2527914101502913,3.298016772973184
Jonathan Kuminga,G League,18.7,4.24,7,Aaron Gordon,Aaron Gordon,Al Horford,3.5302922583940615,3.641532628360502,3.743283479205723
Josh Giddey,International,18.69,5.92,7,Ben Simmons,Lonzo Ball,Thaddeus Young,3.6287297093936473,3.722856478010357,3.889758942919967
Alperen Şengün,International,18.9,7.88,7,Anthony Davis,Bam Adebayo,Kelly Olynyk,3.116768340353374,3.674702718027967,4.205741327993641
Usman Garuba,International,19.28,3.57,8,James Johnson,Andre Iguodala,Paul Millsap,2.9794733632675423,3.0849404281309525,3.0907564938968464
Rokas Jokubaitis,International,20.58,3.68,8,Gorgui Dieng,De'Anthony Melton,Cameron Payne,3.251275027749982,3.2936922581752888,3.39966040607543
Juhann Bégarin,International,18.87,4.84,7,De'Anthony Melton,Kyle Anderson,Thaddeus Young,3.1341524237322953,3.240407131179535,3.3158023671112034
Filip Petrušev,International,21.18,6.3,7,Tobias Harris,Christian Wood,Al Horford,3.6237414000014674,3.836699710204076,3.9527744191358902
Georgios Kalaitzakis,International,22.46,2.1,2,Gorgui Dieng,Skylar Mays,Jarrell Brantley,3.115072481381179,3.137133082879811,3.390440711456906
Herbert Jones,College,22.7,6.22,7,Ben Simmons,Jusuf Nurkić,Delon Wright,4.536031420280442,4.5875388954835925,4.596915819027782
