Name,Age,classification,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,EFG%,3PAR,FTAR,NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG,Unnamed: 19,WS/48
Miles McBride,20.78,College,,G,29.0,28.0,34.2,5.4,12.6,0.431,1.6,3.8,0.414,3.8,8.7,0.439,0.495,3.4,4.2,0.813,1.2,2.7,3.9,4.8,1.9,0.3,1.8,1.7,15.9,22.8,0.544,0.305,0.338,474.0,3.7,9.2,6.3,28.5,3.1,1.0,11.1,22.9,3.4,1.2,4.7,0.189,6.5,3.0,9.5,0.495,0.305,0.338,0.364,1.24,2.64,0.137,0.048,120.3,102.3,,
JT Thor,18.81,College,,F,27.0,27.0,23.0,3.1,7.1,0.44,0.8,2.7,0.297,2.3,4.3,0.53,0.497,2.3,3.1,0.741,1.6,3.4,5.0,0.9,0.8,1.4,1.6,2.0,9.4,18.3,0.547,0.387,0.445,240.0,7.7,15.4,11.7,7.1,1.9,5.9,15.4,20.4,1.2,0.8,2.0,0.127,2.4,2.2,4.7,0.497,0.387,0.445,0.344,0.35,0.55,0.077,0.051,108.6,101.6,,
Ayo Dosunmu,21.42,College,,G,28.0,28.0,35.1,7.5,15.4,0.488,1.1,2.9,0.39,6.4,12.4,0.511,0.526,4.0,5.1,0.783,1.1,5.2,6.3,5.3,1.1,0.2,3.3,2.1,20.1,24.0,0.566,0.191,0.333,572.0,3.9,15.9,10.4,29.2,1.8,0.6,15.7,29.5,3.3,1.8,5.1,0.207,6.4,3.1,9.5,0.526,0.191,0.333,0.351,0.99,1.58,0.134,0.073,112.9,96.8,,
Neemias Queta,21.93,College,,C,29.0,29.0,30.0,5.8,10.3,0.559,0.0,0.1,0.0,5.8,10.2,0.562,0.559,3.4,4.8,0.707,2.9,7.3,10.1,2.7,1.1,3.3,2.4,2.4,14.9,30.5,0.592,0.007,0.468,426.0,10.8,27.0,19.0,18.6,2.0,13.2,15.9,24.3,2.8,2.9,5.8,0.265,5.2,6.9,12.2,0.559,0.007,0.468,0.318,0.77,1.12,0.129,0.133,116.4,80.6,,
Jared Butler,20.82,College,,G,30.0,30.0,30.3,5.9,12.5,0.471,2.6,6.2,0.416,3.3,6.4,0.524,0.573,2.4,3.0,0.78,0.4,2.9,3.3,4.8,2.0,0.4,2.8,2.4,16.7,25.0,0.599,0.492,0.242,498.0,1.7,11.4,6.5,27.9,3.7,1.3,16.9,27.0,3.5,1.9,5.4,0.239,7.6,4.1,11.7,0.573,0.492,0.242,0.382,1.03,1.69,0.154,0.084,118.6,93.7,,
Joe Wieskamp,21.82,College,,G,31.0,31.0,29.3,5.2,10.6,0.491,2.4,5.1,0.462,2.8,5.5,0.518,0.602,2.1,3.1,0.677,1.2,5.5,6.6,1.7,0.9,0.3,1.4,1.5,14.8,22.7,0.616,0.482,0.293,399.0,4.5,18.7,11.9,10.4,1.8,1.1,10.3,22.4,2.9,1.2,4.1,0.181,7.4,1.9,9.3,0.602,0.482,0.293,0.367,0.46,1.23,0.128,0.053,120.5,101.4,,
Isaiah Livers,22.89,College,,F,23.0,23.0,31.6,4.4,9.7,0.457,2.2,5.0,0.431,2.3,4.7,0.486,0.57,2.0,2.3,0.87,1.1,4.9,6.0,2.0,0.6,0.7,1.1,1.6,13.1,20.5,0.605,0.52,0.242,280.0,4.5,16.6,11.1,11.6,1.1,2.3,9.5,19.8,2.3,1.3,3.6,0.196,6.7,3.6,10.4,0.57,0.52,0.242,0.385,0.59,1.77,0.127,0.072,123.6,97.1,,
Greg Brown,19.8,College,,F,26.0,24.0,20.6,3.1,7.4,0.42,1.2,3.5,0.33,2.0,3.9,0.5,0.497,2.0,2.8,0.708,1.2,5.0,6.2,0.4,0.6,1.0,2.3,3.0,9.3,16.0,0.535,0.472,0.373,220.0,6.7,26.0,16.8,3.8,1.6,5.0,20.9,26.9,0.3,1.2,1.5,0.113,-0.2,2.7,2.5,0.497,0.472,0.373,0.353,0.14,0.17,0.022,0.09,93.6,91.6,,
Kessler Edwards,21.86,College,,F,27.0,26.0,33.9,6.1,12.4,0.491,1.7,4.4,0.378,4.4,8.0,0.553,0.558,3.4,3.9,0.876,1.2,5.6,6.8,1.2,1.0,1.2,1.8,2.1,17.2,21.8,0.606,0.356,0.314,410.0,4.4,18.4,11.6,7.2,1.6,3.9,11.3,23.6,2.5,1.4,3.9,0.169,4.5,1.0,5.6,0.558,0.356,0.314,0.373,0.31,0.67,0.109,0.061,114.6,99.7,,
Dalano Banton,21.61,College,,G,27.0,22.0,27.3,3.3,8.1,0.411,0.7,3.0,0.247,2.6,5.1,0.507,0.457,2.1,3.3,0.659,1.0,4.9,5.9,3.9,1.0,0.9,2.5,2.1,9.6,16.1,0.495,0.37,0.402,293.0,3.9,18.9,11.4,28.8,1.9,4.0,20.4,21.8,0.6,1.1,1.7,0.093,1.6,3.0,4.7,0.457,0.37,0.402,0.326,1.32,1.57,0.033,0.06,96.8,99.8,,
David Johnson,20.31,College,,G,19.0,19.0,35.1,4.7,11.5,0.411,1.7,4.4,0.386,3.1,7.2,0.426,0.484,1.5,2.1,0.7,0.9,4.9,5.8,3.2,1.1,0.3,3.2,2.7,12.6,13.4,0.504,0.379,0.183,239.0,2.9,15.4,9.3,18.8,1.8,0.9,20.4,23.3,0.4,1.0,1.4,0.083,1.1,1.9,3.1,0.484,0.379,0.183,0.349,0.81,0.98,0.024,0.06,94.6,100.1,,
Sharife Cooper,20.02,College,,G,12.0,12.0,33.1,6.0,15.3,0.391,1.1,4.8,0.228,4.9,10.6,0.465,0.427,7.1,8.6,0.825,0.7,3.6,4.3,8.1,1.0,0.3,4.2,2.7,20.2,22.9,0.519,0.31,0.56,270.0,2.2,11.3,6.9,51.9,1.6,0.7,17.7,33.1,1.4,0.3,1.7,0.174,4.7,-0.4,4.3,0.427,0.31,0.56,0.352,1.57,1.94,0.141,0.03,110.6,106.6,,
Marcus Zegarowski,22.88,College,,G,29.0,29.0,33.6,5.6,12.0,0.464,2.8,6.6,0.421,2.8,5.5,0.516,0.579,1.9,2.4,0.786,0.3,3.3,3.6,4.3,1.3,0.1,2.1,1.9,15.8,20.9,0.6,0.544,0.201,451.0,1.1,10.4,6.0,23.9,2.2,0.2,14.0,23.5,2.9,1.4,4.3,0.178,5.8,2.3,8.1,0.579,0.544,0.201,0.381,1.02,2.02,0.119,0.057,115.8,100.7,,
Luka Garza,22.48,College,,F,31.0,31.0,31.5,9.1,16.4,0.553,1.4,3.2,0.44,7.6,13.2,0.581,0.596,4.5,6.4,0.709,3.0,5.7,8.7,1.7,0.7,1.6,1.5,2.3,24.1,35.6,0.62,0.197,0.392,655.0,10.5,18.3,14.6,12.2,1.2,5.3,7.2,32.5,5.5,1.4,6.9,0.282,11.9,1.8,13.7,0.596,0.197,0.392,0.35,0.38,1.15,0.226,0.057,127.3,100.5,,
Charles Bassey,20.64,College,,C,28.0,28.0,30.4,6.9,11.8,0.59,0.6,2.1,0.305,6.3,9.6,0.652,0.617,3.1,4.1,0.759,3.3,8.3,11.6,0.7,0.4,3.1,2.2,2.4,17.6,32.7,0.643,0.179,0.353,441.0,13.2,30.8,22.4,5.6,0.7,11.5,13.9,26.4,3.3,2.1,5.4,0.254,6.5,2.6,9.1,0.617,0.179,0.353,0.338,0.21,0.31,0.155,0.099,121.1,90.5,,
Sandro Mamukelashvili,22.07,College,,F,27.0,27.0,35.6,6.2,14.3,0.434,1.6,4.6,0.336,4.7,9.7,0.481,0.488,3.5,4.9,0.714,1.9,5.7,7.6,3.2,1.1,0.6,3.3,1.7,17.5,20.2,0.525,0.323,0.344,470.0,6.1,18.5,12.4,20.6,1.8,1.7,16.5,28.8,1.8,1.3,3.1,0.127,4.9,1.2,6.2,0.488,0.323,0.344,0.347,0.72,0.98,0.075,0.054,102.7,101.6,,
Aaron Wiggins,22.46,College,,G,31.0,30.0,33.0,5.3,11.9,0.446,1.8,5.2,0.356,3.5,6.8,0.514,0.523,2.0,2.5,0.772,1.1,4.7,5.8,2.5,1.1,0.5,2.0,2.0,14.5,19.9,0.55,0.432,0.214,441.0,4.4,16.1,10.6,17.3,2.1,2.0,13.0,25.4,2.1,1.6,3.7,0.145,4.9,2.1,7.0,0.523,0.432,0.214,0.362,0.68,1.3,0.082,0.063,106.1,99.2,,
Scottie Lewis,21.27,College,,G,21.0,9.0,25.6,2.7,6.1,0.445,0.7,2.1,0.318,2.0,4.0,0.512,0.5,1.8,2.6,0.673,0.8,2.3,3.1,1.5,1.6,1.0,1.9,2.5,7.9,14.5,0.535,0.344,0.43,166.0,4.0,9.8,7.1,10.4,3.5,4.4,20.2,18.0,0.5,0.9,1.4,0.104,1.3,4.5,5.8,0.5,0.344,0.43,0.33,0.58,0.79,0.037,0.067,100.2,98.1,,
Balša Koprivica,21.13,College,,C,24.0,20.0,19.5,3.7,6.1,0.599,0.0,0.0,1.0,3.6,6.1,0.596,0.602,1.8,2.5,0.689,2.1,3.5,5.6,0.8,0.3,1.4,1.3,2.6,9.1,24.8,0.622,0.007,0.415,211.0,13.6,19.4,16.7,7.7,0.9,8.0,15.4,21.9,1.5,0.8,2.3,0.2,3.8,2.9,6.7,0.602,0.007,0.415,0.317,0.35,0.56,0.128,0.068,119.9,97.1,,
Jericho Sims,22.66,College,,F,26.0,26.0,24.5,3.6,5.2,0.696,0.0,0.0,,3.6,5.2,0.696,0.696,2.0,3.8,0.52,2.2,5.1,7.2,0.7,0.7,1.1,1.6,2.5,9.2,21.7,0.658,0.0,0.741,227.0,10.2,22.1,16.4,5.4,1.7,4.6,18.7,17.6,1.5,1.4,2.9,0.181,3.6,3.4,6.9,0.696,0.0,0.741,0.292,0.31,0.4,0.094,0.088,117.0,93.5,,
RaiQuan Gray,22.2,College,,F,25.0,24.0,26.3,4.4,8.4,0.517,0.3,1.2,0.267,4.0,7.2,0.558,0.536,2.8,3.7,0.763,1.5,4.9,6.4,2.2,1.2,0.7,2.2,2.6,11.9,22.2,0.582,0.142,0.441,297.0,7.0,20.2,14.1,16.1,2.6,3.1,17.7,23.3,1.7,1.3,3.0,0.183,3.7,3.7,7.4,0.536,0.142,0.441,0.331,0.69,1.0,0.103,0.079,112.5,95.1,,
Joel Ayayi,21.29,College,,G,32.0,31.0,31.3,4.7,8.1,0.575,1.2,3.0,0.389,3.5,5.1,0.683,0.647,1.6,2.0,0.781,1.6,5.3,6.9,2.7,1.1,0.2,1.4,1.8,12.0,20.6,0.665,0.367,0.247,394.0,6.6,18.5,13.1,12.6,1.8,0.6,13.7,16.1,3.4,2.0,5.3,0.213,6.5,3.1,9.6,0.647,0.367,0.247,0.354,0.78,1.89,0.136,0.08,131.0,94.9,,
David Duke,21.68,College,,G,26.0,26.0,37.1,5.5,14.3,0.387,2.0,5.0,0.389,3.6,9.3,0.386,0.456,3.8,4.8,0.792,1.0,5.3,6.3,4.8,1.2,0.3,3.2,3.0,16.8,18.1,0.508,0.352,0.336,449.0,3.0,16.4,9.7,27.3,1.9,0.8,16.0,27.3,1.7,1.2,2.9,0.12,3.5,1.7,5.2,0.456,0.352,0.336,0.364,1.0,1.51,0.071,0.05,102.3,102.1,,
Aaron Henry,21.8,College,,F,28.0,26.0,32.5,5.8,13.0,0.449,0.9,2.9,0.296,5.0,10.1,0.493,0.482,2.9,3.8,0.762,1.4,4.3,5.6,3.6,1.3,1.3,2.9,2.2,15.4,20.1,0.521,0.223,0.289,421.0,4.8,14.6,9.7,25.2,2.4,4.1,16.2,27.2,1.5,1.2,2.7,0.119,4.6,3.4,7.9,0.482,0.223,0.289,0.341,0.93,1.26,0.066,0.053,101.8,101.2,,
Jay Huff,22.82,College,,F,25.0,25.0,27.0,5.1,8.7,0.585,1.2,3.0,0.387,3.9,5.7,0.69,0.652,1.6,2.0,0.837,1.7,5.4,7.1,1.0,0.5,2.6,1.3,2.6,13.0,31.4,0.674,0.346,0.226,294.0,8.9,24.6,17.2,8.1,1.3,11.9,12.1,24.0,2.8,1.5,4.3,0.257,6.9,5.0,11.9,0.652,0.346,0.226,0.364,0.34,0.73,0.166,0.089,125.9,91.8,,
Matthew Hurt,21.16,College,,F,24.0,23.0,32.7,6.8,12.3,0.556,2.3,5.3,0.444,4.5,7.0,0.639,0.651,2.3,3.2,0.724,1.5,4.7,6.2,1.4,0.8,0.7,1.2,3.2,18.3,26.3,0.663,0.427,0.258,371.0,5.3,17.1,11.1,8.6,1.3,2.3,7.8,22.8,3.5,0.8,4.3,0.219,8.5,1.5,9.9,0.651,0.427,0.258,0.367,0.38,1.21,0.179,0.041,132.5,104.5,,
AJ Lawson,20.93,College,,G,21.0,21.0,31.3,5.6,14.1,0.394,2.8,8.0,0.351,2.8,6.1,0.45,0.493,2.7,3.8,0.7,1.0,3.1,4.1,1.2,1.5,0.1,1.5,1.8,16.6,17.9,0.521,0.566,0.269,306.0,3.0,11.9,7.1,8.0,2.6,0.5,8.7,25.2,1.4,0.5,1.9,0.114,4.7,0.8,5.5,0.493,0.566,0.269,0.373,0.32,0.81,0.085,0.03,108.0,107.5,,
John Petty,22.54,College,,G,32.0,31.0,31.3,4.3,10.3,0.42,2.4,6.5,0.37,1.9,3.8,0.504,0.536,1.5,2.0,0.734,0.9,4.2,5.2,1.9,1.3,0.6,1.9,2.2,12.6,15.9,0.556,0.628,0.193,374.0,3.1,13.6,8.4,10.9,2.2,1.8,14.6,19.5,1.8,1.9,3.7,0.149,3.1,3.7,6.8,0.536,0.628,0.193,0.37,0.56,0.98,0.072,0.076,108.8,95.3,,
Yves Pons,22.12,College,,F,26.0,26.0,28.5,3.5,7.4,0.466,0.7,2.4,0.274,2.8,5.0,0.557,0.51,1.2,1.5,0.789,1.6,3.7,5.3,0.7,0.7,1.8,1.0,2.1,8.7,16.1,0.538,0.321,0.197,211.0,6.5,14.7,10.6,5.0,1.3,7.4,11.3,16.2,1.1,1.6,2.7,0.147,1.5,4.0,5.5,0.51,0.321,0.197,0.342,0.31,0.7,0.059,0.086,109.3,93.1,,
