Name,Age,classification,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,EFG%,3PAR,FTAR,NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG,Unnamed: 19,WS/48
Cade Cunningham,19.73,College,,G,27.0,26.0,35.4,6.5,14.8,0.438,2.3,5.7,0.4,4.2,9.1,0.461,0.515,4.9,5.8,0.846,0.7,5.5,6.2,3.5,1.6,0.8,4.0,2.5,20.1,21.6,0.574,0.388,0.39,518.0,2.3,16.3,9.6,20.4,2.5,2.3,18.7,29.1,2.3,1.7,4.0,0.166,5.1,3.2,8.3,0.515,0.388,0.39,0.379,0.7,0.86,0.096,0.071,106.4,97.0,,
Evan Mobley,20.0,College,,F,33.0,33.0,33.9,6.0,10.3,0.578,0.4,1.2,0.3,5.6,9.1,0.615,0.595,4.1,5.8,0.694,2.7,5.9,8.7,2.4,0.8,2.9,2.2,1.8,16.4,29.1,0.624,0.117,0.566,532.0,9.6,18.9,14.5,14.1,1.4,8.8,14.6,22.8,4.3,2.6,6.9,0.248,7.9,5.8,13.7,0.595,0.117,0.566,0.322,0.62,1.07,0.154,0.093,123.2,90.9,,
Scottie Barnes,19.88,College,,G,24.0,7.0,24.8,4.1,8.1,0.503,0.5,1.7,0.275,3.6,6.5,0.561,0.531,1.7,2.8,0.621,1.5,2.5,4.0,4.1,1.5,0.5,2.5,2.2,10.3,21.4,0.548,0.205,0.338,283.0,7.4,11.1,9.3,31.6,3.4,2.1,20.7,23.7,1.5,1.0,2.4,0.164,4.3,3.6,7.9,0.531,0.205,0.338,0.316,1.33,1.66,0.101,0.067,109.3,98.3,,
Jalen Suggs,19.99,College,,G,30.0,30.0,28.9,5.2,10.3,0.503,1.2,3.5,0.337,4.0,6.8,0.588,0.56,2.9,3.8,0.754,0.6,4.7,5.3,4.5,1.9,0.3,2.9,2.6,14.4,22.6,0.595,0.338,0.37,454.0,2.7,18.0,11.0,23.7,3.5,1.1,19.5,24.8,2.5,2.1,4.6,0.21,4.8,4.6,9.4,0.56,0.338,0.37,0.35,0.96,1.55,0.115,0.097,112.4,90.8,,
Franz Wagner,19.81,College,,G,28.0,28.0,31.7,4.4,9.3,0.477,1.3,3.6,0.343,3.2,5.6,0.563,0.544,2.4,2.8,0.835,0.7,5.8,6.5,3.0,1.3,1.0,1.3,2.2,12.5,22.1,0.587,0.392,0.304,345.0,2.9,19.6,12.1,17.4,2.3,3.2,10.8,19.7,2.7,2.0,4.7,0.21,5.8,6.1,11.9,0.544,0.392,0.304,0.361,0.88,2.33,0.122,0.09,121.5,92.3,,
Davion Mitchell,22.79,College,,G,30.0,30.0,33.0,5.3,10.3,0.511,2.1,4.7,0.447,3.2,5.6,0.565,0.613,1.4,2.1,0.641,0.5,2.2,2.7,5.5,1.9,0.4,2.4,2.4,14.0,21.8,0.619,0.456,0.207,442.0,1.7,8.0,4.8,27.7,3.3,1.2,17.7,20.3,3.5,1.9,5.3,0.215,6.4,3.7,10.1,0.613,0.456,0.207,0.352,1.36,2.26,0.141,0.077,123.0,96.0,,
Ziaire Williams,19.77,College,,F,20.0,14.0,27.9,3.8,10.2,0.374,1.2,4.0,0.291,2.7,6.2,0.427,0.431,2.0,2.5,0.796,0.5,4.1,4.6,2.2,0.9,0.6,2.9,2.4,10.7,11.2,0.473,0.389,0.241,213.0,2.4,16.4,9.9,16.4,1.7,2.2,20.4,26.5,-0.2,0.9,0.6,0.046,-1.2,1.5,0.3,0.431,0.389,0.241,0.355,0.62,0.76,-0.014,0.065,86.3,99.2,,
James Bouknight,20.75,College,,G,15.0,14.0,31.7,6.5,14.6,0.447,1.5,5.0,0.293,5.1,9.6,0.528,0.498,4.2,5.4,0.778,1.5,4.1,5.7,1.8,1.1,0.3,2.8,1.9,18.7,23.3,0.546,0.342,0.37,253.0,5.3,15.1,10.1,12.8,2.2,0.9,14.0,31.6,1.3,0.8,2.1,0.179,6.1,2.5,8.6,0.498,0.342,0.37,0.356,0.41,0.64,0.109,0.067,108.7,98.4,,
Joshua Primo,18.48,College,,G,30.0,19.0,22.5,2.8,6.5,0.431,1.4,3.8,0.381,1.4,2.7,0.5,0.541,1.1,1.5,0.75,1.0,2.3,3.4,0.8,0.6,0.3,1.4,1.7,8.1,13.2,0.565,0.579,0.226,226.0,4.7,10.5,7.6,6.5,1.4,1.3,16.0,17.6,1.0,1.1,2.1,0.125,1.6,2.1,3.7,0.541,0.579,0.226,0.365,0.37,0.61,0.059,0.065,107.8,98.7,,
Chris Duarte,24.01,College,,G,26.0,26.0,34.1,6.2,11.6,0.532,2.3,5.5,0.424,3.8,6.0,0.631,0.633,2.5,3.0,0.81,0.7,3.9,4.6,2.7,1.9,0.8,2.3,1.4,17.1,26.6,0.657,0.478,0.262,406.0,2.7,14.5,8.6,15.9,3.4,2.9,14.8,23.9,3.3,1.4,4.7,0.211,8.0,3.5,11.5,0.633,0.478,0.262,0.377,0.67,1.17,0.149,0.063,122.1,99.1,,
Moses Moody,19.05,College,,G,32.0,32.0,33.8,5.2,12.1,0.427,1.8,5.1,0.358,3.3,7.0,0.478,0.503,4.7,5.8,0.812,2.0,3.8,5.8,1.6,1.0,0.7,1.6,2.3,16.8,20.4,0.568,0.42,0.482,511.0,6.3,11.8,9.0,8.2,1.6,2.0,9.9,22.3,3.4,1.8,5.2,0.193,5.2,2.3,7.4,0.503,0.42,0.482,0.367,0.37,0.98,0.126,0.067,119.5,98.1,,
Corey Kispert,22.3,College,,F,32.0,32.0,31.8,6.5,12.3,0.529,2.8,6.5,0.44,3.7,5.9,0.628,0.644,2.7,3.1,0.878,0.9,4.0,5.0,1.8,0.9,0.4,1.3,1.7,18.6,25.4,0.674,0.524,0.248,518.0,3.8,13.9,9.3,9.0,1.5,1.4,8.7,22.7,4.6,1.8,6.4,0.251,9.1,2.0,11.1,0.644,0.524,0.248,0.398,0.4,1.38,0.181,0.071,133.1,96.6,,
Trey Murphy III,21.0,College,,G,25.0,20.0,29.6,3.8,7.6,0.503,2.1,4.8,0.433,1.8,2.8,0.62,0.639,1.5,1.6,0.927,0.6,2.8,3.4,1.2,0.8,0.4,0.8,2.0,11.3,20.9,0.67,0.628,0.215,248.0,2.8,11.7,7.6,8.2,1.8,1.8,8.3,18.4,2.5,0.9,3.5,0.189,5.9,2.4,8.4,0.639,0.628,0.215,0.394,0.45,1.58,0.135,0.049,129.8,102.0,,
Tre Mann,20.37,College,,G,24.0,24.0,32.4,5.5,12.1,0.459,1.9,4.7,0.402,3.7,7.4,0.494,0.536,3.1,3.7,0.831,0.7,5.0,5.6,3.5,1.4,0.1,2.8,2.4,16.0,21.1,0.579,0.386,0.307,382.0,2.6,16.9,10.2,21.9,2.4,0.4,17.0,25.8,2.2,1.2,3.3,0.172,5.0,2.0,7.0,0.536,0.386,0.307,0.373,0.85,1.22,0.113,0.062,111.7,99.6,,
Kai Jones,20.42,College,,F,26.0,4.0,22.8,3.2,5.5,0.58,0.5,1.3,0.382,2.7,4.2,0.642,0.626,2.0,2.8,0.689,2.0,2.9,4.8,0.6,0.8,0.9,1.4,2.7,8.8,20.7,0.646,0.238,0.517,220.0,10.0,13.5,11.8,5.4,2.1,4.2,16.8,18.0,1.6,1.1,2.7,0.183,4.0,3.5,7.5,0.626,0.238,0.517,0.332,0.3,0.44,0.108,0.074,120.2,96.3,,
Jalen Johnson,19.5,College,,F,13.0,8.0,21.4,4.4,8.4,0.523,0.6,1.4,0.444,3.8,7.0,0.538,0.56,1.8,2.9,0.632,1.5,4.5,6.1,2.2,1.2,1.2,2.5,2.2,11.2,25.8,0.575,0.165,0.349,143.0,8.3,25.2,16.6,20.5,3.1,6.0,20.6,28.6,0.6,0.5,1.1,0.162,4.3,4.2,8.5,0.56,0.165,0.349,0.331,0.72,0.88,0.086,0.072,104.3,95.4,,
Keon Johnson,19.28,College,,G,27.0,17.0,25.5,4.1,9.1,0.449,0.5,1.8,0.271,3.6,7.4,0.492,0.476,2.6,3.7,0.703,1.1,2.4,3.5,2.5,1.1,0.4,2.6,2.4,11.3,16.3,0.519,0.194,0.409,302.0,4.8,11.0,7.9,20.7,2.5,2.0,19.4,26.8,0.7,1.4,2.1,0.124,1.0,3.1,4.1,0.476,0.194,0.409,0.327,0.77,0.94,0.041,0.081,97.7,94.5,,
Isaiah Jackson,19.44,College,,F,25.0,18.0,20.8,3.0,5.5,0.54,0.0,0.1,0.0,3.0,5.4,0.548,0.54,2.5,3.6,0.7,2.1,4.5,6.6,0.7,0.8,2.6,1.5,3.0,8.4,25.3,0.587,0.015,0.657,208.0,11.2,23.3,17.3,7.4,2.1,12.7,17.5,20.5,1.2,1.2,2.4,0.187,2.3,6.0,8.3,0.54,0.015,0.657,0.317,0.36,0.47,0.092,0.092,111.9,90.7,,
Josh Christopher,19.53,College,,G,15.0,15.0,29.7,5.1,11.7,0.432,1.2,3.9,0.305,3.9,7.8,0.496,0.483,2.9,3.7,0.8,0.7,4.1,4.7,1.4,1.5,0.5,1.7,3.2,14.3,17.8,0.529,0.335,0.313,195.0,2.4,16.1,9.0,9.8,2.7,1.9,11.4,25.5,0.6,0.5,1.1,0.099,2.4,1.8,4.2,0.483,0.335,0.312,0.355,0.38,0.81,0.054,0.045,101.2,104.1,,
Quentin Grimes,21.12,College,,G,30.0,30.0,32.8,5.8,14.2,0.406,3.3,8.3,0.403,2.4,5.9,0.41,0.523,3.0,3.8,0.788,1.6,4.1,5.7,2.0,1.4,0.3,1.8,2.2,17.8,23.5,0.558,0.582,0.265,483.0,5.4,14.0,9.6,12.2,2.6,1.2,10.3,26.9,3.7,2.4,6.1,0.25,7.9,2.9,10.8,0.523,0.582,0.265,0.392,0.45,1.07,0.15,0.098,120.3,90.1,,
Nah'Shon Hyland,20.76,College,,G,24.0,24.0,31.9,6.3,14.2,0.447,2.9,7.8,0.371,3.5,6.4,0.539,0.549,3.9,4.5,0.862,0.2,4.5,4.7,2.1,1.9,0.2,3.1,2.2,19.5,23.7,0.596,0.547,0.321,408.0,0.7,16.3,8.9,16.0,3.5,0.6,15.9,31.8,2.0,1.8,3.8,0.201,5.5,2.7,8.2,0.549,0.547,0.321,0.395,0.5,0.68,0.104,0.094,107.8,91.2,,
Cameron Thomas,19.68,College,,G,29.0,29.0,34.0,7.0,17.2,0.406,2.3,7.2,0.325,4.7,10.0,0.464,0.474,6.7,7.6,0.882,0.6,2.8,3.4,1.4,0.9,0.2,1.7,1.4,23.0,24.1,0.553,0.418,0.44,600.0,2.0,8.2,5.2,8.3,1.4,0.7,7.5,31.6,4.0,0.5,4.5,0.183,7.1,-0.8,6.3,0.474,0.418,0.44,0.385,0.26,0.86,0.162,0.02,117.9,109.4,,
Jaden Springer,18.73,College,,G,25.0,15.0,25.9,4.2,9.1,0.467,0.8,1.8,0.435,3.4,7.2,0.475,0.511,3.2,4.0,0.81,1.0,2.5,3.5,2.9,1.2,0.4,2.4,2.0,12.5,20.9,0.57,0.203,0.441,309.0,4.6,10.9,7.8,24.1,2.7,2.0,17.9,26.0,1.6,1.3,2.9,0.18,3.6,3.3,6.9,0.511,0.203,0.441,0.356,0.93,1.22,0.099,0.08,108.8,94.2,,
Day'Ron Sharpe,19.62,College,,F,29.0,4.0,19.2,3.9,7.4,0.519,0.0,0.1,0.0,3.9,7.4,0.523,0.519,1.8,3.5,0.505,3.3,4.2,7.6,1.4,0.8,0.9,2.0,2.0,9.5,25.5,0.521,0.009,0.468,281.0,18.1,23.8,20.9,15.4,2.3,5.1,17.8,26.3,1.1,1.2,2.3,0.169,4.3,3.2,7.5,0.519,0.009,0.468,0.29,0.59,0.74,0.079,0.086,104.8,93.0,,
Santi Aldama,20.44,College,,F,17.0,17.0,35.0,7.9,15.5,0.513,1.9,5.1,0.368,6.1,10.4,0.585,0.574,3.5,5.1,0.686,1.8,8.3,10.1,2.3,1.0,1.7,3.2,1.9,21.2,28.6,0.594,0.331,0.327,329.0,6.1,27.9,16.9,15.5,1.7,5.6,15.3,30.5,1.9,1.2,3.1,0.208,6.2,1.5,7.7,0.574,0.331,0.327,0.35,0.51,0.71,0.128,0.081,111.3,94.3,,
Jeremiah Robinson-Earl,20.62,College,,F,25.0,25.0,34.5,6.2,12.5,0.497,0.9,3.3,0.28,5.3,9.2,0.574,0.534,2.4,3.4,0.714,2.5,6.0,8.5,2.2,1.0,0.6,1.6,2.3,15.7,23.4,0.558,0.263,0.269,388.0,8.6,21.3,14.8,13.5,1.7,2.3,10.2,24.3,2.7,1.3,4.1,0.189,5.5,2.1,7.6,0.534,0.263,0.269,0.334,0.56,1.38,0.125,0.06,116.2,99.2,,
Jason Preston,21.86,College,,G,20.0,20.0,34.6,6.4,12.4,0.514,1.6,4.1,0.39,4.8,8.3,0.576,0.579,1.4,2.4,0.596,1.1,6.2,7.3,7.3,1.5,0.3,3.0,1.4,15.7,24.1,0.583,0.332,0.19,352.0,3.6,20.6,12.2,38.6,2.3,0.8,18.2,23.4,2.2,1.0,3.2,0.186,5.4,1.8,7.2,0.579,0.332,0.19,0.334,1.65,2.42,0.127,0.058,115.1,100.0,,
