Name,Archetype,Comp1,Comp2,Comp3,Comp1_AllStars,Comp2_AllStars,Comp3_AllStars,UpsideRaw,Upside01,UpsideScore
Cade Cunningham,7,Paul George,LaMelo Ball,Kelly Olynyk,9.0,1.0,0.0,3.550976215114173,0.3347540014347696,3.35
Evan Mobley,1,Myles Turner,Anthony Davis,Rudy Gobert,0.0,9.0,3.0,3.900211384992109,0.3676767425279908,3.68
Scottie Barnes,7,Thaddeus Young,Ben Simmons,LaMelo Ball,0.0,3.0,1.0,1.323780511181886,0.1247940837376893,1.25
Jalen Suggs,7,LaMelo Ball,Ben Simmons,Delon Wright,1.0,3.0,0.0,1.3578585598096888,0.12800665471766104,1.28
Franz Wagner,8,Kyle Anderson,Al Horford,De'Anthony Melton,0.0,5.0,0.0,1.6485528364587168,0.15541068854032047,1.55
Davion Mitchell,7,T.J. McConnell,Jrue Holiday,Delon Wright,0.0,2.0,0.0,0.6687842408948705,0.0630469446072802,0.63
Ziaire Williams,5,Josh Jackson,Nickeil Alexander-Walker,Talen Horton-Tucker,0.0,0.0,0.0,0.0,0.0,0.0
James Bouknight,7,Jaylen Brown,Jayson Tatum,Jordan Clarkson,3.0,5.0,0.0,2.6779646444882266,0.2524543466744822,2.52
Joshua Primo,8,Abdel Nader,Jae Crowder,Dylan Windler,0.0,0.0,0.0,0.0,0.0,0.0
Chris Duarte,7,OG Anunoby,Jrue Holiday,De'Anthony Melton,0.0,2.0,0.0,0.6678559371513321,0.06295943250529154,0.63
Moses Moody,5,De'Andre Hunter,Al Horford,Kyle Anderson,0.0,5.0,0.0,1.6833949217040545,0.15869528599962313,1.59
Corey Kispert,8,Bogdan Bogdanović,Tobias Harris,Mikal Bridges,0.0,0.0,0.0,0.0,0.0,0.0
Trey Murphy III,8,Mikal Bridges,Gorgui Dieng,Jeremy Lamb,0.0,0.0,0.0,0.0,0.0,0.0
Tre Mann,7,Gordon Hayward,Paul George,LaMelo Ball,1.0,9.0,1.0,3.6443183904344347,0.3435534596113935,3.44
Kai Jones,8,Gorgui Dieng,Daniel Theis,Xavier Tillman Sr.,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Johnson,7,Jusuf Nurkić,Anthony Davis,DeMarcus Cousins,0.0,9.0,4.0,4.140402992334099,0.3903198403123546,3.9
Keon Johnson,7,Talen Horton-Tucker,De'Anthony Melton,Nickeil Alexander-Walker,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Jackson,1,Nerlens Noel,Robert Williams,Myles Turner,0.0,0.0,0.0,0.0,0.0,0.0
Josh Christopher,5,OG Anunoby,De'Anthony Melton,Nickeil Alexander-Walker,0.0,0.0,0.0,0.0,0.0,0.0
Quentin Grimes,7,OG Anunoby,Kyle Anderson,Bogdan Bogdanović,0.0,0.0,0.0,0.0,0.0,0.0
Nah'Shon Hyland,7,Victor Oladipo,Kawhi Leonard,Jaylen Brown,2.0,6.0,3.0,3.663455790906585,0.345357561074491,3.45
Cameron Thomas,5,Jordan Clarkson,Malik Beasley,Norman Powell,0.0,0.0,0.0,0.0,0.0,0.0
Jaden Springer,7,De'Anthony Melton,Derrick Rose,Talen Horton-Tucker,0.0,3.0,0.0,0.9562954469128888,0.09015090724781101,0.9
Day'Ron Sharpe,1,Mason Plumlee,JaVale McGee,Andre Drummond,0.0,0.0,2.0,0.65583076825448,0.06182580807012457,0.62
Santi Aldama,7,Anthony Davis,Joel Embiid,Karl-Anthony Towns,9.0,7.0,4.0,6.764462902229221,0.6376925349260553,6.38
Jeremiah Robinson-Earl,7,Al Horford,Kelly Olynyk,Tobias Harris,5.0,0.0,0.0,1.7786725005383317,0.16767719655876367,1.68
Jason Preston,7,Ben Simmons,LaMelo Ball,LeBron James,3.0,1.0,20.0,7.14749496737544,0.6738013423970165,6.74
Miles McBride,7,Mike Conley,Delon Wright,Delon Wright,1.0,0.0,0.0,0.3450344666871628,0.032526736694215165,0.33
JT Thor,1,Jaren Jackson Jr.,P.J. Washington,JaVale McGee,1.0,0.0,0.0,0.34798847115277176,0.03280521358485437,0.33
Ayo Dosunmu,7,Paul George,LeBron James,Julius Randle,9.0,20.0,3.0,10.607718503422038,1.0,10.0
Neemias Queta,1,Rudy Gobert,Myles Turner,Nerlens Noel,3.0,0.0,0.0,1.0417927019075504,0.09821081711128261,0.98
Jared Butler,7,Mike Conley,Jrue Holiday,LaMelo Ball,1.0,2.0,1.0,1.3354704458082542,0.1258961053102449,1.26
Joe Wieskamp,8,De'Andre Hunter,Kelly Olynyk,Al Horford,0.0,0.0,5.0,1.6628445962582061,0.15675798671710361,1.57
Isaiah Livers,8,Al Horford,Alec Burks,Tobias Harris,5.0,0.0,0.0,1.7936048942223421,0.16908488791852153,1.69
Greg Brown,1,JaVale McGee,DeMarcus Cousins,DeMarcus Cousins,0.0,4.0,4.0,2.5981590088552817,0.2449309913358955,2.45
Kessler Edwards,8,Tobias Harris,P.J. Washington,John Collins,0.0,0.0,0.0,0.0,0.0,0.0
Dalano Banton,7,Thaddeus Young,Dennis Smith Jr.,Aaron Gordon,0.0,0.0,0.0,0.0,0.0,0.0
David Johnson,7,Aaron Gordon,Aaron Gordon,Dennis Schröder,0.0,0.0,0.0,0.0,0.0,0.0
Sharife Cooper,7,Trae Young,James Harden,John Wall,3.0,10.0,5.0,5.814797167003882,0.5481666170843462,5.48
Marcus Zegarowski,7,Mike Conley,Bogdan Bogdanović,Derrick Rose,1.0,0.0,3.0,1.3089115978615118,0.12339237673390921,1.23
Luka Garza,1,Anthony Davis,Joel Embiid,Christian Wood,9.0,7.0,0.0,5.3886846372385335,0.5079965720715675,5.08
Charles Bassey,1,Rudy Gobert,Myles Turner,Clint Capela,3.0,0.0,0.0,1.0604237969776946,0.09996718866885496,1.0
Sandro Mamukelashvili,7,Paul George,Jaylen Brown,Pascal Siakam,9.0,3.0,2.0,4.724004163459697,0.4453364936047029,4.45
Aaron Wiggins,7,Kyle Anderson,Kelly Olynyk,Al Horford,0.0,0.0,5.0,1.6486463706323957,0.15541950609837019,1.55
Scottie Lewis,8,De'Anthony Melton,Matisse Thybulle,James Johnson,0.0,0.0,0.0,0.0,0.0,0.0
Balša Koprivica,1,Drew Eubanks,LaMarcus Aldridge,Chris Silva,0.0,7.0,0.0,2.2480864097432933,0.21192930496959012,2.12
Jericho Sims,1,Mitchell Robinson,Jakob Poeltl,Nic Claxton,0.0,0.0,0.0,0.0,0.0,0.0
RaiQuan Gray,8,Kyle Anderson,Thaddeus Young,Kelly Olynyk,0.0,0.0,0.0,0.0,0.0,0.0
Joel Ayayi,8,Kelly Olynyk,Nicolas Batum,Kyle Anderson,0.0,0.0,0.0,0.0,0.0,0.0
David Duke,7,LaMelo Ball,Paul George,Lonzo Ball,1.0,9.0,0.0,3.435973509962632,0.32391258392218747,3.24
Aaron Henry,7,Anthony Davis,Bam Adebayo,Thaddeus Young,9.0,3.0,0.0,4.317974388356133,0.4070596695192429,4.07
Jay Huff,1,Daniel Gafford,Chris Boucher,Myles Turner,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Hurt,8,Michael Porter Jr.,John Collins,Tobias Harris,0.0,0.0,0.0,0.0,0.0,0.0
AJ Lawson,5,Terence Davis,Victor Oladipo,Norman Powell,0.0,2.0,0.0,0.6696462592835677,0.06312820792402632,0.63
John Petty,8,De'Anthony Melton,Kyle Anderson,Danny Green,0.0,0.0,0.0,0.0,0.0,0.0
Yves Pons,1,Marc Gasol,Brook Lopez,Chris Boucher,3.0,1.0,0.0,1.345158188116844,0.12680937825441893,1.27
Austin Reaves,7,Paul George,Shai Gilgeous-Alexander,Khris Middleton,9.0,2.0,3.0,4.916996031786242,0.4635300258203519,4.64
DJ Steward,5,Nickeil Alexander-Walker,Evan Fournier,De'Anthony Melton,0.0,0.0,0.0,0.0,0.0,0.0
Trendon Watford,7,Aaron Gordon,Aaron Gordon,Pascal Siakam,0.0,0.0,2.0,0.6578224313250529,0.06201356409607213,0.62
Romeo Weems,2,Al-Farouq Aminu,Kent Bazemore,Andre Iguodala,0.0,0.0,1.0,0.31710977222932135,0.029894248431179812,0.3
McKinley Wright IV,7,Mike Conley,Chris Paul,Derrick Rose,1.0,12.0,3.0,5.13480761477153,0.4840633368160219,4.84
Jalen Green,7,Gordon Hayward,OG Anunoby,Terry Rozier,1.0,0.0,0.0,0.33633982237584176,0.03170708406971196,0.32
Jonathan Kuminga,7,Aaron Gordon,Aaron Gordon,Al Horford,0.0,0.0,5.0,1.619027221345109,0.1526272799210134,1.53
Josh Giddey,7,Ben Simmons,Lonzo Ball,Thaddeus Young,3.0,0.0,0.0,1.0317753252113655,0.09726646921093503,0.97
Alperen Şengün,7,Anthony Davis,Bam Adebayo,Kelly Olynyk,9.0,3.0,0.0,4.458640591031736,0.42032041004796494,4.2
Usman Garuba,8,James Johnson,Andre Iguodala,Paul Millsap,0.0,1.0,4.0,1.6457710350509966,0.1551484454004009,1.55
Rokas Jokubaitis,8,Gorgui Dieng,De'Anthony Melton,Cameron Payne,0.0,0.0,0.0,0.0,0.0,0.0
Juhann Bégarin,7,De'Anthony Melton,Kyle Anderson,Thaddeus Young,0.0,0.0,0.0,0.0,0.0,0.0
Filip Petrušev,7,Tobias Harris,Christian Wood,Al Horford,0.0,0.0,5.0,1.6020234132980842,0.15102431430295526,1.51
Georgios Kalaitzakis,2,Gorgui Dieng,Skylar Mays,Jarrell Brantley,0.0,0.0,0.0,0.0,0.0,0.0
Herbert Jones,7,Ben Simmons,Jusuf Nurkić,Delon Wright,3.0,0.0,0.0,1.0082245263818865,0.09504631236741759,0.95
