Name,Archetype,Comp1,Comp2,Comp3,Comp1_dist,Comp2_dist,Comp3_dist
Cade Cunningham,7,Paul George,LaMelo Ball,Kelly Olynyk,3.574815692385687,3.9787927621080295,4.02086348056997
Evan Mobley,1,Myles Turner,Anthony Davis,Rudy Gobert,5.399146588969363,5.818883959688465,5.8438254287097555
Scottie Barnes,7,Thaddeus Young,Ben Simmons,LaMelo Ball,3.4739956585552294,3.554113257937663,3.574766784679975
Jalen Suggs,7,LaMelo Ball,Ben Simmons,Delon Wright,3.9468714632713615,3.950912867944304,4.178450184869614
Franz Wagner,8,Kyle Anderson,Al Horford,De'Anthony Melton,3.8057488496024297,4.167358877483183,4.443067325953777
Davion Mitchell,7,T.J. McConnell,Jrue Holiday,Delon Wright,3.769307155204871,3.8388952378973418,3.9493209550294135
Ziaire Williams,5,Josh Jackson,Nickeil Alexander-Walker,Talen Horton-Tucker,2.150630952116165,2.816594081735314,2.9348061732313115
James Bouknight,7,Jaylen Brown,Jayson Tatum,Jordan Clarkson,3.445303314816841,3.6267896465140326,3.649864324212353
Joshua Primo,8,Abdel Nader,Jae Crowder,Dylan Windler,2.1475854672659196,2.2462284406217283,2.425603851564961
Chris Duarte,7,OG Anunoby,Jrue Holiday,De'Anthony Melton,4.360553696764176,4.382210123859182,4.427855236932574
Moses Moody,5,De'Andre Hunter,Al Horford,Kyle Anderson,2.7013408249569704,2.764992899270965,2.920895064066404
Corey Kispert,8,Bogdan Bogdanović,Tobias Harris,Mikal Bridges,3.342154391946168,3.641640553991646,3.685366561008396
Trey Murphy III,8,Mikal Bridges,Gorgui Dieng,Jeremy Lamb,2.961215612759199,3.0411150301802117,3.046697288043849
Tre Mann,7,Gordon Hayward,Paul George,LaMelo Ball,2.8932578488234326,3.011780471303084,3.059542389892018
Kai Jones,8,Gorgui Dieng,Daniel Theis,Xavier Tillman Sr.,3.2221197316349506,3.32525472041008,3.4155713223474127
Jalen Johnson,7,Jusuf Nurkić,Anthony Davis,DeMarcus Cousins,3.733238027912559,4.255739505904877,4.276966512698219
Keon Johnson,7,Talen Horton-Tucker,De'Anthony Melton,Nickeil Alexander-Walker,2.644434838734015,3.1543878018806932,3.1679848775164636
Isaiah Jackson,1,Nerlens Noel,Robert Williams,Myles Turner,4.450866362477912,5.246582697208073,5.575931233906337
Josh Christopher,5,OG Anunoby,De'Anthony Melton,Nickeil Alexander-Walker,2.5579015461032046,2.661904353113627,2.7340460450330664
Quentin Grimes,7,OG Anunoby,Kyle Anderson,Bogdan Bogdanović,3.8811555740165757,3.909251708437186,3.9192967613630803
Nah'Shon Hyland,7,Victor Oladipo,Kawhi Leonard,Jaylen Brown,4.146735996046798,4.237259959370185,4.4148013467469704
Cameron Thomas,5,Jordan Clarkson,Malik Beasley,Norman Powell,2.5234797823216946,2.893430965962648,3.1847636375882398
Jaden Springer,7,De'Anthony Melton,Derrick Rose,Talen Horton-Tucker,2.9153561949735263,3.3477400600583844,3.3856823157929097
Day'Ron Sharpe,1,Mason Plumlee,JaVale McGee,Andre Drummond,4.169558634056732,4.26581098532735,4.321651492285257
Santi Aldama,7,Anthony Davis,Joel Embiid,Karl-Anthony Towns,3.1115812813625388,3.4409060683885717,3.5130657858397307
Jeremiah Robinson-Earl,7,Al Horford,Kelly Olynyk,Tobias Harris,2.7124162656501256,2.9098432291407246,3.086032525162892
Jason Preston,7,Ben Simmons,LaMelo Ball,LeBron James,2.6283810469628044,2.820886621782222,3.420727709303059
Miles McBride,7,Mike Conley,Delon Wright,Delon Wright,3.1370210193931864,3.2648208036618915,3.346492546405811
JT Thor,1,Jaren Jackson Jr.,P.J. Washington,JaVale McGee,2.7607379891461257,2.8491269160472052,3.051613046179297
Ayo Dosunmu,7,Paul George,LeBron James,Julius Randle,2.842684617751034,3.2924403005293956,3.326334850589739
Neemias Queta,1,Rudy Gobert,Myles Turner,Nerlens Noel,6.465780342211236,6.79442105678272,6.967279828201453
Jared Butler,7,Mike Conley,Jrue Holiday,LaMelo Ball,4.295920718748208,4.298587206382478,4.385115125573099
Joe Wieskamp,8,De'Andre Hunter,Kelly Olynyk,Al Horford,3.5259528458726686,3.53158625298193,3.540933682374736
Isaiah Livers,8,Al Horford,Alec Burks,Tobias Harris,3.2258082535412025,3.597794228138789,3.6201323055787533
Greg Brown,1,JaVale McGee,DeMarcus Cousins,DeMarcus Cousins,2.875832830102885,2.995065483053376,3.2196952593027146
Kessler Edwards,8,Tobias Harris,P.J. Washington,John Collins,2.821482397654996,2.84539323876136,2.8934007333725122
Dalano Banton,7,Thaddeus Young,Dennis Smith Jr.,Aaron Gordon,3.0604090611791506,3.1948536863883277,3.2101958147365885
David Johnson,7,Aaron Gordon,Aaron Gordon,Dennis Schröder,2.8984714169131442,3.136046674930347,3.1412691858780954
Sharife Cooper,7,Trae Young,James Harden,John Wall,2.7356154733524383,3.2795985191170502,3.2962651629838042
Marcus Zegarowski,7,Mike Conley,Bogdan Bogdanović,Derrick Rose,2.570801318656728,3.029354447362847,3.062247452361794
Luka Garza,1,Anthony Davis,Joel Embiid,Christian Wood,4.4010594920050385,4.488947060661779,4.568588159963802
Charles Bassey,1,Rudy Gobert,Myles Turner,Clint Capela,5.066273407440654,5.4180263721613295,5.667097502562858
Sandro Mamukelashvili,7,Paul George,Jaylen Brown,Pascal Siakam,2.761665061906284,2.8489441616120152,2.8880395604348026
Aaron Wiggins,7,Kyle Anderson,Kelly Olynyk,Al Horford,2.6639386270148537,2.7156640674521286,2.7336493537786084
Scottie Lewis,8,De'Anthony Melton,Matisse Thybulle,James Johnson,3.5546911124787375,3.6746164563110377,3.7507390677581074
Balša Koprivica,1,Drew Eubanks,LaMarcus Aldridge,Chris Silva,3.4102126503248242,4.497086448205738,5.6563715045208305
Jericho Sims,1,Mitchell Robinson,Jakob Poeltl,Nic Claxton,3.607343318835394,3.653498716844628,3.8192914302064467
RaiQuan Gray,8,Kyle Anderson,Thaddeus Young,Kelly Olynyk,3.136763977060655,3.1404043767171212,3.1744939255503217
