NBA_Player,Cluster,DistToCentroid,ArchetypeName
Jae Crowder,2,1.7659731868211281,2
Jalen Crutcher,4,6.09519573029762,4
Cade Cunningham,6,2.8374272351815617,6
Seth Curry,2,1.5192557208004573,2
Seth Curry,2,1.7473752772600304,2
Seth Curry,7,1.7877749043988869,7
Stephen Curry,6,2.45064947406985,6
Dyson Daniels,7,2.569740651262438,7
Anthony Davis,1,4.798756654011355,1
JD Davison,2,3.8160682951445457,2
Johnny Davis,5,1.9055122481512894,5
Dexter Dennis,3,4.61006368802718,3
DeMar DeRozan,6,1.6686102389350765,6
Moussa Diabaté,3,4.009570877599989,3
Mamadi Diakite,3,3.5451838139574923,3
Mamadi Diakite,3,6.2147723655793605,3
Mamadi Diakite,4,8.18334831734402,4
Hamidou Diallo,8,6.916290345280825,8
Gradey Dick,2,1.9929557876629715,2
Ousmane Dieng,2,1.4119074624287191,2
Spencer Dinwiddie,7,2.250655953870494,7
Spencer Dinwiddie,6,2.875612644243907,6
Spencer Dinwiddie,7,2.293583597260145,7
Donte DiVincenzo,7,2.404585449052473,7
Luka Dončić,6,5.894695314495362,6
Luguentz Dort,7,1.5270401153177358,7
Ayo Dosunmu,7,1.5288078769277997,7
Jeff Dowtin,7,3.572702631309477,7
Henri Drell,5,2.91705718771164,5
Andre Drummond,1,4.435975486006642,1
Chris Duarte,2,1.4607076758653712,2
David Duke Jr.,2,3.023956713606721,2
Kris Dunn,7,2.5074530754352335,7
Kevin Durant,6,3.113496326885787,6
Jalen Duren,1,3.920480334546646,1
Tari Eason,1,3.1648486105903,1
Anthony Edwards,6,2.0854412162014557,6
Kessler Edwards,2,2.0809434852475106,2
Keon Ellis,7,2.135817181869646,7
Joel Embiid,6,7.010410352422661,6
Drew Eubanks,3,5.8932893729763345,3
Tosan Evbuomwan,2,1.678718142310874,2
Tosan Evbuomwan,5,2.9437013032083867,5
Tosan Evbuomwan,2,2.3629506727271186,2
Dante Exum,2,2.5097611426740687,2
Bruno Fernando,3,2.322213218828401,3
Dorian Finney-Smith,7,1.5198932177471238,7
Adam Flagler,5,5.707733712387043,5
Malachi Flynn,7,2.0064910928952155,7
Malachi Flynn,7,1.9350941792003045,7
Malachi Flynn,2,2.128216438972305,2
Malachi Flynn,7,2.504280068226409,7
Simone Fontecchio,7,1.4935886332297472,7
Simone Fontecchio,7,1.5295625029892534,7
Simone Fontecchio,7,2.027776831899902,7
Jordan Ford,2,4.3453525242459525,2
Trent Forrest,5,2.3861068459254993,5
Evan Fournier,5,2.3362050874218334,5
Evan Fournier,5,5.773301417305284,5
Evan Fournier,7,2.3425677056100596,7
De'Aaron Fox,6,3.17931022077375,6
Javon Freeman-Liberty,7,2.493937843500164,7
Alex Fudge,5,3.435710077200347,5
Alex Fudge,4,3.3619545803804547,4
Alex Fudge,7,4.753461273711717,7
Markelle Fultz,7,1.862822765206966,7
Andrew Funk,4,6.758886321528793,4
Wenyen Gabriel,5,6.02889530843961,5
Daniel Gafford,1,3.3151920917192093,1
Daniel Gafford,1,3.1246521373727383,1
Daniel Gafford,1,4.141679811564551,1
Danilo Gallinari,2,1.002502642164282,2
Danilo Gallinari,2,1.5406225629364956,2
Danilo Gallinari,2,4.809876781076703,2
Danilo Gallinari,5,2.112674653367531,5
Darius Garland,6,2.538569278552023,6
Usman Garuba,4,8.397953594285582,4
Luka Garza,2,3.71030968717625,2
Kaiser Gates,4,6.302276651497588,4
Keyonte George,6,3.5648355382957346,6
Paul George,6,2.3575683442411584,6
Taj Gibson,5,3.118309121402722,5
Taj Gibson,5,3.888408112329985,5
Taj Gibson,2,2.887976056523395,2
Josh Giddey,6,2.234137900595191,6
Harry Giles,5,3.348650456852469,5
Harry Giles,3,3.2958924961992455,3
Harry Giles,4,4.811382993894734,4
Shai Gilgeous-Alexander,6,4.612463548694393,6
Anthony Gill,2,1.7000761649674165,2
Collin Gillespie,2,2.4701599506467935,2
Jacob Gilyard,7,3.25262410787521,7
Jacob Gilyard,7,3.302055253552759,7
Jacob Gilyard,5,9.161130881557478,5
Rudy Gobert,1,4.259389819804127,1
Jordan Goodwin,7,2.1743198811028615,7
Jordan Goodwin,7,1.9744355298631069,7
Jordan Goodwin,7,4.135485862489665,7
Aaron Gordon,7,2.6447263133290164,7
Eric Gordon,7,1.6220406231445539,7
Devonte' Graham,5,2.1388148610671895,5
Jerami Grant,6,2.539796517796892,6
RaiQuan Gray,7,4.128902296010529,7
A.J. Green,2,1.6080505315119007,2
Danny Green,5,7.14164074048552,5
Draymond Green,6,4.068699178509971,6
Javonte Green,1,2.3710613865310157,1
Jalen Green,6,2.0494098245438224,6
Jeff Green,2,1.3101749664658948,2
Josh Green,7,1.6157748171020283,7
AJ Griffin,5,3.3906155601219243,5
Quentin Grimes,2,1.7656941933442512,2
Quentin Grimes,2,1.6737147981843643,2
Quentin Grimes,5,3.7685603815136353,5
Mouhamadou Gueye,4,8.085858418196091,4
Mouhamed Gueye,7,3.8534492547994588,7
Rui Hachimura,7,2.4410723779287067,7
Ashton Hagans,7,3.383041188100529,7
Tyrese Haliburton,6,4.278813722707393,6
R.J. Hampton,5,3.0192453988627435,5
Tim Hardaway Jr.,2,2.6224948239951953,2
James Harden,6,2.6293145040570347,6
Jaden Hardy,2,2.374423978499732,2
Ron Harper Jr.,2,5.217391847334271,2
Gary Harris,7,1.9970140176037199,7
Joe Harris,5,2.3588480858003136,5
Kevon Harris,3,6.796909350872383,3
Shaquille Harrison,3,7.669781958271892,3
Tobias Harris,7,2.539129020556062,7
Isaiah Hartenstein,1,2.477653336184186,1
Josh Hart,7,2.936638202983355,7
Sam Hauser,2,2.0412175030231,2
Jordan Hawkins,2,1.601349756228284,2
Jaxson Hayes,3,3.0311481124090824,3
Killian Hayes,7,2.8279646139513646,7
Gordon Hayward,7,1.23210591128959,7
Gordon Hayward,6,1.903881330556818,6
Gordon Hayward,2,1.6376304347009043,2
Scoot Henderson,6,3.8890189582631747,6
Taylor Hendricks,7,2.2195842697278247,7
Tyler Herro,6,1.7888367650244907,6
Buddy Hield,7,1.3947004087919523,7
Buddy Hield,7,1.4126147855204925,7
Buddy Hield,7,1.6809963192299047,7
Haywood Highsmith,7,1.9913518695455055,7
Nate Hinton,2,3.0645920071141504,2
D'Moi Hodge,5,2.754419692345207,5
Aaron Holiday,2,1.6415152200513143,2
Jrue Holiday,6,2.5410428910610583,6
Justin Holiday,2,1.7681368837517346,2
Richaun Holmes,3,1.578329881150569,3
Richaun Holmes,3,1.616922871189009,3
Richaun Holmes,3,2.4664840672857298,3
Chet Holmgren,1,3.329415670364075,1
Jalen Hood-Schifino,4,2.4685451238170697,4
Al Horford,1,2.677660249563649,1
Talen Horton-Tucker,7,2.3101767123389148,7
Danuel House Jr.,2,1.3216543376265169,2
Caleb Houstan,2,1.1855772738385517,2
Jett Howard,5,2.6116617118246754,5
Kevin Huerter,7,1.0058509168509673,7
Jay Huff,3,3.8159985629316586,3
De'Andre Hunter,7,2.205759567688303,7
Matthew Hurt,2,2.8623970687198463,2
Bones Hyland,7,2.7773256545957445,7
Joe Ingles,7,2.7720279053664165,7
Brandon Ingram,6,0.9804496468808674,6
Kyrie Irving,6,2.06770456642736,6
Jonathan Isaac,1,3.030246836354083,1
Jaden Ivey,6,2.6604416859905315,6
Andre Jackson Jr.,2,2.302926326888563,2
GG Jackson II,7,2.3475504135970677,7
Isaiah Jackson,3,3.254712099125271,3
Jaren Jackson Jr.,1,4.232006669344588,1
Justin Jackson,2,4.048634784190416,2
Quenton Jackson,5,8.202649158902483,5
Reggie Jackson,7,2.5629653100370553,7
Trayce Jackson-Davis,3,3.523788916479535,3
LeBron James,6,3.5955215543823655,6
Jaime Jaquez Jr.,7,1.298992335860743,7
DeJon Jarreau,5,3.5715094147558,5
DaQuan Jeffries,5,4.961974161214974,5
Trey Jemison,1,3.1708435098364163,1
Trey Jemison,4,18.536597319077863,4
Trey Jemison,1,3.0390695851035248,1
Ty Jerome,5,3.8973152709743175,5
Isaiah Joe,2,1.690919107333742,2
Cameron Johnson,7,1.49707043163097,7
James Johnson,5,5.396369771257949,5
Jalen Johnson,1,2.8192017462691497,1
Keldon Johnson,7,2.135129486573663,7
Keon Johnson,2,2.499126802683942,2
Keyontae Johnson,5,2.658982543358298,5
Nikola Jokić,6,6.5577200847730746,6
Colby Jones,5,1.921482137294016,5
Damian Jones,3,1.9739836394854327,3
Derrick Jones Jr.,7,1.8091102321001444,7
Herbert Jones,7,2.498769928912052,7
Mason Jones,5,2.323020099691007,5
Tre Jones,6,2.9563303548192708,6
Tyus Jones,6,3.3186844114001115,6
DeAndre Jordan,3,1.9989333919151164,3
Cory Joseph,5,1.9670825783969836,5
Nikola Jović,7,1.5053279732689515,7
Johnny Juzang,2,1.713143904142554,2
Luke Kennard,7,2.631471120779221,7
Walker Kessler,1,4.286167671738235,1
Braxton Key,2,3.009996348946663,2
Corey Kispert,7,2.3978638777888657,7
Maxi Kleber,7,2.4538943537178763,7
Kevin Knox,2,1.5285102318807173,2
John Konchar,7,2.820604924322148,7
Furkan Korkmaz,2,1.7619461859070698,2
Luke Kornet,1,6.449963064731245,1
Vit Krejci,2,2.266156239878109,2
Jonathan Kuminga,7,2.217176764986341,7
Kyle Kuzma,6,2.6636893453053667,6
Jock Landale,3,1.6841503072903887,3
Jake LaRavia,7,1.4863162945654866,7
Zach LaVine,6,1.7619508663275125,6
A.J. Lawson,2,1.9687917022908166,2
Saben Lee,5,2.3755719655476533,5
Alex Len,3,3.2249891233332573,3
Kawhi Leonard,6,3.192831594438654,6
Caris LeVert,6,1.9252259450813365,6
Kira Lewis Jr.,5,1.8345687461804083,5
Kira Lewis Jr.,5,2.26234346960306,5
Kira Lewis Jr.,5,6.738739627849099,5
Kira Lewis Jr.,5,2.4904090091109117,5
Maxwell Lewis,4,3.45615895307771,4
E.J. Liddell,5,6.858491935337041,5
Damian Lillard,6,1.9776693468912176,6
Nassir Little,2,1.1408275190647106,2
Dereck Lively II,1,3.769223594410499,1
Isaiah Livers,5,1.5288481457403638,5
Chris Livingston,5,2.895634873765789,5
Kenneth Lofton Jr.,7,2.665530291102331,7
Kenneth Lofton Jr.,5,2.208341061092385,5
Kenneth Lofton Jr.,4,6.4584986398633175,4
Kenneth Lofton Jr.,6,3.30816380558084,6
Kevon Looney,3,2.719996420814685,3
Brook Lopez,1,3.9110124463456026,1
Robin Lopez,5,3.147185068793512,5
Kevin Love,7,3.5625677491420245,7
Kyle Lowry,7,2.029174834445743,7
Kyle Lowry,7,1.9348366690706558,7
Kyle Lowry,7,2.4111941405781625,7
Seth Lundy,5,3.9661101497069446,5
Trey Lyles,2,1.8288655188231409,2
Théo Maledon,5,3.100008082637751,5
Théo Maledon,5,2.984362465515957,5
Théo Maledon,4,4.681449563953151,4
Sandro Mamukelashvili,3,2.1870056509440516,3
Terance Mann,2,1.6061490380975632,2
Tre Mann,7,2.3900174995666066,7
Tre Mann,2,2.8899244698094706,2
Tre Mann,6,3.2022309563993394,6
Boban Marjanović,3,3.596153125044313,3
Lauri Markkanen,6,3.783518479177188,6
Naji Marshall,7,1.0161656753617154,7
Caleb Martin,7,1.0208793610565536,7
Cody Martin,7,2.7536959178301346,7
KJ Martin,2,2.299871354684897,2
KJ Martin,5,3.259562127230767,5
KJ Martin,2,2.2633193932693576,2
Garrison Mathews,2,1.7090761729059432,2
Bennedict Mathurin,7,2.4737758904969525,7
Wesley Matthews,2,1.9536703012597731,2
Tyrese Maxey,6,2.0938933480705995,6
Skylar Mays,5,2.9096096467936206,5
Skylar Mays,7,3.0937023543714384,7
Skylar Mays,2,3.467763851757298,2
Miles McBride,2,1.9165355873465986,2
CJ McCollum,6,1.5705440632118317,6
T.J. McConnell,6,3.2114244339840194,6
Jalen McDaniels,5,1.354046687873839,5
Jaden McDaniels,7,1.6056910389950882,7
Doug McDermott,2,2.076706328728815,2
Doug McDermott,2,2.1561355382251164,2
Doug McDermott,2,2.7664543948896734,2
JaVale McGee,3,2.24110198797212,3
Bryce McGowens,2,1.1261541851918109,2
