Name,classification,Age,OverallScore,Archetype,Comp1,Comp2,Comp3,Comp1_dist,Comp2_dist,Comp3_dist
Reed Sheppard,College,19.99,7.12,6,Alex Caruso,Scotty Pippen Jr.,Jalen Suggs,4.4740342861726345,4.569362758489425,5.2133691554809936
Stephon Castle,College,19.63,4.3,7,Cole Anthony,Max Strus,Markelle Fultz,2.3818981449535093,2.7638615357554044,2.8749619636380452
Donovan Clingan,College,20.32,6.68,1,Daniel Gafford,Walker Kessler,Chet Holmgren,5.1971977986126845,5.259757913980985,5.270712479620104
Rob Dillingham,College,19.46,4.9,6,Collin Sexton,Khris Middleton,Terry Rozier,2.55527486623646,2.7304528746194556,2.7605621304870516
Zach Edey,College,22.1,9.19,1,Anthony Davis,Kristaps Porziņģis,Chet Holmgren,5.305073605486923,5.6827363188769215,5.704135260216916
Cody Williams,College,19.58,3.93,7,Ayo Dosunmu,OG Anunoby,Naz Reid,2.7151245848148133,2.716154806453772,2.7203610605943105
Devin Carter,College,22.26,7.01,6,Alperen Şengün,Scottie Barnes,Kawhi Leonard,3.717454645755882,4.006377811609432,4.071451769555369
Carlton Carrington,College,18.92,3.95,6,Zach LaVine,Tyler Herro,Cole Anthony,2.255469219534596,2.2603818614442828,2.283404090302331
Kel'el Ware,College,20.17,5.84,1,Chet Holmgren,Myles Turner,Evan Mobley,3.0546756184215367,3.3503987961177986,3.3950283096573632
Jared McCain,College,20.33,5.22,7,Donte DiVincenzo,Simone Fontecchio,Cameron Johnson,2.6697213784835574,2.839437014159044,3.065126994830278
Dalton Knecht,College,23.17,5.47,6,CJ McCollum,Jerami Grant,Naz Reid,3.706474588936125,3.866605149791022,3.958157200572909
Tristan da Silva,College,23.1,5.05,6,Donte DiVincenzo,Tobias Harris,Paul George,2.2843343594310195,2.691914601535516,2.7205266701815924
Ja'Kobe Walter,College,19.79,3.82,7,Donte DiVincenzo,Cameron Johnson,Bogdan Bogdanović,2.485023311862294,2.6179663021532087,2.6671338193041376
Jaylon Tyson,College,21.55,5.32,6,Anthony Edwards,Paolo Banchero,Zion Williamson,2.3864454192247644,2.491676778377968,2.6939267870203603
Yves Missi,College,20.1,4.67,1,Jonathan Isaac,Myles Turner,Paul Reed,3.0876007267976724,3.4343753688773124,3.703864012522667
DaRon Holmes II,College,21.85,7.3,1,Kristaps Porziņģis,Chet Holmgren,Anthony Davis,3.914338037148683,3.9543115204443353,4.0815357095176195
Kyshawn George,College,20.52,3.19,7,Kyle Lowry,Nickeil Alexander-Walker,Kyle Lowry,2.230654816560236,2.2894879698548256,2.372293724726376
Dillon Jones,College,22.64,7.02,6,Donovan Mitchell,Alperen Şengün,De'Aaron Fox,3.678386631358916,3.807743135223232,4.023448119984768
Terrence Shannon Jr.,College,23.89,6.02,6,Kawhi Leonard,CJ McCollum,Paul George,3.5156491839899213,3.5892890016644214,3.597385672814436
Ryan Dunn,College,21.45,4.34,1,Walker Kessler,Daniel Gafford,Daniel Gafford,4.3899158822280695,4.860413595345676,4.86512786133285
Isaiah Collier,College,19.7,4.45,6,Scotty Pippen Jr.,Darius Garland,Dejounte Murray,2.479232699684836,2.7996275240993183,3.0376470448035775
Baylor Scheierman,College,23.73,5.98,6,Jayson Tatum,Pascal Siakam,Alperen Şengün,3.3528827768562923,3.46347929483958,3.5150672169023056
Jonathan Mogbo,College,22.64,6.53,1,Amen Thompson,Alperen Şengün,Jusuf Nurkić,4.4171084125570585,4.586457143385031,4.6721015827883665
Kyle Filipowski,College,20.62,6.29,1,Evan Mobley,Scottie Barnes,Bam Adebayo,3.548933607024662,3.831191999025587,3.8731305657974646
Tyler Kolek,College,23.23,6.51,6,LaMelo Ball,LeBron James,Scotty Pippen Jr.,3.6172662874574617,3.652630998361973,3.797048510833634
