Name,classification,Age,OverallScore
Reed Sheppard,College,19.99,7.12
Stephon Castle,College,19.63,4.3
Donovan Clingan,College,20.32,6.68
Rob Dillingham,College,19.46,4.9
Zach Edey,College,22.1,9.19
Cody Williams,College,19.58,3.93
Devin Carter,College,22.26,7.01
Carlton Carrington,College,18.92,3.95
Kel'el Ware,College,20.17,5.84
Jared McCain,College,20.33,5.22
Dalton Knecht,College,23.17,5.47
Tristan da Silva,College,23.1,5.05
Ja'Kobe Walter,College,19.79,3.82
Jaylon Tyson,College,21.55,5.32
Yves Missi,College,20.1,4.67
DaRon Holmes II,College,21.85,7.3
Kyshawn George,College,20.52,3.19
Dillon Jones,College,22.64,7.02
Terrence Shannon Jr.,College,23.89,6.02
Ryan Dunn,College,21.45,4.34
Isaiah Collier,College,19.7,4.45
Baylor Scheierman,College,23.73,5.98
Jonathan Mogbo,College,22.64,6.53
Kyle Filipowski,College,20.62,6.29
Tyler Kolek,College,23.23,6.51
Johnny Furphy,College,19.53,3.9
Ajay Mitchell,College,21.99,5.58
Jaylen Wells,College,20.82,4.08
Oso Ighodaro,College,21.97,4.67
Adem Bona,College,21.23,4.74
KJ Simpson,College,21.87,6.73
Pelle Larsson,College,23.32,4.86
Jamal Shead,College,21.99,6.09
Cam Christie,College,18.91,3.1
Antonio Reeves,College,23.58,4.88
Harrison Ingram,College,21.56,4.58
Tristen Newton,College,23.15,5.92
Enrique Freeman,College,23.89,7.04
Quinten Post,College,24.25,6.27
Cam Spencer,College,24.21,6.33
Anton Watson,College,23.7,5.83
Bronny James,College,19.7,1.41
Kevin McCullar,College,23.27,5.22
Trey Alexander,College,21.13,5.14
Reece Beekman,College,22.7,5.62
Jalen Bridges,College,23.1,4.85
Isaiah Crawford,College,22.63,6.28
N'Faly Dante,College,22.67,7.17
Justin Edwards,College,20.51,2.95
Boogie Ellis,College,23.52,3.82
Allen Flanigan,College,23.16,4.06
PJ Hall,College,22.33,5.3
Keshad Johnson,College,22.99,4.85
Isaac Jones,College,23.94,4.67
Judah Mintz,College,20.95,4.72
Zyon Pullin,College,23.3,4.64
Ron Holland,G League,18.95,5.45
Matas Buzelis,G League,19.68,4.34
Tyler Smith,G League,19.63,4.28
Zaccharie Risacher,International,19.2,4.36
Alexandre Sarr,International,19.15,4.29
Tidjane Salaun,International,18.86,3.84
Nikola Topić,International,18.86,5.58
AJ Johnson,International,19.55,1.65
Pacome Dadiet,International,18.9,3.79
Juan Núñez,International,20.04,4.57
Bobi Klintman,International,21.29,4.25
Nikola Djurisic,International,20.32,4.89
Melvin Ajinca,International,19.98,3.6
Ulrich Chomche,International,18.47,6.78
Ariel Hukporti,International,22.19,4.44
Trentyn Flowers,International,19.28,3.05
Ousmane N'Diaye,International,20.25,3.25
Mantas Rubstavicius,International,22.12,4.37
