Name,Age,classification,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,True Shooting %TS%,EFG%,3PAR,FTAR,NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG,Unnamed: 19,WS/48
KJ Simpson,21.87,College,,G,37.0,37.0,35.1,6.6,13.8,0.475,2.1,4.9,0.434,4.4,8.9,0.497,0.552,4.4,5.0,0.876,0.8,5.1,5.8,4.9,1.6,0.1,2.2,2.5,19.7,24.8,0.606,0.355,0.363,722.0,2.8,16.2,10.0,27.1,2.7,0.2,11.9,26.7,5.1,2.0,7.2,0.221,6.9,3.2,10.1,0.606,0.552,0.355,0.363,0.382,1.01,2.23,0.157,0.062,125.5,102.5,,
Pelle Larsson,23.32,College,,G,36.0,36.0,30.1,4.5,8.7,0.519,1.3,3.0,0.426,3.3,5.7,0.568,0.592,2.4,3.2,0.75,1.1,3.0,4.1,3.7,0.9,0.2,1.9,2.6,12.8,17.8,0.622,0.344,0.369,460.0,3.9,10.5,7.3,20.1,1.7,0.8,15.6,18.8,2.9,1.8,4.8,0.176,4.1,3.3,7.4,0.622,0.592,0.344,0.369,0.354,1.07,1.97,0.107,0.066,123.7,101.4,,
Jamal Shead,21.99,College,,G,37.0,37.0,31.1,4.8,11.7,0.409,1.2,3.8,0.309,3.6,7.9,0.456,0.458,2.2,2.8,0.779,0.9,2.8,3.7,6.3,2.2,0.5,2.0,2.0,12.9,22.6,0.495,0.321,0.24,550.0,3.3,10.5,6.8,40.3,4.3,2.0,13.5,25.1,3.1,3.2,6.3,0.22,6.3,6.4,12.7,0.495,0.458,0.321,0.24,0.351,1.61,3.11,0.108,0.111,114.8,89.2,,
Cam Christie,18.91,College,,G,33.0,26.0,30.1,3.8,9.4,0.403,2.1,5.4,0.391,1.7,4.0,0.42,0.516,1.6,2.0,0.791,0.2,3.4,3.6,2.2,0.6,0.3,1.2,1.6,11.3,13.7,0.546,0.577,0.216,339.0,1.0,12.9,7.1,13.8,1.2,1.1,10.0,19.7,1.6,0.9,2.5,0.1,2.1,0.6,2.7,0.546,0.516,0.577,0.216,0.375,0.7,1.95,0.064,0.036,112.0,109.8,,
Antonio Reeves,23.58,College,,G,33.0,33.0,31.4,7.1,13.9,0.512,2.5,5.7,0.447,4.6,8.2,0.557,0.603,3.4,4.0,0.863,0.7,3.4,4.2,1.6,0.7,0.2,1.2,1.8,20.2,23.6,0.64,0.41,0.285,570.0,2.7,11.1,7.2,9.2,1.1,0.8,7.1,25.9,4.1,0.6,4.7,0.182,7.3,-0.3,7.0,0.64,0.603,0.41,0.285,0.392,0.36,1.35,0.158,0.023,129.2,112.9,,
Harrison Ingram,21.56,College,,F,37.0,36.0,32.8,4.4,10.2,0.43,1.8,4.6,0.385,2.6,5.7,0.467,0.516,1.6,2.6,0.612,2.6,6.2,8.8,2.2,1.4,0.4,1.4,1.9,12.2,18.3,0.53,0.446,0.259,466.0,8.7,20.1,14.5,11.6,2.4,1.3,10.7,18.8,2.5,2.4,4.9,0.162,4.7,3.9,8.5,0.53,0.516,0.446,0.259,0.34,0.62,1.57,0.082,0.079,116.1,97.6,,
Tristen Newton,23.15,College,,G,40.0,40.0,33.2,4.6,11.0,0.415,1.8,5.5,0.321,2.8,5.5,0.509,0.495,4.2,5.2,0.808,1.4,5.2,6.6,6.2,0.9,0.3,2.5,1.8,15.1,22.4,0.561,0.503,0.474,686.0,5.4,16.8,11.5,31.2,1.7,0.9,15.4,24.7,4.8,2.6,7.4,0.224,7.0,3.3,10.4,0.561,0.495,0.503,0.474,0.365,1.26,2.53,0.145,0.078,123.0,98.1,,
Enrique Freeman,23.89,College,,F,35.0,35.0,32.5,6.7,11.4,0.584,0.6,1.5,0.37,6.1,9.9,0.617,0.609,4.7,6.5,0.728,3.6,9.4,12.9,1.6,0.8,1.7,2.5,2.8,18.6,31.1,0.643,0.135,0.571,633.0,13.0,33.1,23.2,11.2,1.5,6.0,14.8,27.1,4.5,3.0,7.5,0.263,5.9,2.4,8.3,0.643,0.609,0.135,0.571,0.334,0.41,0.65,0.158,0.105,124.1,91.1,,
Quinten Post,24.25,College,,F,35.0,35.0,31.9,6.3,12.3,0.514,1.4,3.3,0.431,4.9,9.0,0.544,0.572,2.9,3.5,0.821,2.0,6.1,8.1,2.9,0.9,1.7,2.5,2.9,17.0,25.6,0.607,0.269,0.285,583.0,7.4,21.9,14.7,18.8,1.6,6.0,14.9,26.9,3.3,1.8,5.1,0.184,6.5,3.1,9.6,0.607,0.572,0.269,0.285,0.365,0.7,1.16,0.118,0.065,116.9,102.1,,
Cam Spencer,24.21,College,,G,40.0,40.0,33.0,4.9,10.1,0.484,2.5,5.6,0.44,2.4,4.5,0.539,0.606,2.1,2.3,0.911,1.1,3.8,4.9,3.6,1.5,0.3,1.0,2.2,14.3,22.8,0.64,0.556,0.222,550.0,4.0,12.5,8.5,18.7,2.7,0.8,8.2,19.0,5.2,2.6,7.9,0.239,7.2,4.5,11.8,0.64,0.606,0.556,0.222,0.395,0.98,3.62,0.158,0.079,139.4,97.8,,
Anton Watson,23.7,College,,F,35.0,35.0,31.3,5.8,10.0,0.578,0.6,1.5,0.412,5.2,8.6,0.607,0.608,2.3,3.5,0.653,2.2,4.9,7.1,2.6,1.5,0.7,1.4,2.3,14.5,24.6,0.62,0.145,0.353,508.0,8.8,16.4,13.0,13.4,2.8,2.1,10.5,20.8,3.9,2.2,6.1,0.223,6.1,3.7,9.8,0.62,0.608,0.145,0.353,0.327,0.64,1.88,0.143,0.08,129.5,97.7,,
Bronny James,19.7,College,,G,25.0,6.0,19.3,1.6,4.5,0.366,0.6,2.4,0.267,1.0,2.1,0.481,0.438,0.9,1.4,0.676,0.3,2.6,2.8,2.1,0.8,0.2,1.1,1.7,4.8,10.3,0.472,0.536,0.304,134.0,1.7,15.2,8.5,19.4,2.3,1.1,17.4,16.2,0.2,0.6,0.8,0.063,-1.4,2.1,0.7,0.472,0.438,0.536,0.304,0.333,1.2,1.96,0.017,0.05,98.1,106.8,,
Kevin McCullar,23.27,College,,G,26.0,26.0,34.2,6.1,13.5,0.454,1.5,4.5,0.333,4.6,9.0,0.515,0.51,4.6,5.7,0.805,0.8,5.2,6.0,4.1,1.5,0.4,2.5,1.9,18.3,21.1,0.567,0.334,0.426,459.0,2.8,16.2,10.1,22.9,2.5,1.3,13.6,28.0,2.0,1.6,3.6,0.161,4.5,2.8,7.4,0.567,0.51,0.334,0.426,0.359,0.82,1.62,0.09,0.072,110.4,100.0,,
Trey Alexander,21.13,College,,G,35.0,35.0,37.3,6.6,14.9,0.446,1.8,5.2,0.339,4.9,9.6,0.504,0.506,2.5,3.1,0.824,0.5,5.2,5.7,4.7,1.1,0.4,2.5,1.7,17.6,18.7,0.538,0.352,0.208,631.0,1.8,14.5,8.8,23.9,1.7,1.0,13.1,26.6,2.8,2.1,4.9,0.149,3.2,2.6,5.7,0.538,0.506,0.352,0.208,0.364,0.9,1.92,0.086,0.064,110.1,102.0,,
Reece Beekman,22.7,College,,G,34.0,34.0,32.8,5.3,11.9,0.443,0.9,2.9,0.31,4.4,9.0,0.487,0.482,2.8,3.7,0.754,0.4,3.3,3.6,6.2,2.0,0.5,2.1,1.3,14.3,23.4,0.522,0.246,0.31,525.0,1.3,12.3,6.7,44.7,4.0,1.9,13.1,27.7,2.5,2.5,4.9,0.177,5.0,5.4,10.5,0.522,0.482,0.246,0.31,0.341,1.61,3.03,0.09,0.09,109.5,95.6,,
Jalen Bridges,23.1,College,,F,35.0,35.0,31.7,4.1,8.8,0.466,2.1,5.1,0.412,2.0,3.8,0.538,0.584,1.9,2.3,0.823,1.9,3.7,5.7,1.4,1.1,0.6,1.0,1.5,12.2,19.6,0.615,0.573,0.256,406.0,7.7,14.8,11.3,8.2,2.0,2.0,8.9,17.5,3.4,1.4,4.8,0.172,7.5,2.3,9.9,0.615,0.584,0.573,0.256,0.377,0.47,1.47,0.122,0.05,132.5,106.1,,
Isaiah Crawford,22.63,College,,F,32.0,32.0,32.9,5.7,11.7,0.485,1.3,3.1,0.414,4.4,8.6,0.511,0.54,3.7,5.1,0.728,1.9,4.3,6.2,2.4,2.1,1.7,2.5,2.3,16.3,24.3,0.579,0.264,0.432,505.0,6.7,14.0,10.6,15.5,3.8,5.8,15.2,25.6,2.7,2.8,5.5,0.207,4.2,4.1,8.3,0.579,0.54,0.264,0.432,0.349,0.61,0.94,0.103,0.106,114.6,91.0,,
N'Faly Dante,22.67,College,,C,22.0,21.0,31.5,7.0,10.0,0.695,0.0,0.0,,7.0,10.0,0.695,0.695,3.1,5.0,0.613,2.8,6.4,9.2,1.6,1.7,1.9,2.4,2.1,17.0,30.6,0.686,0.0,0.505,343.0,10.3,24.5,17.3,11.1,3.2,6.6,16.0,24.0,2.4,1.4,3.8,0.217,7.9,4.9,12.7,0.686,0.695,0.0,0.505,0.305,0.46,0.67,0.139,0.081,123.8,97.9,,
Justin Edwards,20.51,College,,G,32.0,30.0,21.4,3.3,6.8,0.486,1.0,2.7,0.365,2.3,4.2,0.564,0.557,1.2,1.5,0.776,1.2,2.2,3.4,0.9,0.9,0.2,0.8,2.2,8.8,16.2,0.582,0.39,0.225,266.0,6.4,10.4,8.6,6.9,2.2,1.1,10.1,18.7,1.5,0.6,2.1,0.121,2.0,0.5,2.5,0.582,0.557,0.39,0.225,0.357,0.37,1.11,0.088,0.035,119.2,110.4,,
Boogie Ellis,23.52,College,,G,29.0,29.0,33.5,5.6,13.1,0.427,3.0,7.2,0.418,2.6,5.9,0.439,0.542,2.3,3.2,0.72,0.3,3.2,3.5,3.0,1.4,0.1,1.8,1.9,16.5,17.8,0.565,0.549,0.245,430.0,1.0,11.0,6.0,18.3,2.5,0.5,10.9,24.7,2.0,1.0,3.0,0.122,3.9,1.0,4.9,0.565,0.542,0.549,0.245,0.377,0.74,1.65,0.082,0.041,111.9,108.6,,
