Name,Archetype,Comp1,Comp2,Comp3,Comp1_AllStars,Comp2_AllStars,Comp3_AllStars,UpsideRaw,Upside01,UpsideScore
Reed Sheppard,6,Alex Caruso,Scotty Pippen Jr.,Jalen Suggs,0.0,0.0,0.0,0.0,0.0,0.0
Stephon Castle,7,Cole Anthony,Max Strus,Markelle Fultz,0.0,0.0,0.0,0.0,0.0,0.0
Donovan Clingan,1,Daniel Gafford,Walker Kessler,Chet Holmgren,0.0,0.0,0.0,0.0,0.0,0.0
Rob Dillingham,6,Collin Sexton,Khris Middleton,Terry Rozier,0.0,3.0,0.0,0.9811461343296377,0.13877889869951215,1.39
Zach Edey,1,Anthony Davis,Kristaps Porziņģis,Chet Holmgren,9.0,1.0,0.0,3.468921753232781,0.4906640547662646,4.91
Cody Williams,7,Ayo Dosunmu,OG Anunoby,Naz Reid,0.0,0.0,0.0,0.0,0.0,0.0
Devin Carter,6,Alperen Şengün,Scottie Barnes,Kawhi Leonard,0.0,1.0,6.0,2.2549619844976942,0.31895466930792277,3.19
Carlton Carrington,6,Zach LaVine,Tyler Herro,Cole Anthony,2.0,0.0,0.0,0.6698837235574756,0.09475217009905786,0.95
Kel'el Ware,1,Chet Holmgren,Myles Turner,Evan Mobley,0.0,0.0,0.0,0.0,0.0,0.0
Jared McCain,7,Donte DiVincenzo,Simone Fontecchio,Cameron Johnson,0.0,0.0,0.0,0.0,0.0,0.0
Dalton Knecht,6,CJ McCollum,Jerami Grant,Naz Reid,0.0,0.0,0.0,0.0,0.0,0.0
Tristan da Silva,6,Donte DiVincenzo,Tobias Harris,Paul George,0.0,0.0,9.0,2.8111135766862905,0.39761991882923675,3.98
Ja'Kobe Walter,7,Donte DiVincenzo,Cameron Johnson,Bogdan Bogdanović,0.0,0.0,0.0,0.0,0.0,0.0
Jaylon Tyson,6,Anthony Edwards,Paolo Banchero,Zion Williamson,2.0,1.0,2.0,1.6631884322601946,0.23525084682369082,2.35
Yves Missi,1,Jonathan Isaac,Myles Turner,Paul Reed,0.0,0.0,0.0,0.0,0.0,0.0
DaRon Holmes II,1,Kristaps Porziņģis,Chet Holmgren,Anthony Davis,1.0,0.0,9.0,3.2660425984873513,0.46196767134332467,4.62
Kyshawn George,7,Kyle Lowry,Nickeil Alexander-Walker,Kyle Lowry,6.0,0.0,6.0,3.9942967715309736,0.5649760903464437,5.65
Dillon Jones,6,Donovan Mitchell,Alperen Şengün,De'Aaron Fox,5.0,0.0,1.0,2.0533653985976428,0.29043969972909844,2.9
Terrence Shannon Jr.,6,Kawhi Leonard,CJ McCollum,Paul George,6.0,0.0,9.0,5.003956493795742,0.7077881133616448,7.08
Ryan Dunn,1,Walker Kessler,Daniel Gafford,Daniel Gafford,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Collier,6,Scotty Pippen Jr.,Darius Garland,Dejounte Murray,0.0,1.0,1.0,0.6298663698581974,0.0890918876182538,0.89
Baylor Scheierman,6,Jayson Tatum,Pascal Siakam,Alperen Şengün,5.0,2.0,0.0,2.373821506376256,0.33576683720942263,3.36
Jonathan Mogbo,1,Amen Thompson,Alperen Şengün,Jusuf Nurkić,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Filipowski,1,Evan Mobley,Scottie Barnes,Bam Adebayo,0.0,1.0,3.0,1.2928957045564615,0.18287453390851685,1.83
Tyler Kolek,6,LaMelo Ball,LeBron James,Scotty Pippen Jr.,1.0,20.0,0.0,7.069850989767847,1.0,10.0
Johnny Furphy,7,Royce O'Neale,Moses Moody,Nikola Jović,0.0,0.0,0.0,0.0,0.0,0.0
Ajay Mitchell,6,Desmond Bane,Anthony Edwards,Dejounte Murray,0.0,2.0,1.0,0.9500603208914724,0.134381944155045,1.34
Jaylen Wells,7,Simone Fontecchio,Cameron Johnson,Trey Murphy III,0.0,0.0,0.0,0.0,0.0,0.0
Oso Ighodaro,1,Amen Thompson,Jarrett Allen,Evan Mobley,0.0,1.0,0.0,0.3261541851937564,0.04613310601111641,0.46
Adem Bona,1,Goga Bitadze,Chet Holmgren,Nic Claxton,0.0,0.0,0.0,0.0,0.0,0.0
KJ Simpson,6,Donovan Mitchell,Jimmy Butler,Kyrie Irving,5.0,6.0,8.0,6.299227216543624,0.8909985833733212,8.91
Pelle Larsson,6,Donte DiVincenzo,Jrue Holiday,Kelly Olynyk,0.0,2.0,0.0,0.6674512296157574,0.09440810429834456,0.94
Jamal Shead,6,Scotty Pippen Jr.,Donovan Mitchell,Fred VanVleet,0.0,5.0,1.0,1.9861104792575457,0.2809267807952433,2.81
Cam Christie,7,Buddy Hield,Cameron Johnson,Buddy Hield,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Reeves,7,Simone Fontecchio,Immanuel Quickley,Klay Thompson,0.0,0.0,5.0,1.5976591496348873,0.22598201177749996,2.26
Harrison Ingram,7,Jalen Johnson,Tari Eason,Royce O'Neale,0.0,0.0,0.0,0.0,0.0,0.0
Tristen Newton,6,Khris Middleton,Josh Giddey,Russell Westbrook,3.0,0.0,9.0,3.9455565343810304,0.5580819935372627,5.58
Enrique Freeman,1,Anthony Davis,Evan Mobley,Chet Holmgren,9.0,0.0,0.0,3.209734682239875,0.4540031588905204,4.54
Quinten Post,1,Kristaps Porziņģis,Evan Mobley,Scottie Barnes,1.0,0.0,1.0,0.6655333423636243,0.0941368273994525,0.94
Cam Spencer,6,Donte DiVincenzo,Jimmy Butler,Mike Conley,0.0,6.0,1.0,2.2591091891116113,0.3195412735545921,3.2
Anton Watson,1,Jalen Johnson,Donte DiVincenzo,Tari Eason,0.0,0.0,0.0,0.0,0.0,0.0
Bronny James,7,Markelle Fultz,Jordan Goodwin,Malachi Flynn,0.0,0.0,0.0,0.0,0.0,0.0
Kevin McCullar,6,Anthony Edwards,Paul George,Dejounte Murray,2.0,9.0,1.0,4.029046711583044,0.5698913198332269,5.7
Trey Alexander,6,Franz Wagner,Khris Middleton,Desmond Bane,0.0,3.0,0.0,1.002853643204203,0.1418493324195414,1.42
Reece Beekman,6,Scotty Pippen Jr.,Donovan Mitchell,De'Aaron Fox,0.0,5.0,1.0,1.9829220512371624,0.28047579137198697,2.8
Jalen Bridges,7,Trey Murphy III,Donte DiVincenzo,Simone Fontecchio,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Crawford,1,Alex Caruso,Jaren Jackson Jr.,OG Anunoby,0.0,1.0,0.0,0.33750369740205516,0.04773844567453009,0.48
N'Faly Dante,1,Evan Mobley,Anthony Davis,Daniel Gafford,0.0,9.0,0.0,2.989774678882066,0.42289076293250716,4.23
Justin Edwards,7,Moses Moody,Simone Fontecchio,Simone Fontecchio,0.0,0.0,0.0,0.0,0.0,0.0
Boogie Ellis,6,Donte DiVincenzo,Devin Vassell,Bogdan Bogdanović,0.0,0.0,0.0,0.0,0.0,0.0
Allen Flanigan,6,Dalano Banton,Russell Westbrook,Franz Wagner,0.0,9.0,0.0,2.927524192449922,0.4140856994987462,4.14
PJ Hall,1,Jaren Jackson Jr.,Kristaps Porziņģis,Naz Reid,1.0,1.0,0.0,0.6914818506568612,0.09780713223767215,0.98
Keshad Johnson,1,Naz Reid,Jalen Johnson,Donte DiVincenzo,0.0,0.0,0.0,0.0,0.0,0.0
Isaac Jones,1,Jarrett Allen,Deandre Ayton,Jonas Valančiūnas,1.0,0.0,0.0,0.35436796025780964,0.0501238230863259,0.5
Judah Mintz,6,Marcus Smart,De'Aaron Fox,Scotty Pippen Jr.,0.0,1.0,0.0,0.34776089088958906,0.049189281555283314,0.49
Zyon Pullin,6,Malcolm Brogdon,Immanuel Quickley,Terry Rozier,0.0,0.0,0.0,0.0,0.0,0.0
Ron Holland,6,De'Aaron Fox,Donovan Mitchell,Paul George,1.0,5.0,9.0,4.843940264317919,0.6851545062729787,6.85
Matas Buzelis,1,Chet Holmgren,Myles Turner,Kristaps Porziņģis,0.0,0.0,1.0,0.3256771074131674,0.04606562541198081,0.46
Tyler Smith,1,Naz Reid,Santi Aldama,Paul Reed,0.0,0.0,0.0,0.0,0.0,0.0
Zaccharie Risacher,7,Donte DiVincenzo,Naz Reid,Cole Anthony,0.0,0.0,0.0,0.0,0.0,0.0
Alexandre Sarr,1,Naz Reid,Santi Aldama,Aleksej Pokusevski,0.0,0.0,0.0,0.0,0.0,0.0
Tidjane Salaun,7,Donte DiVincenzo,Cole Anthony,Royce O'Neale,0.0,0.0,0.0,0.0,0.0,0.0
