Name,classification,Age,pg::PTS,pg::AST,pg::TRB,pg::STL,pg::BLK,pg::TOV,pg::FG%,pg::3P%,pg::FT%,adv::PER,adv::TS%,adv::OBPM,adv::DBPM,adv::BPM,adv::OWS,adv::DWS,adv::WS/40,OverallScore,Upside01,UpsideScore,Comp1,Comp2,Comp3,pg01,adv01,age01,UpdatedOverall01,UpdatedOverall
Reed Sheppard,College,19.99,0.4304932735426009,0.5733333333333334,0.24786324786324784,1.0,0.25925925925925924,0.3023255813953489,0.5323529411764708,1.0,0.7889182058047491,0.5127250155183117,1.0,0.5379310344827587,0.7910447761194029,0.6645962732919255,0.449438202247191,0.37931034482758613,0.45787545787545786,7.12,0.0,0.0,Alex Caruso,Scotty Pippen Jr.,Jalen Suggs,0.8878498236476565,0.6122269578334318,0.7370242214532874,0.6239474781765154,6.24
Stephon Castle,College,19.63,0.36771300448430494,0.36,0.2991452991452992,0.2608695652173913,0.18518518518518517,0.18604651162790697,0.34411764705882353,0.5124760076775432,0.5883905013192611,0.3699565487274985,0.4733096085409255,0.3310344827586207,0.5074626865671641,0.36024844720496896,0.3932584269662921,0.48275862068965514,0.4505494505494505,4.3,0.0,0.0,Cole Anthony,Max Strus,Markelle Fultz,0.4842299010790176,0.38150758312366045,0.7993079584775087,0.39126055311579666,3.91
Donovan Clingan,College,20.32,0.45291479820627806,0.1733333333333333,0.5299145299145299,0.13043478260869565,0.9259259259259259,0.023255813953488386,0.8352941176470591,0.47984644913627644,0.13456464379947214,0.8603351955307263,0.7793594306049823,0.703448275862069,0.9701492537313433,0.8881987577639752,0.5393258426966292,0.6551724137931035,0.8754578754578753,6.68,0.0,0.0,Daniel Gafford,Walker Kessler,Chet Holmgren,0.583096978697107,0.8268495158384437,0.6799307958477507,0.5853908351048107,5.85
Rob Dillingham,College,19.46,0.5515695067264574,0.4933333333333333,0.1452991452991453,0.34782608695652173,0.03703703703703705,0.3023255813953489,0.3529411764705883,0.8522072936660269,0.6965699208443272,0.5096213531967723,0.6298932384341637,0.4827586206896552,0.1492537313432835,0.3416149068322981,0.40449438202247195,0.13793103448275854,0.4065934065934066,4.9,0.1387788986995121,1.39,Collin Sexton,Khris Middleton,Terry Rozier,0.6318208643752905,0.36460839911999315,0.8287197231833907,0.46585076719259927,4.66
Zach Edey,College,22.1,1.0,0.23999999999999994,0.9401709401709403,0.04347826086956524,0.8148148148148148,0.37209302325581395,0.7882352941176473,0.9596928982725529,0.47229551451187324,1.0,0.8576512455516017,1.0,0.5970149253731343,1.0,1.0,0.793103448275862,1.0,9.19,0.4906640547662646,4.91,Anthony Davis,Kristaps Porziņģis,Chet Holmgren,1.0,1.0,0.37197231833910005,0.862775035655969,8.63
Cody Williams,College,19.58,0.4035874439461884,0.18666666666666665,0.15384615384615385,0.17391304347826086,0.25925925925925924,0.3023255813953489,0.5794117647058826,0.7965451055662188,0.48021108179419514,0.26753569211669775,0.7188612099644129,0.2620689655172414,0.2686567164179104,0.19875776397515532,0.24719101123595502,0.17241379310344826,0.20146520146520142,3.93,0.0,0.0,Ayo Dosunmu,OG Anunoby,Naz Reid,0.5429362121653407,0.24117787177923225,0.8079584775086507,0.3613726546049358,3.61
Devin Carter,College,22.26,0.7533632286995516,0.4533333333333333,0.6410256410256411,0.6956521739130436,0.37037037037037035,0.4651162790697675,0.3470588235294118,0.7236084452975048,0.5725593667546173,0.5747982619491001,0.6370106761565837,0.6,0.7910447761194029,0.7204968944099379,0.4831460674157303,0.8275862068965517,0.5238095238095237,7.01,0.3189546693079227,3.19,Alperen Şengün,Scottie Barnes,Kawhi Leonard,0.8726992949227664,0.645726051867372,0.344290657439446,0.6512595047175762,6.51
Carlton Carrington,College,18.92,0.4887892376681615,0.5199999999999999,0.34188034188034194,0.17391304347826086,0.0740740740740741,0.27906976744186046,0.16764705882352943,0.618042226487524,0.6675461741424802,0.2861576660459343,0.3985765124555162,0.27586206896551724,0.23880597014925367,0.19875776397515532,0.3595505617977528,0.37931034482758613,0.25641025641025644,3.95,0.0947521700990578,0.95,Zach LaVine,Tyler Herro,Cole Anthony,0.5369122347962837,0.2392170367993591,0.9221453287197228,0.3836859492581859,3.84
Kel'el Ware,College,20.17,0.5829596412556054,0.1733333333333333,0.7435897435897437,0.17391304347826086,0.7037037037037036,0.20930232558139542,0.6794117647058824,0.8157389635316699,0.26912928759894456,0.5561762880198635,0.7224199288256228,0.4965517241379311,0.4477611940298507,0.48447204968944096,0.41573033707865176,0.4137931034482758,0.4102564102564102,5.84,0.0,0.0,Chet Holmgren,Myles Turner,Evan Mobley,0.735286625398773,0.4838202852834158,0.705882352941176,0.5159886209175855,5.16
Jared McCain,College,20.33,0.5112107623318387,0.22666666666666666,0.3247863247863248,0.39130434782608703,0.03703703703703705,0.13953488372093023,0.31470588235294134,0.7946257197696737,0.9313984168865436,0.3823711980136561,0.6868327402135231,0.5103448275862069,0.43283582089552236,0.48447204968944096,0.4831460674157303,0.5517241379310344,0.43589743589743585,5.22,0.0,0.0,Donte DiVincenzo,Simone Fontecchio,Cameron Johnson,0.6029632921439992,0.4822030312963872,0.6782006920415227,0.4634540956269385,4.63
