Name,Archetype,Comp1,Comp2,Comp3,Comp1_dist,Comp2_dist,Comp3_dist
Reed Sheppard,6,Alex Caruso,Scotty Pippen Jr.,Jalen Suggs,4.4740342861726345,4.569362758489425,5.2133691554809936
Stephon Castle,7,Cole Anthony,Max Strus,Markelle Fultz,2.3818981449535093,2.7638615357554044,2.8749619636380452
Donovan Clingan,1,Daniel Gafford,Walker Kessler,Chet Holmgren,5.1971977986126845,5.259757913980985,5.270712479620104
Rob Dillingham,6,Collin Sexton,Khris Middleton,Terry Rozier,2.55527486623646,2.7304528746194556,2.7605621304870516
Zach Edey,1,Anthony Davis,Kristaps Porziņģis,Chet Holmgren,5.305073605486923,5.6827363188769215,5.704135260216916
Cody Williams,7,Ayo Dosunmu,OG Anunoby,Naz Reid,2.7151245848148133,2.716154806453772,2.7203610605943105
Devin Carter,6,Alperen Şengün,Scottie Barnes,Kawhi Leonard,3.717454645755882,4.006377811609432,4.071451769555369
Carlton Carrington,6,Zach LaVine,Tyler Herro,Cole Anthony,2.255469219534596,2.2603818614442828,2.283404090302331
Kel'el Ware,1,Chet Holmgren,Myles Turner,Evan Mobley,3.0546756184215367,3.3503987961177986,3.3950283096573632
Jared McCain,7,Donte DiVincenzo,Simone Fontecchio,Cameron Johnson,2.6697213784835574,2.839437014159044,3.065126994830278
Dalton Knecht,6,CJ McCollum,Jerami Grant,Naz Reid,3.706474588936125,3.866605149791022,3.958157200572909
Tristan da Silva,6,Donte DiVincenzo,Tobias Harris,Paul George,2.2843343594310195,2.691914601535516,2.7205266701815924
Ja'Kobe Walter,7,Donte DiVincenzo,Cameron Johnson,Bogdan Bogdanović,2.485023311862294,2.6179663021532087,2.6671338193041376
Jaylon Tyson,6,Anthony Edwards,Paolo Banchero,Zion Williamson,2.3864454192247644,2.491676778377968,2.6939267870203603
Yves Missi,1,Jonathan Isaac,Myles Turner,Paul Reed,3.0876007267976724,3.4343753688773124,3.7038640125226676
DaRon Holmes II,1,Kristaps Porziņģis,Chet Holmgren,Anthony Davis,3.9143380371486836,3.9543115204443353,4.0815357095176195
Kyshawn George,7,Kyle Lowry,Nickeil Alexander-Walker,Kyle Lowry,2.2306548165602362,2.2894879698548256,2.3722937247263762
Dillon Jones,6,Donovan Mitchell,Alperen Şengün,De'Aaron Fox,3.678386631358916,3.807743135223232,4.023448119984768
Terrence Shannon Jr.,6,Kawhi Leonard,CJ McCollum,Paul George,3.5156491839899213,3.5892890016644214,3.597385672814436
Ryan Dunn,1,Walker Kessler,Daniel Gafford,Daniel Gafford,4.3899158822280695,4.860413595345676,4.86512786133285
Isaiah Collier,6,Scotty Pippen Jr.,Darius Garland,Dejounte Murray,2.479232699684836,2.7996275240993183,3.0376470448035775
Baylor Scheierman,6,Jayson Tatum,Pascal Siakam,Alperen Şengün,3.3528827768562923,3.46347929483958,3.5150672169023056
Jonathan Mogbo,1,Amen Thompson,Alperen Şengün,Jusuf Nurkić,4.4171084125570585,4.586457143385031,4.6721015827883665
Kyle Filipowski,1,Evan Mobley,Scottie Barnes,Bam Adebayo,3.548933607024662,3.8311919990255876,3.8731305657974646
Tyler Kolek,6,LaMelo Ball,LeBron James,Scotty Pippen Jr.,3.6172662874574613,3.652630998361973,3.7970485108336334
Johnny Furphy,7,Royce O'Neale,Moses Moody,Nikola Jović,2.6054947509115314,2.6925587070381414,2.7268507920625833
Ajay Mitchell,6,Desmond Bane,Anthony Edwards,Dejounte Murray,1.9501661804999864,2.2513030641056337,2.4010493227909455
Jaylen Wells,7,Simone Fontecchio,Cameron Johnson,Trey Murphy III,2.647950816300848,2.6722715551745817,2.7042666190160487
Oso Ighodaro,1,Amen Thompson,Jarrett Allen,Evan Mobley,3.624081160231812,3.942448960281304,4.03036450870072
Adem Bona,1,Goga Bitadze,Chet Holmgren,Nic Claxton,4.942561421688643,4.968682062528571,5.0102422990170075
KJ Simpson,6,Donovan Mitchell,Jimmy Butler,Kyrie Irving,3.0718508334265517,3.1740091056120847,3.288294927409573
Pelle Larsson,6,Donte DiVincenzo,Jrue Holiday,Kelly Olynyk,2.938900366273782,2.972787974289494,3.018233805593305
