Name,Archetype,Comp1,Comp2,Comp3,Comp1_dist,Comp2_dist,Comp3_dist
Jamal Shead,6,Scotty Pippen Jr.,Donovan Mitchell,Fred VanVleet,4.795358074561142,5.012026677807558,5.268867663940468
Cam Christie,7,Buddy Hield,Cameron Johnson,Buddy Hield,1.7026112390898558,1.7031039478243795,1.7344947691158317
Antonio Reeves,7,Simone Fontecchio,Immanuel Quickley,Klay Thompson,2.629007951230674,2.7443791652451557,2.8594439106206093
Harrison Ingram,7,Jalen Johnson,Tari Eason,Royce O'Neale,3.333193037439302,3.350711476656607,3.6318634126554614
Tristen Newton,6,Khris Middleton,Josh Giddey,Russell Westbrook,3.3652010156347734,3.4231408731848854,3.5257155896420844
Enrique Freeman,1,Anthony Davis,Evan Mobley,Chet Holmgren,3.622283037559624,3.750179286720845,4.322151452256092
Quinten Post,1,Kristaps Porziņģis,Evan Mobley,Scottie Barnes,3.415704141376048,3.459962773255435,3.5418603448381214
Cam Spencer,6,Donte DiVincenzo,Jimmy Butler,Mike Conley,3.477435291521666,3.8610002118739124,3.944039378780859
Anton Watson,1,Jalen Johnson,Donte DiVincenzo,Tari Eason,3.3722359346836077,3.548189727979902,3.6539008575603638
Bronny James,7,Markelle Fultz,Jordan Goodwin,Malachi Flynn,1.9286662939854697,2.0003948192206042,2.0006665244468262
Kevin McCullar,6,Anthony Edwards,Paul George,Dejounte Murray,2.753544432411389,2.7831238632526794,2.8869503155628857
Trey Alexander,6,Franz Wagner,Khris Middleton,Desmond Bane,2.4951569929914443,2.496340602558829,2.519039504909676
Reece Beekman,6,Scotty Pippen Jr.,Donovan Mitchell,De'Aaron Fox,4.187989033858267,4.431226081448167,4.739504478030508
Jalen Bridges,7,Trey Murphy III,Donte DiVincenzo,Simone Fontecchio,3.009853890946101,3.0792958315278236,3.248910348501005
Isaiah Crawford,1,Alex Caruso,Jaren Jackson Jr.,OG Anunoby,4.327464442199253,4.332307988231051,4.504322488692182
N'Faly Dante,1,Evan Mobley,Anthony Davis,Daniel Gafford,5.039730138027186,5.126696012696756,5.162813834901585
Justin Edwards,7,Moses Moody,Simone Fontecchio,Simone Fontecchio,1.7362189398599237,1.8160847224373093,2.034206165291384
Boogie Ellis,6,Donte DiVincenzo,Devin Vassell,Bogdan Bogdanović,2.072308726293987,2.4321982157631976,2.4676647943726278
Allen Flanigan,6,Dalano Banton,Russell Westbrook,Franz Wagner,2.606701116944844,2.811469327530981,2.823566741339876
PJ Hall,1,Jaren Jackson Jr.,Kristaps Porziņģis,Naz Reid,3.1101561004380893,3.2132216600309054,3.542206114073074
Keshad Johnson,1,Naz Reid,Jalen Johnson,Donte DiVincenzo,2.8648465276431727,3.2200949317220116,3.2467740128893987
Isaac Jones,1,Jarrett Allen,Deandre Ayton,Jonas Valančiūnas,3.354864112597982,3.6309742191745706,3.7360599910871377
Judah Mintz,6,Marcus Smart,De'Aaron Fox,Scotty Pippen Jr.,2.5964540601215114,2.6626180689778365,3.1322836413166883
Zyon Pullin,6,Malcolm Brogdon,Immanuel Quickley,Terry Rozier,2.211811968750371,2.2559946421720714,2.299314673946153
Ron Holland,6,De'Aaron Fox,Donovan Mitchell,Paul George,3.8483227209399793,4.084555078382588,4.326282079224832
Matas Buzelis,1,Chet Holmgren,Myles Turner,Kristaps Porziņģis,3.381878000182668,3.6076379897995747,3.6142189730521896
Tyler Smith,1,Naz Reid,Santi Aldama,Paul Reed,2.149460803037296,3.0823297668330945,3.221759064573513
Zaccharie Risacher,7,Donte DiVincenzo,Naz Reid,Cole Anthony,2.7643586586988937,2.9923049967408204,3.009923148976058
Alexandre Sarr,1,Naz Reid,Santi Aldama,Aleksej Pokusevski,3.461800162963337,3.5486858320701504,3.8081511722584893
Tidjane Salaun,7,Donte DiVincenzo,Cole Anthony,Royce O'Neale,2.854856280141018,3.140693601560689,3.1777804160859113
Nikola Topić,6,Khris Middleton,Austin Reaves,Franz Wagner,3.0975913165872173,3.1696525093563723,3.1938898174713164
AJ Johnson,2,Kenneth Lofton Jr.,Jett Howard,Shake Milton,3.3397755997111056,3.425379558178987,3.556943762590859
Pacome Dadiet,7,Nikola Jović,Trendon Watford,Jarace Walker,2.895250842050492,2.9560850030378427,3.0078369066488784
Juan Núñez,6,Donte DiVincenzo,Tre Mann,Russell Westbrook,3.4984271600130006,3.5123158223763937,3.552099203884921
Bobi Klintman,7,Donte DiVincenzo,Cole Anthony,Naz Reid,2.8239474764173753,2.941961131294559,3.0674975132242848
Nikola Djurisic,6,Jaylen Brown,Franz Wagner,Donte DiVincenzo,3.4343384250870677,3.450321045848862,3.461654198164319
Melvin Ajinca,7,Jarace Walker,Nikola Jović,Dario Šarić,2.9005663061091553,2.904242626054426,3.023857873378517
Ulrich Chomche,1,Scottie Barnes,Jaren Jackson Jr.,Kevin Durant,5.20057530668558,5.840973289726928,5.912586574710791
Ariel Hukporti,1,Naz Reid,Santi Aldama,Evan Mobley,3.5740161750223693,3.6737002882309238,3.82860249890907
Trentyn Flowers,7,Nikola Jović,Shake Milton,Kenneth Lofton Jr.,3.07842522862301,3.160068772895362,3.2114399004189647
Ousmane N'Diaye,7,Jaylin Williams,Nikola Jović,Jarace Walker,2.9245964928488064,3.042188295193676,3.0735251158965693
Mantas Rubstavicius,7,Aaron Wiggins,David Duke Jr.,Naji Marshall,3.0394543666043554,3.0760752156788094,3.1186355636410186
